	shannon_entropy
G1-11	2.1308952841312476
G1-12	0.7993719440235768
G1-13	2.0829886099318276
G1-130	1.0457307581421122
G1-131	2.04795271597582
G1-132	1.1049756907786443
G1-135	1.8700998607479367
G1-136	2.311761013277976
G1-138	1.9541039533168323
G1-14	2.415595129018608
G1-15	2.43961029752261
G1-177	1.7971069705100995
G1-178	1.7490417706452785
G1-193	1.823067370159622
G2-194	1.8878380986813261
G2-413	1.5723605468342872
G2-414	2.212574665533183
G2-415	1.8575600820368239
G2-416	1.462301147564248
G3-417	1.6941660480429412
G3-418	2.0591979373478018
G3-419	1.612328709137871
G3-420	1.4771403362117819
G3-421	2.1950769965538504
G3-422	1.3217924383738011
G3-423	2.322428432682494
G3-424	1.887974675896486
G3-425	2.106887648832959
G3-426	2.0760090124646755
G3-427	1.7552589603185902
G3-428	1.8964207484948346
G3-429	1.2603933719476828
G3-430	1.7778010825536286
