	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-14	G1-15	G1-177	G1-178	G1-193	G2-194	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.13177391947338649	0.15453558010467391	0.03189744742695652	0.00511328914159591	0.02678415828536061	0.1292867365056003	0.2029076799189891	0.15518926479225556	0.19253099442982693	0.1835429065891223	0.3401835868942145	0.133078562131946	0.6438012389497245	0.1772147980882589	0.19993401251383103	0.06096031497432063	0.010994118275030525	0.018558207819840255	0.008434852969953935	0.17119918122154779	0.26454722176663475	0.17460110243298993	0.3978053435525283	0.08299883817698862	0.40842126586791866	0.20427411167560405	0.229878303515347	0.0	0.3206394363249952	0.07921215861007701	0.11469572790258138	0.2857940555116349
G1-12	0.13177391947338649	0.0	0.032152600042017455	0.15960909658390685	0.13623601034130153	0.15514700571599183	0.006624743101027322	0.09061705910516982	0.03225500890217167	0.0756479407087228	0.05955765850672759	0.2352209369089664	0.23259594243876772	0.6642354330884921	0.2741199350579469	0.30498641057678016	0.18350196372985672	0.1401153357025815	0.14265628433864058	0.13087333397751297	0.052836420554754765	0.15640301588887182	0.271676730158781	0.37071552373863775	0.1936125010309624	0.4543617125341288	0.2964241586744001	0.31157034898884034	0.13177391947338649	0.38827632200630385	0.20089808589037625	0.22044058408423622	0.3564857577366877
G1-13	0.15453558010467391	0.032152600042017455	0.0	0.13894233591431823	0.15897766155521822	0.1343944326035013	0.029896189921791484	0.10381482925862519	0.009139045448280184	0.05448328276645671	0.0812652594891404	0.2593788328474405	0.26058321069810264	0.6726203601949099	0.2937614389961238	0.2795275377875713	0.19777957968522455	0.16262223890345873	0.1692029078031163	0.16186321264770798	0.0672203684258164	0.18256472019015238	0.2913028135565759	0.3901076310243987	0.2233475603779994	0.47210247192492444	0.2793134688516245	0.3290849911882801	0.15453558010467391	0.40436851648798944	0.18102537203476324	0.24063328933132047	0.3726281704264214
G1-130	0.03189744742695652	0.15960909658390685	0.13894233591431823	0.0	0.026921817321542883	0.005254013470010077	0.15706026705186665	0.22833289029320392	0.13100051008142002	0.17851798866731988	0.20604213975512428	0.35664433114270533	0.15375104068547335	0.6532541085759274	0.19701336621742682	0.18340247988231675	0.09242559654129304	0.04254088139230352	0.04019408931037371	0.04033230039691045	0.19897058592537362	0.2817193318776306	0.19435916587534113	0.41227213683763736	0.10462089789351024	0.42266478819975006	0.18443827965967535	0.2476334417441952	0.03189744742695652	0.343508271486014	0.059124900150550795	0.13459205012710837	0.30857540207797235
G1-131	0.00511328914159591	0.13623601034130153	0.15897766155521822	0.026921817321542883	0.0	0.03189744742695652	0.13373894518126975	0.2069834434241088	0.1514027467379371	0.19677344746170825	0.18396045673706118	0.3378113095108643	0.12897870132767933	0.6431115346473443	0.17352541294030152	0.20497802372952753	0.06600432619001713	0.0160511913110293	0.013569758041337353	0.013548142111549845	0.17565104911612206	0.2617423950329108	0.17090538158689572	0.3959261554889142	0.07841036643332919	0.40660784893321583	0.20479509576011445	0.2268179765526446	0.00511328914159591	0.3243054025994928	0.08432544775167292	0.11064910787455598	0.2894459970124505
G1-132	0.02678415828536061	0.15514700571599183	0.1343944326035013	0.005254013470010077	0.03189744742695652	0.0	0.1526080583761972	0.22425712678808418	0.13497086419880794	0.17417911461167396	0.20557851568710317	0.3589491396128605	0.15773429912500125	0.6539242118613096	0.20059790106831113	0.178221582783716	0.08738158532559653	0.03748380835630474	0.04504789790111447	0.03521901125531454	0.19451871803079934	0.2844482611926988	0.1979503405844932	0.41410047487137897	0.10907887090040992	0.4244291348433594	0.18395321607502915	0.25061137914346354	0.02678415828536061	0.3398423052115163	0.05387088668054072	0.13852972778996958	0.3049234605771567
G1-135	0.1292867365056003	0.006624743101027322	0.029896189921791484	0.15706026705186665	0.13373894518126975	0.1526080583761972	0.0	0.08842805477076186	0.029988230456715535	0.07340112326436822	0.06543208203577189	0.23929042683598012	0.23732438455595362	0.6627285312312711	0.27163251653202847	0.3021495399876789	0.18093096517701415	0.13353967620603052	0.14014970302969249	0.1366310748621643	0.05053440695332299	0.16115409676300194	0.2691972977686801	0.3735147272202165	0.19883191271015252	0.45664063128964294	0.3007973068127501	0.3092696357595513	0.1292867365056003	0.38600265363218383	0.19825781363741646	0.21801811589576994	0.35427216773223097
G1-136	0.2029076799189891	0.09061705910516982	0.10381482925862519	0.22833289029320392	0.2069834434241088	0.22425712678808418	0.08842805477076186	0.0	0.11200510626410534	0.14820970494544836	0.133023072062049	0.2918275994825382	0.29765889388707756	0.675063371632626	0.3268195800279237	0.3538156304871559	0.24228145181932648	0.2099084780805674	0.2159512358950811	0.20963103644235187	0.12279295039022885	0.22222509818666927	0.3245032447284311	0.4100986723506137	0.26514554405082785	0.48653950005189767	0.35015410419125986	0.3566501444734811	0.2029076799189891	0.42549097939745245	0.26604708320412035	0.278198945202429	0.395666757548008
G1-138	0.15518926479225556	0.03225500890217167	0.009139045448280184	0.13100051008142002	0.1514027467379371	0.13497086419880794	0.029988230456715535	0.11200510626410534	0.0	0.05468067488779764	0.08572459054619845	0.25402791740434777	0.25439192642012154	0.6714132399111562	0.2881197755311777	0.28859742645029995	0.20663998779149162	0.16330571986693587	0.16179229938927528	0.16254990475749143	0.07614676403102683	0.1763119084466491	0.28564881232752626	0.38642731393699614	0.21651413093275723	0.46911228051735027	0.2842716738059331	0.3242731946528954	0.15518926479225556	0.40569170989507475	0.18181688034878835	0.23446327482785884	0.3738408090743145
G1-14	0.19253099442982693	0.0756479407087228	0.05448328276645671	0.17851798866731988	0.19677344746170825	0.17417911461167396	0.07340112326436822	0.14820970494544836	0.05468067488779764	0.0	0.036703101615270885	0.2151346170604247	0.20934121867789648	0.6788398018288152	0.32208229749972167	0.3197092448073694	0.24105695413037018	0.19991032368741601	0.20619795812728062	0.19952932105774096	0.11720337178786516	0.21401719360058752	0.3196873537526963	0.40880077153249733	0.257485828545048	0.4379916567684483	0.23397775532196902	0.35335830140991376	0.19253099442982693	0.42453167889016014	0.21866681794685228	0.27158114246873316	0.39379493891793665
