	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-14	G1-15	G1-177	G1-178	G1-193	G2-194	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.1401029623033671	0.09069967105419463	0.2453964220488899	0.1668825925948603	0.24779412959107458	0.17020682672223356	0.08041951735090361	0.15336056666910278	0.09364227950089486	0.07081953315797562	0.10094050792417485	0.04606727621067401	0.11361308688670757	0.03573246464475834	0.1284759329463259	0.06530379160439068	0.1322544206622508	0.1543829365571493	0.07243347822635487	0.050418335133724984	0.09790243282943069	0.0579440390330843	0.024220765395829905	0.06639019293882525	0.05128924332631668	0.0813286098796482	0.037085837509131934	0.016418952136198314	0.05798947125495372	0.055536893771847506	0.1164246271103548	0.06678885880020408
G1-12	0.1401029623033671	0.0	0.22961558447544178	0.2641807812234817	0.10572916783742753	0.2666322492140452	0.10297981100386429	0.07323385261139002	0.12425505563945821	0.07123341924471918	0.1362136555436509	0.2094158257498093	0.1523301936626729	0.03106160562108325	0.10572528072355604	0.036312435864986524	0.17287623004717043	0.12043254065514207	0.14379509489669373	0.18055494856230228	0.12939502141029877	0.06254843761477959	0.1645829079369469	0.13459609412933776	0.17294864811345217	0.1405054356639714	0.08589946134250855	0.1675337172956235	0.13374462176127244	0.16612838527330512	0.16373205034646374	0.22501248013389508	0.17360494175467941
G1-13	0.09069967105419463	0.22961558447544178	0.0	0.17494912155448547	0.19530838904699593	0.16910175359110788	0.23009999275296114	0.15927279472664868	0.16069292209632235	0.17160611349097724	0.12769571216662357	0.12889732059833015	0.12533198562537445	0.20369419524087498	0.12606466424439386	0.21713231367711813	0.12992138450117355	0.17191841050508724	0.17790739292717536	0.10959635713290435	0.11820393491629469	0.1864443763524225	0.12903980844869692	0.11157639581134621	0.1297055420650287	0.12955677678606314	0.16207451428119493	0.102717058235784	0.10496977002629596	0.1269124554120998	0.1268961397631563	0.13174509668868709	0.12972555862461493
G1-130	0.2453964220488899	0.2641807812234817	0.17494912155448547	0.0	0.17357592238577177	0.007385541540511026	0.25017888704181146	0.252248219454083	0.161152271582333	0.256650210213153	0.2584072921843584	0.2845084736693214	0.28068616464134305	0.26881670345714603	0.2721597060685157	0.27712493950719713	0.28582113374627804	0.2530828966025354	0.27138457544324596	0.2728746369559468	0.27088340085988405	0.27646308863972147	0.2843347161460219	0.26708029264579397	0.2850597218349909	0.28468164321881606	0.27542314134497553	0.2577835688070521	0.2600533655685331	0.2820262951764618	0.2819797353053934	0.2870020049140167	0.2848137709325236
G1-131	0.1668825925948603	0.10572916783742753	0.19530838904699593	0.17357592238577177	0.0	0.1792063352168825	0.14419720843125375	0.1149323349376412	0.03652707933859565	0.10232708845360677	0.1783983918886096	0.2650820850351209	0.21046612684001695	0.10974970431416912	0.16179039175684817	0.1057912208140049	0.22704274575275996	0.1723416221026977	0.19674352898929598	0.23312396221475473	0.1831484911954462	0.10889219362403361	0.22185056216905305	0.17532376433084443	0.2302484296748399	0.19262851222774052	0.12694005913715672	0.2021441879408531	0.17520711865666602	0.22265138469544615	0.22005389616203747	0.2811906383796887	0.2314869745801379
G1-132	0.24779412959107458	0.2666322492140452	0.16910175359110788	0.007385541540511026	0.1792063352168825	0.0	0.2501155231893831	0.25216809667373835	0.16088174000935407	0.2566517563177067	0.25828775274541166	0.28684571828170163	0.28302340925372327	0.27123003671492923	0.2746011895947259	0.2793977221605695	0.28822592451857676	0.2529591201502165	0.26608281848434	0.2728296812552235	0.2707934047296774	0.2787747770560627	0.286671960758402	0.26941753725817413	0.2873969664473711	0.28701888783119633	0.2752141552198919	0.26019690206483537	0.2624581563408318	0.2844310859487605	0.2843845260776922	0.28933073079438393	0.28721856170482235
G1-135	0.17020682672223356	0.10297981100386429	0.23009999275296114	0.25017888704181146	0.14419720843125375	0.2501155231893831	0.0	0.11638345666224853	0.1382399048153092	0.11081325732736905	0.111669869113115	0.22136180611813536	0.17834830927192438	0.11888671040761821	0.1545287288561968	0.11911592269965728	0.1870150724173743	0.0592191315189855	0.07720529089940709	0.1645187756572466	0.12319166240404342	0.12998104620011772	0.18550018622629552	0.1630309794432608	0.18974186935236803	0.16626030953142742	0.13058239868570057	0.18445551253709605	0.16768880509953102	0.185245127248472	0.18407396018653407	0.23671847812043917	0.19093029206663864
G1-136	0.08041951735090361	0.07323385261139002	0.15927279472664868	0.252248219454083	0.1149323349376412	0.25216809667373835	0.11638345666224853	0.0	0.1061145683282327	0.015191590844678114	0.0679446615078839	0.16097769597403955	0.10627937041803685	0.046911044111841146	0.05685839935434901	0.06250468020648885	0.12569353398423422	0.07923893024856966	0.10123320506593578	0.12215184098782479	0.07171084561698302	0.037067599883089476	0.11941032958478853	0.08007424226601657	0.12775661419973133	0.09228566211578744	0.03461956566226596	0.10840190135390163	0.07471846192976657	0.11957521263832789	0.1169120604486155	0.17760019592066564	0.12803942157492873
G1-138	0.15336056666910278	0.12425505563945821	0.16069292209632235	0.161152271582333	0.03652707933859565	0.16088174000935407	0.1382399048153092	0.1061145683282327	0.0	0.1001345581516823	0.1600291892207691	0.25063522190153276	0.1968171771803813	0.12877748053127475	0.14841640662347047	0.12178383147342685	0.21322589961459695	0.16683237545509957	0.19073593485759355	0.21481628903801067	0.1652605654872365	0.12081073915731116	0.20820161250941738	0.16137601895304454	0.2165611457211455	0.1781826785532196	0.11635749467705545	0.1887702027435776	0.16178838673173584	0.2092557705292885	0.20659041744555492	0.2666983323593892	0.21808694946510904
G1-14	0.09364227950089486	0.07123341924471918	0.17160611349097724	0.256650210213153	0.10232708845360677	0.2566517563177067	0.11081325732736905	0.015191590844678114	0.1001345581516823	0.0	0.07662492416765551	0.17090468555571264	0.1170295693894757	0.04487801899671932	0.06854173364136185	0.048137201822327114	0.13338456621251052	0.0781761746688984	0.10017045018913993	0.13168959728800378	0.0814533599526994	0.030417017180031845	0.12851311893509307	0.08598811394141195	0.13687265214682126	0.0989387408480786	0.03242402566090557	0.12039033746969703	0.08756080011816667	0.12934692760524188	0.12669865949247738	0.18772541393550146	0.13820373407419326
G1-15	0.07081953315797562	0.1362136555436509	0.12769571216662357	0.2584072921843584	0.1783983918886096	0.25828775274541166	0.111669869113115	0.0679446615078839	0.1600291892207691	0.07662492416765551	0.0	0.12503640337693983	0.08699174997549963	0.10999192837458593	0.061769949769183895	0.12265355699002632	0.09856986701844526	0.07131304398716441	0.09298200250010102	0.0707185264439109	0.032639200941312146	0.09175327355341281	0.09506772684285941	0.07024074608644217	0.0991568982291697	0.06769116284848531	0.06562771755395862	0.08464430948688344	0.06795363672028723	0.09426381528678882	0.09288844690069116	0.14228681880575506	0.09980247240908116
G1-177	0.10094050792417485	0.2094158257498093	0.12889732059833015	0.2845084736693214	0.2650820850351209	0.28684571828170163	0.22136180611813536	0.16097769597403955	0.25063522190153276	0.17090468555571264	0.12503640337693983	0.0	0.058010762087666694	0.18371690248061887	0.1068028552648386	0.19709918184016695	0.04313517575763761	0.16861666620721094	0.18894864453975216	0.061567815589418644	0.10831545707129663	0.16538990131722353	0.047678932567704085	0.09628120170917641	0.03907415495325953	0.10814547561903445	0.14781601775313394	0.06582823455508081	0.09247625688481599	0.04607087664688309	0.04885734129200461	0.021460833631921018	0.03883765405469063
G1-178	0.04606727621067401	0.1523301936626729	0.12533198562537445	0.28068616464134305	0.21046612684001695	0.28302340925372327	0.17834830927192438	0.10627937041803685	0.1968171771803813	0.1170295693894757	0.08699174997549963	0.058010762087666694	0.0	0.1266276619934896	0.052287071636092385	0.14056471345754115	0.02256612682165916	0.14141693030917388	0.16121485198921845	0.033336679995653096	0.05611103333586747	0.11087489100517323	0.01514707049160877	0.043811325047885916	0.023436417560721196	0.06053597349346363	0.0914380808842543	0.027860411483126596	0.03764266293654504	0.017116759202263396	0.014435207128068244	0.0753998434772152	0.02389324305896821
