	G2-1100	G2-1101	G2-1102	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-199	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330
G2-1100	0.0	0.18280467445742904	0.1579020589872009	0.3983027267668336	0.3963550361713968	0.37033945464663326	0.39593767390094603	0.4045631608235949	0.41332776850306063	0.3866165831942126	0.39343350027824153	0.2149415692821369	0.4102671118530885	0.1897607122982749	0.3665831942125765	0.17139677239844184	0.3615748469671675	0.3283249860879243	0.4030328324986088	0.35239287701725097	0.337228714524207	0.3184474123539232	0.30161380077907624	0.14830272676683362	0.5702559821925431	0.1668057874234836	0.5599610461880913	0.4752365052865888	0.5527267668336115	0.2833889816360601
G2-1101	0.18280467445742904	0.0	0.1221480244852532	0.33917640511964386	0.33820255982192543	0.31204785754034503	0.3377851975514747	0.34585420144685586	0.35489705063995547	0.32790762381747357	0.3350027824151363	0.042292710072342796	0.35141903171953254	0.14120756816917085	0.30745687256538673	0.1407902058987201	0.2931274346132443	0.2597384529771842	0.3437673900946021	0.2932665553700612	0.27796327212020033	0.26001669449081805	0.24248747913188648	0.33027267668336113	0.7529215358931552	0.3493322203672788	0.7426265998887034	0.657762938230384	0.7352531997774068	0.22454090150250416
G2-1102	0.1579020589872009	0.1221480244852532	0.0	0.44156928213689484	0.43962159154145797	0.4136060100166945	0.4392042292710072	0.4478297161936561	0.45645520311630494	0.4298831385642738	0.4367000556483027	0.16430161380077907	0.4535336672231497	0.21299387868670006	0.40984974958263776	0.19393433500278243	0.36672231496939345	0.3459933222036728	0.4461602671118531	0.3955203116304953	0.3803561491374513	0.3615748469671675	0.3448803561491374	0.2626599888703395	0.6847523650528659	0.28116304952698945	0.674457429048414	0.5895937673900946	0.6670840289371174	0.2857540345019477
G2-1105	0.3983027267668336	0.33917640511964386	0.44156928213689484	0.0	0.0027824151363383415	0.02824151363383417	0.0027824151363383415	0.00862548692264886	0.017807456872565387	0.011964385086254869	0.005425709515859766	0.3377851975514747	0.019894268224819142	0.22899276572064553	0.03241513633834168	0.24777406789092932	0.07860322760155815	0.09557595993322204	0.006399554813578186	0.046048970506399556	0.06163049526989427	0.07999443516972732	0.26933778519755147	0.4574290484140234	0.8962159154145799	0.47676683361157485	0.887451307735114	0.8014746800222593	0.8832776850306066	0.34891485809682804
G2-1106	0.3963550361713968	0.33820255982192543	0.43962159154145797	0.0027824151363383415	0.0	0.02615470228158041	0.0008347245409015025	0.009599332220367279	0.018363939899833055	0.010573177518085699	0.0037562604340567614	0.33667223149693937	0.020589872008903727	0.22746243739565944	0.03144129104062326	0.24610461880912632	0.07888146911519199	0.09404563160823595	0.0077907623817473565	0.04493600445186422	0.06065664997217585	0.0781858653311074	0.26836393989983304	0.45562047857540344	0.8934335002782415	0.47481914301613803	0.8846688925987758	0.7986922648859209	0.8804952698942682	0.3465498052309405
G2-1107	0.37033945464663326	0.31204785754034503	0.4136060100166945	0.02824151363383417	0.02615470228158041	0.0	0.026015581524763496	0.03478018920422927	0.043544796883695044	0.01669449081803005	0.023511407902058988	0.31065664997217585	0.04521424596549805	0.201307735114079	0.008208124652198109	0.21994991652754592	0.07776850306065665	0.06789092932665554	0.033249860879243184	0.019755147468002224	0.03547579298831385	0.05300500834724541	0.24332220367278798	0.43057874234835836	0.8679744017807457	0.44977740678909295	0.85920979410128	0.7732331663884252	0.8550361713967723	0.3206733444629939
G2-1108	0.39593767390094603	0.3377851975514747	0.4392042292710072	0.0027824151363383415	0.0008347245409015025	0.026015581524763496	0.0	0.009181969949916527	0.018085698386199223	0.01001669449081803	0.003060656649972176	0.33667223149693937	0.020589872008903727	0.22676683361157485	0.03144129104062326	0.24568725653867557	0.07874234835837507	0.0936282693377852	0.0077907623817473565	0.044657762938230386	0.06010016694490818	0.07790762381747357	0.26822481914301616	0.4554813578185865	0.8935726210350584	0.47426265998887035	0.8848080133555927	0.7988313856427379	0.8806343906510852	0.3462715637173066
G2-1109	0.4045631608235949	0.34585420144685586	0.4478297161936561	0.00862548692264886	0.009599332220367279	0.03478018920422927	0.009181969949916527	0.0	0.009460211463550361	0.018363939899833055	0.011407902058987202	0.34501947690595436	0.013494713411240956	0.23511407902058987	0.039788536449638284	0.2540345019476906	0.08124652198107958	0.1018363939899833	0.0023650528658875902	0.05286588759042849	0.06816917084028937	0.08653311074012243	0.27657206455203115	0.46382860322760155	0.9023372287145242	0.4828881469115192	0.8935726210350584	0.8075959933222037	0.8893989983305509	0.3550361713967724
G2-1110	0.41332776850306063	0.35489705063995547	0.45645520311630494	0.017807456872565387	0.018363939899833055	0.043544796883695044	0.018085698386199223	0.009460211463550361	0.0	0.0276850306065665	0.020589872008903727	0.3542014468558709	0.014329437952142459	0.2442960489705064	0.04897050639955482	0.26279910962715636	0.09001112966054535	0.110740122426266	0.011407902058987202	0.0619087367835281	0.07749026154702282	0.09515859766277128	0.2860322760155815	0.4732888146911519	0.9113800779076238	0.4919309961046188	0.902615470228158	0.8166388425153033	0.8984418475236505	0.364079020589872
G2-1111	0.3866165831942126	0.32790762381747357	0.4298831385642738	0.011964385086254869	0.010573177518085699	0.01669449081803005	0.01001669449081803	0.018363939899833055	0.0276850306065665	0.0	0.007373400111296605	0.32693377851975514	0.029910962715637174	0.21702838063439064	0.021702838063439065	0.2360879243183083	0.07860322760155815	0.083889816360601	0.016833611574846967	0.034641068447412354	0.05008347245409015	0.06830829159710629	0.25834724540901505	0.4456037840845854	0.8843906510851419	0.46480244852532	0.8756260434056762	0.7896494156928213	0.8714524207011686	0.3370895937673901
