	shannon_entropy
G2-1100	1.4053087778718616
G2-1101	1.536006262946144
G2-1102	1.737228563455868
G2-1105	0.32961025694370266
G2-1106	0.3205367122140346
G2-1107	0.4221119362871247
G2-1108	0.3196198685101922
G2-1109	0.2866958154179119
G2-1110	0.23771330453886472
G2-1111	0.3581222829899475
G2-1113	0.3338035331853462
G2-199	1.5033663453618753
G2-313	0.3602002205217612
G2-314	1.1818276576436033
G2-315	0.4863833944131132
G2-316	1.2097437360671879
G2-317	0.6782504936456247
G2-318	0.7573778000617227
G2-319	0.2884697962477647
G2-320	0.4743265321930755
G2-321	0.5275831693811054
G2-322	0.5669760534931388
G2-323	1.401007356014124
G2-324	1.5074680577569428
G2-325	2.07172307829595
G2-326	1.1315238097687184
G2-327	1.9753776013304543
G2-328	2.250427105894475
G2-329	2.211464322527018
G2-330	1.77284900010181
