	G2-1100	G2-1101	G2-1102	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-199	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330
G2-1100	0.0	0.24445563901733047	0.005642884165555234	0.2822453287876605	0.015002158388876603	0.00849067547260733	0.35383180890807475	0.06305521046004493	0.06573137448114601	0.06659256833931655	0.06305521046004493	0.20799655109396925	0.07543383546582072	0.12799669646454712	0.11086935908046346	0.0649627477181452	0.14180404987287523	0.011322690347453155	0.015066052134235033	0.015066052134235033	0.06926873236041764	0.015066052134235033	0.2736128351101796	0.12350690681572571	0.21131537486121862	0.1462341889819875	0.2134339607182914	0.12456310188487027	0.22817483956701473	0.11798148203900759
G2-1101	0.24445563901733047	0.0	0.24120218334097443	0.4170119973196343	0.25161532852317625	0.24716343710357175	0.46491869374141065	0.2791302538539395	0.27763865425221285	0.2818596340298868	0.2791302538539395	0.36759457553628644	0.2855694133453806	0.31745183919068565	0.30697271645405727	0.2762409585276134	0.32397159898107764	0.24553646570575613	0.2483930397608984	0.2483930397608984	0.2803736819704591	0.2483930397608984	0.4113132035518711	0.3161234657870282	0.38415597001627205	0.3300778033515696	0.38545259132541526	0.316200041195271	0.38126418646246274	0.31217957313148
G2-1102	0.005642884165555234	0.24120218334097443	0.0	0.282838391390721	0.015065473052538173	0.008535814078142853	0.3544949694206404	0.06324317750796812	0.06072282321171577	0.0667899562633011	0.06324317750796812	0.20847877246114102	0.07565059834787101	0.12833062319438332	0.1111668274638117	0.059974738948330164	0.13757977652453748	0.005712038529400961	0.009476643530137165	0.009476643530137165	0.06427914461339969	0.009476643530137165	0.27419516441473346	0.12383454068705115	0.21185984700978774	0.14660865808364207	0.21398222346834272	0.12489172922355068	0.22869169450330404	0.11829608785526546
G2-1105	0.2822453287876605	0.4170119973196343	0.282838391390721	0.0	0.27729645639397527	0.2777895041360892	0.4807088296674241	0.30728533126712265	0.30927140723191343	0.3054620313142654	0.30728533126712265	0.09213799897559725	0.3196857938437315	0.3488427232402069	0.3392475167524359	0.31450387729234724	0.35190611413946793	0.27986014732021397	0.2778837299144639	0.2778837299144639	0.30745333484586895	0.2778837299144639	0.3555376957893908	0.3374731895392379	0.4071055332748488	0.3505413799679146	0.40830863184836025	0.34161495753397614	0.4021972676118575	0.3378851512981487
G2-1106	0.015002158388876603	0.25161532852317625	0.015065473052538173	0.27729645639397527	0.0	0.006591083124598303	0.35387947507439965	0.061555191753625185	0.06424579838008825	0.05820574934439214	0.061555191753625185	0.21548040275742458	0.08417023650340542	0.13623644763214474	0.11927094140066338	0.07382325019434935	0.14081698739683793	0.009439276850052554	0.005695973732806237	0.005695973732806237	0.06090595912690876	0.005695973732806237	0.26854378556129466	0.11611572474955133	0.20618827176524201	0.13922288784690323	0.2083366794075653	0.11878071045138672	0.22377075550566894	0.11684880342752199
G2-1107	0.00849067547260733	0.24716343710357175	0.008535814078142853	0.2777895041360892	0.006591083124598303	0.0	0.35023641482220136	0.05547690628172389	0.05817471594766821	0.059042875408936386	0.05547690628172389	0.2107456514582405	0.07829789089250948	0.13082704266356104	0.1137124032243161	0.06783984671694425	0.13543208631802908	0.002856266494579754	0.0066316841110770405	0.0066316841110770405	0.06174068507488071	0.0066316841110770405	0.2690488440625691	0.11685310813316618	0.20535820096940396	0.1399222359880852	0.2075088551525354	0.11795063964927421	0.22303958082617387	0.11126883862553394
G2-1108	0.35383180890807475	0.46491869374141065	0.3544949694206404	0.4807088296674241	0.35387947507439965	0.35023641482220136	0.0	0.3120723151194816	0.3139282130772229	0.31452544400552024	0.3120723151194816	0.44630240138384514	0.32359342724793866	0.35078970087081746	0.40023626865316153	0.38016874630783876	0.41079856695537664	0.35209231277994274	0.35454544166598145	0.35454544166598145	0.3163813419632616	0.35454544166598145	0.42764801386083406	0.3440631387324208	0.40543134300552064	0.3561750213817477	0.40656257625928566	0.3440339313781025	0.40094848796005605	0.3405513185000877
G2-1109	0.06305521046004493	0.2791302538539395	0.06324317750796812	0.30728533126712265	0.061555191753625185	0.05547690628172389	0.3120723151194816	0.0	0.002697809665944325	0.003565969127212497	0.0	0.2457122733908194	0.024161383414085615	0.07977585395525748	0.15756647915349942	0.1163584777394369	0.17732763766961854	0.05817471594766821	0.06174068507488071	0.06174068507488071	0.006263778793156822	0.06174068507488071	0.22595345988969107	0.06478457485713111	0.15355071245420773	0.08921381127657654	0.1558415807464241	0.06614315074246817	0.17740452897219375	0.05906889171356902
G2-1110	0.06573137448114601	0.27763865425221285	0.06072282321171577	0.30927140723191343	0.06424579838008825	0.05817471594766821	0.3139282130772229	0.002697809665944325	0.0	0.006263778793156822	0.002697809665944325	0.24786672015160596	0.02679401026631283	0.08225844355129235	0.15997269379300413	0.11411617706576756	0.17538442917779248	0.055626977278713664	0.05920259273586818	0.05920259273586818	0.0035756154571545086	0.05920259273586818	0.22804916334129965	0.067316637327419	0.15607008046969925	0.0916797324589296	0.15835413023139283	0.06866251877700345	0.17962373498509457	0.06160734475249186
G2-1111	0.06659256833931655	0.2818596340298868	0.0667899562633011	0.3054620313142654	0.05820574934439214	0.059042875408936386	0.31452544400552024	0.003565969127212497	0.006263778793156822	0.0	0.003565969127212497	0.24856002456176743	0.027641193793972736	0.08305734485016851	0.16074701750883114	0.11970414963979878	0.1804424661792746	0.06174068507488071	0.058382907593704264	0.058382907593704264	0.002707464400409211	0.058382907593704264	0.22380331421286642	0.06164400598883011	0.15688081712272395	0.08623543353944967	0.15916267267040016	0.06947325543615647	0.1803378790260637	0.06242422299655228
G2-1113	0.06305521046004493	0.2791302538539395	0.06324317750796812	0.30728533126712265	0.061555191753625185	0.05547690628172389	0.3120723151194816	0.0	0.002697809665944325	0.003565969127212497	0.0	0.2457122733908194	0.024161383414085615	0.07977585395525748	0.15756647915349942	0.1163584777394369	0.17732763766961854	0.05817471594766821	0.06174068507488071	0.06174068507488071	0.006263778793156822	0.06174068507488071	0.22595345988969107	0.06478457485713111	0.15355071245420773	0.08921381127657654	0.1558415807464241	0.06614315074246817	0.17740452897219375	0.05906889171356902
G2-199	0.20799655109396925	0.36759457553628644	0.20847877246114102	0.09213799897559725	0.21548040275742458	0.2107456514582405	0.44630240138384514	0.2457122733908194	0.24786672015160596	0.24856002456176743	0.2457122733908194	0.0	0.25293495859015	0.28763148502272906	0.27624199601731136	0.24652905770083455	0.2979651311885805	0.21299997220968173	0.21597973698106337	0.21597973698106337	0.250714471322554	0.21597973698106337	0.38879455264120827	0.28589029763311224	0.3568380412063999	0.30104933653914157	0.35824764049879204	0.286092695648148	0.3565347617442708	0.2817218575728662
G2-313	0.07543383546582072	0.2855694133453806	0.07565059834787101	0.3196857938437315	0.08417023650340542	0.07829789089250948	0.32359342724793866	0.024161383414085615	0.02679401026631283	0.027641193793972736	0.024161383414085615	0.25293495859015	0.0	0.09098225290083405	0.16711426507246724	0.12712788260181362	0.19474309237144957	0.0809305177447367	0.08441032812462382	0.08441032812462382	0.030273820646199955	0.08441032812462382	0.23695602610547903	0.08130332058867654	0.1681951744050951	0.10937001289423087	0.1610073736023754	0.08255330905839546	0.18990986975849422	0.08049077816962605
G2-314	0.12799669646454712	0.31745183919068565	0.12833062319438332	0.3488427232402069	0.13623644763214474	0.13082704266356104	0.35078970087081746	0.07977585395525748	0.08225844355129235	0.08305734485016851	0.07977585395525748	0.28763148502272906	0.09098225290083405	0.0	0.21001147766820316	0.08695152223353105	0.23523854756664575	0.1333096322595959	0.13659112315450694	0.13659112315450694	0.08553993444620338	0.13659112315450694	0.2747916072460422	0.13515335941813023	0.21694502585688313	0.15608575561741644	0.21890600748946676	0.13608381547451517	0.23216085572161427	0.13003295366437473
