	G2-1100	G2-1101	G2-1102	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-199	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330
G2-1100	0.0	0.022046805343967413	0.016500932529466217	0.1435212967835264	0.14282289393696185	0.13347600754544783	0.14274118620390697	0.1457558223390616	0.14888207124263475	0.139311612105099	0.1417601294501298	0.02355173404065614	0.1476499628046429	0.06117197974409162	0.13207520988192084	0.054339880337519894	0.11665289644652872	0.10912719398326998	0.14515969545131802	0.12697168052823302	0.12150507790897319	0.11480109299408957	0.10566326962694558	0.022643304607990866	0.08077973937318943	0.025127818089498665	0.09322963628640203	0.06339357906366776	0.07296893558417285	0.08584890955868178
G2-1101	0.022046805343967413	0.0	0.037203421684988705	0.12318597111048901	0.1227566103895376	0.11337243007308997	0.12266458237225354	0.1255403630919027	0.12877756640135637	0.11909615285794005	0.12161925805283823	0.001698727112321049	0.1273972096325503	0.040881605599852676	0.11174274929347704	0.03408587292875968	0.09638970713740491	0.08886106965394241	0.12483142706043757	0.10668070606228622	0.10117680951809273	0.09469658815281122	0.08533080903850189	0.004926688067479416	0.10282562427394062	0.047139213483126996	0.11527552118715312	0.06672377349562895	0.09498046157880291	0.06659235202117206
G2-1102	0.016500932529466217	0.037203421684988705	0.0	0.16002130731579753	0.15932290446923286	0.1499760180777189	0.159241196736178	0.16225583287133266	0.16538115440598533	0.15581162263737	0.15826013998240085	0.03879630938877999	0.16414997333691395	0.07749547540455698	0.14857522041419188	0.07065754543818135	0.13281733683208108	0.12540195616370098	0.16165877861466857	0.14347076369158357	0.13800416107232372	0.13130017615744013	0.12216328015921675	0.037284131585279254	0.06609781210465046	0.010445890819568383	0.07854770901786295	0.0710844306593833	0.058287008314242585	0.10198853556101642
G2-1105	0.1435212967835264	0.12318597111048901	0.16002130731579753	0.0	0.0008230263450850173	0.01004714397591944	0.00098595311611997	0.002906855129720625	0.006144985808094775	0.004247824921853684	0.0018374478202491335	0.1220182030608484	0.004818360872058767	0.08259191244306942	0.011586941682734242	0.08938453626551963	0.027253757944570713	0.0346193511520966	0.002196394871734214	0.016550543624213893	0.02207435660861309	0.028721131158357307	0.04004196443592095	0.1246356964990588	0.22344765922288526	0.16762091063150894	0.23591103990268014	0.187349485829389	0.21564417365860453	0.08586491816938087
G2-1106	0.14282289393696185	0.1227566103895376	0.15932290446923286	0.0008230263450850173	0.0	0.009384180316447617	0.00029553492063281615	0.0029455597010394504	0.006071808604612553	0.0036985977750238087	0.0012136328235518952	0.12170540743085145	0.004888795158962194	0.08203056875408025	0.011268935111712747	0.08878589865159682	0.026664301909642824	0.03403283008033307	0.002346981217854083	0.016075904327251384	0.021637011236584267	0.028060022236726385	0.03975593773682617	0.12408090514287982	0.22274093141066367	0.1669569972906759	0.2352043120904585	0.18664275801716737	0.21497180475111272	0.08516280584852566
G2-1107	0.13347600754544783	0.11337243007308997	0.1499760180777189	0.01004714397591944	0.009384180316447617	0.0	0.009299207754749846	0.012283524269295527	0.01540977317286863	0.005838386666412463	0.008286904011443268	0.11232493658591199	0.014224340210122085	0.07264638843763263	0.0018856822253987139	0.0794017183351492	0.01728012234444729	0.024648649763885436	0.011687397381551902	0.006700304594849875	0.012261411504182758	0.018684422504324873	0.03038404747593284	0.11470901488198651	0.21340051524696582	0.15758420197747647	0.22586389592676068	0.17730234185346952	0.20559702968268506	0.07581777419346142
G2-1108	0.14274118620390697	0.12266458237225354	0.159241196736178	0.00098595311611997	0.00029553492063281615	0.009299207754749846	0.0	0.003188284048384304	0.006333603073670533	0.0035748560297797537	0.0010886652805869675	0.12162127925606822	0.005137083715656127	0.08190560121111533	0.01118488991893543	0.08869907135205812	0.026577474618451405	0.033946002780794376	0.0026290716063460643	0.015990302825433587	0.021513269491340213	0.027974420734908596	0.039637760200931176	0.12396272760698489	0.22262940839983955	0.16683325554543188	0.23509278907963446	0.18653123500634328	0.21485516217380474	0.08504666734633516
G2-1109	0.1457558223390616	0.1255403630919027	0.16225583287133266	0.002906855129720625	0.0029455597010394504	0.012283524269295527	0.003188284048384304	0.0	0.003276270921800405	0.0064475891983248055	0.004015690379565382	0.12449657908040648	0.0020074125833241603	0.08478922512409878	0.014057324658680056	0.09161906182105485	0.029488283390200504	0.03685387670763179	0.0007113876269068617	0.01886210862505818	0.024366005169251675	0.030958108309334237	0.04249235061668357	0.12681731802273724	0.22562682915112192	0.16980067741734647	0.23809020983091683	0.1895286557576257	0.21782334358684122	0.08804408809761757
G2-1110	0.14888207124263475	0.12877756640135637	0.16538115440598533	0.006144985808094775	0.006071808604612553	0.01540977317286863	0.006333603073670533	0.003276270921800405	0.0	0.009704789998412082	0.007217373451498422	0.12773470975878062	0.001538390420461094	0.0880343093820268	0.017295455337054205	0.09480685466341557	0.03268525775451667	0.04005378609215181	0.003948590936360561	0.02209931193451188	0.02764134872213164	0.034083429843986886	0.04576862153848396	0.13009358894453762	0.22879121829812138	0.17296506656434585	0.24125459897791618	0.19269304490462508	0.22098773273384056	0.09120847724461693
G2-1111	0.139311612105099	0.11909615285794005	0.15581162263737	0.004247824921853684	0.0036985977750238087	0.005838386666412463	0.0035748560297797537	0.0064475891983248055	0.009704789998412082	0.0	0.0025255567903399133	0.11805144147752342	0.008397316234517078	0.07834408752121573	0.007612187055796997	0.08517485158709225	0.02304407361533639	0.03040966647366918	0.005887150958565692	0.012415446795653831	0.01793841346156046	0.024511446479929887	0.036063831540071895	0.12038879894612557	0.21920076166995206	0.16337308570965528	0.23166414234974686	0.18310258827645579	0.21139727610567124	0.08161802061644766
