	G1-139	G1-140	G1-141	G1-142	G1-143	G1-144	G1-187	G1-188	G1-189	G1-190	G1-192	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-220	G2-221	G2-222	G2-223	G2-224
G1-139	0.0	0.05783456624075319	0.4004707464694015	0.4078681909885676	0.46234028244788167	0.4418291862811029	0.42165433759246806	0.12474781439139207	0.27841291190316075	0.23974445191661062	0.4996637525218561	0.39878950907868194	0.4058507061197041	0.40719569603227973	0.40719569603227973	0.40450571620712844	0.4051782111634163	0.3019502353732347	0.25958305312710156	0.2619367854741089	0.3836583725622058	0.18493611297915266	0.33759246805648957
G1-140	0.05783456624075319	0.0	0.38769334229993274	0.3934095494283793	0.4593140551445864	0.4377942165433759	0.4203093476798924	0.14626765299260255	0.234364492266308	0.1956960322797579	0.49630127774041694	0.3853396099529254	0.39172831203765973	0.3934095494283793	0.3934095494283793	0.39071956960322796	0.3913920645595158	0.2800941492938803	0.24983187626092804	0.24781439139206457	0.38500336247478145	0.14391392064559516	0.31573638197713516
G1-141	0.4004707464694015	0.38769334229993274	0.0	0.13147276395427035	0.3691997310020175	0.27404169468728984	0.7905178211163416	0.3419636852723605	0.5050437121721587	0.47579018157363817	0.4088769334229993	0.05951580363147276	0.07229320780094149	0.05581708137188971	0.03765971755211836	0.05648957632817754	0.04808338937457969	0.18493611297915266	0.38971082716879624	0.42905178211163414	0.5544720914593141	0.2952252858103564	0.18560860793544048
G1-142	0.4078681909885676	0.3934095494283793	0.13147276395427035	0.0	0.3308675184936113	0.1425689307330195	0.7962340282447882	0.34835238735709484	0.5114324142568931	0.4821788836583726	0.37088096839273704	0.18762609280430398	0.09852051109616677	0.16476126429051782	0.14660390047074648	0.17921990585070613	0.17215870880968392	0.3120376597175521	0.3960995292535306	0.43544048419636855	0.5608607935440484	0.3113651647612643	0.31271015467383995
G1-143	0.46234028244788167	0.4593140551445864	0.3691997310020175	0.3308675184936113	0.0	0.22797579018157363	0.7962340282447882	0.46772024209818425	0.5107599193006053	0.48150638870208473	0.04303967720242098	0.38264963012777403	0.29825151311365167	0.3574310692669805	0.3574310692669805	0.37323470073974446	0.3839946200403497	0.4754539340954943	0.4744451916610625	0.43544048419636855	0.5601882985877606	0.47478143913920645	0.4761264290517821
G1-144	0.4418291862811029	0.4377942165433759	0.27404169468728984	0.1425689307330195	0.22797579018157363	0.0	0.7962340282447882	0.4468728984532616	0.5114324142568931	0.4821788836583726	0.2679892400806994	0.3301950235373235	0.20880968392737054	0.3073301950235373	0.28917283120376597	0.32178883658372565	0.31472763954270344	0.4546065904505716	0.4535978480161399	0.43544048419636855	0.5608607935440484	0.4539340954942838	0.45527908540685946
G1-187	0.42165433759246806	0.4203093476798924	0.7905178211163416	0.7962340282447882	0.7962340282447882	0.7962340282447882	0.0	0.46469401479488903	0.31371889710827167	0.4266980497646268	0.7952252858103565	0.788836583725622	0.7945527908540686	0.7962340282447882	0.7962340282447882	0.7935440484196369	0.7958977807666443	0.6624075319435104	0.6237390719569603	0.5326160053799597	0.6217215870880969	0.5168123739071957	0.6936785474108944
G1-188	0.12474781439139207	0.14626765299260255	0.3419636852723605	0.34835238735709484	0.46772024209818425	0.4468728984532616	0.46469401479488903	0.0	0.2844653665097512	0.2464694014794889	0.5033624747814391	0.3389374579690652	0.34633490248823134	0.3459986550100874	0.347679892400807	0.34330867518493613	0.34532616005379957	0.24310692669804976	0.2605917955615333	0.2659717552118359	0.41190316072629457	0.1886348352387357	0.2511768661735037
G1-189	0.27841291190316075	0.234364492266308	0.5050437121721587	0.5114324142568931	0.5107599193006053	0.5114324142568931	0.31371889710827167	0.2844653665097512	0.0	0.14122394082044384	0.5087424344317417	0.5016812373907196	0.5094149293880296	0.5097511768661735	0.5104236718224613	0.50773369199731	0.508069939475454	0.41728312037659715	0.3833221250840619	0.3194351042367182	0.4189643577673167	0.2518493611297915	0.42400806993947543
G1-190	0.23974445191661062	0.1956960322797579	0.47579018157363817	0.4821788836583726	0.48150638870208473	0.4821788836583726	0.4266980497646268	0.2464694014794889	0.14122394082044384	0.0	0.4858776059179556	0.476462676529926	0.4801613987895091	0.4791526563550773	0.4811701412239408	0.47747141896435774	0.484196368527236	0.3991257565568258	0.3648285137861466	0.23100201748486887	0.41728312037659715	0.24344317417619368	0.40685944855413586
G1-192	0.4996637525218561	0.49630127774041694	0.4088769334229993	0.37088096839273704	0.04303967720242098	0.2679892400806994	0.7952252858103565	0.5033624747814391	0.5087424344317417	0.4858776059179556	0.0	0.4209818426361802	0.3382649630127774	0.39509078681909887	0.39710827168796237	0.41190316072629457	0.4226630800268998	0.5110961667787491	0.5094149293880296	0.45998655010087425	0.5571620712844654	0.5104236718224613	0.5127774041694687
G2-213	0.39878950907868194	0.3853396099529254	0.05951580363147276	0.18762609280430398	0.38264963012777403	0.3301950235373235	0.788836583725622	0.3389374579690652	0.5016812373907196	0.476462676529926	0.4209818426361802	0.0	0.12138533960995293	0.028917283120376596	0.04236718224613315	0.01714862138533961	0.016812373907195696	0.15097511768661734	0.38601210490921317	0.425689307330195	0.550773369199731	0.2921990585070612	0.13214525891055817
G2-214	0.4058507061197041	0.39172831203765973	0.07229320780094149	0.09852051109616677	0.29825151311365167	0.20880968392737054	0.7945527908540686	0.34633490248823134	0.5094149293880296	0.4801613987895091	0.3382649630127774	0.12138533960995293	0.0	0.10020174848688634	0.082044384667115	0.11297915265635508	0.10759919300605246	0.24579690652320108	0.3940820443846671	0.43342299932750505	0.558843308675185	0.2995965030262273	0.2464694014794889
G2-215	0.40719569603227973	0.3934095494283793	0.05581708137188971	0.16476126429051782	0.3574310692669805	0.3073301950235373	0.7962340282447882	0.3459986550100874	0.5097511768661735	0.4791526563550773	0.39509078681909887	0.028917283120376596	0.10020174848688634	0.0	0.019502353732347006	0.01983860121049092	0.030598520511096166	0.15635507733691997	0.3913920645595158	0.43106926698049763	0.5568258238063215	0.29825151311365167	0.15198386012104909
G2-216	0.40719569603227973	0.3934095494283793	0.03765971755211836	0.14660390047074648	0.3574310692669805	0.28917283120376597	0.7962340282447882	0.347679892400807	0.5104236718224613	0.4811701412239408	0.39710827168796237	0.04236718224613315	0.082044384667115	0.019502353732347006	0.0	0.03429724277067922	0.02925353059852051	0.16711499663752521	0.39509078681909887	0.4344317417619368	0.5598520511096167	0.30094149293880296	0.16778749159381304
G2-217	0.40450571620712844	0.39071956960322796	0.05648957632817754	0.17921990585070613	0.37323470073974446	0.32178883658372565	0.7935440484196369	0.34330867518493613	0.50773369199731	0.47747141896435774	0.41190316072629457	0.01714862138533961	0.11297915265635508	0.01983860121049092	0.03429724277067922	0.0	0.02151983860121049	0.15433759246805648	0.39004707464694016	0.42938802958977806	0.554808338937458	0.2955615332885003	0.13651647612642906
G2-218	0.4051782111634163	0.3913920645595158	0.04808338937457969	0.17215870880968392	0.3839946200403497	0.31472763954270344	0.7958977807666443	0.34532616005379957	0.508069939475454	0.484196368527236	0.4226630800268998	0.016812373907195696	0.10759919300605246	0.030598520511096166	0.02925353059852051	0.02151983860121049	0.0	0.15736381977135172	0.39273705447209145	0.4320780094149294	0.5574983187626092	0.29858776059179554	0.14189643577673167
