	shannon_entropy
G1-139	1.9518464857543154
G1-140	1.9262834025736681
G1-141	1.0285015368403116
G1-142	1.3256113650878885
G1-143	1.3675369180010004
G1-144	1.6514988335399639
G1-187	2.4265380173996913
G1-188	1.683879510422103
G1-189	1.8554211951565678
G1-190	2.2970926149286446
G1-192	1.4159012418780292
G2-213	0.852681208595043
G2-214	1.1803400429846314
G2-215	0.8612527116566893
G2-216	0.905527868781125
G2-217	0.806470927654518
G2-218	0.8055295474767156
G2-219	0.9266271065813669
G2-220	1.556693026284058
G2-221	2.119751078795534
G2-222	1.684089025290683
G2-223	1.4011584305405405
G2-224	0.683558438616943
