	G1-139	G1-140	G1-141	G1-142	G1-143	G1-144	G1-187	G1-188	G1-189	G1-190	G1-192	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-220	G2-221	G2-222	G2-223	G2-224
G1-139	0.0	0.14465891278541473	0.0650971323840895	0.1676968273221628	0.07606931545706329	0.1676968273221628	0.3058283248442246	0.24188238290911512	0.22029514259930083	0.7073098057251891	0.3287561553052369	0.17631787714653274	0.06675886636621173	0.19088917528238022	0.1904362389659444	0.18865628291645872	0.337679984339971	0.1499351976011663	0.17072281602590125	0.3159974267966785	0.17828553270134592	0.30171058566021275	0.0671334279113956
G1-140	0.14465891278541473	0.0	0.19726889240404338	0.026851333853378276	0.20824107547701717	0.026851333853378276	0.34067176649176556	0.288829771244884	0.26803372526827374	0.7319558578695582	0.3706938028603977	0.29276582018486885	0.11172553214191544	0.23567602732310486	0.2350945537069677	0.23302219576776523	0.3793700510110521	0.19891625288592235	0.21458663073198264	0.3573301944708213	0.22689668995805723	0.34717030525988135	0.11748946971437552
G1-141	0.0650971323840895	0.19726889240404338	0.0	0.19953667333201	0.01109280854484118	0.19953667333201	0.3423145206933792	0.28405540246021094	0.25746552616047086	0.6985790571316767	0.34720619213596543	0.12011580288881128	0.10276695508355121	0.21806186094182145	0.2175650344041338	0.2157308607074459	0.29101593803642534	0.19622110467642592	0.21588638505910793	0.34804485210387237	0.227121273821683	0.3342213992408064	0.11761620000430259
G1-142	0.1676968273221628	0.026851333853378276	0.19953667333201	0.0	0.1905576847002974	0.0	0.35854106773021127	0.30810410897773166	0.2800688139676671	0.7371021987747655	0.36292902101760655	0.2956849684977844	0.10785349335575359	0.21920962954607276	0.22305264273870187	0.23126262819653082	0.37184702934617414	0.21479475686256091	0.23567602732310486	0.374586735976571	0.24798608654917942	0.360504168474477	0.12963586711302855
G1-143	0.07606931545706329	0.20824107547701717	0.01109280854484118	0.1905576847002974	0.0	0.1905576847002974	0.3505663935874472	0.2929572145324639	0.26669794772772965	0.7021589702894624	0.3449664669021627	0.12987618982899699	0.1090515046803152	0.2103546164528701	0.21389664570901742	0.22147404383611557	0.2883545158263882	0.20621501858876035	0.22555326207803358	0.35608242486944974	0.23678815084060864	0.34249946433977035	0.12865272538549505
G1-144	0.1676968273221628	0.026851333853378276	0.19953667333201	0.0	0.1905576847002974	0.0	0.35854106773021127	0.30810410897773166	0.2800688139676671	0.7371021987747655	0.36292902101760655	0.2956849684977844	0.10785349335575359	0.21920962954607276	0.22305264273870187	0.23126262819653082	0.37184702934617414	0.21479475686256091	0.23567602732310486	0.374586735976571	0.24798608654917942	0.360504168474477	0.12963586711302855
G1-187	0.3058283248442246	0.34067176649176556	0.3423145206933792	0.35854106773021127	0.3505663935874472	0.35854106773021127	0.0	0.39173534685420835	0.20764897984294134	0.6518403565022487	0.3128172670219027	0.24076319423142106	0.2913736159871794	0.1885137721492617	0.188119731576793	0.3649052228999482	0.3210408154481213	0.3273499295325125	0.17076006500026863	0.30138635717174816	0.1699189896804587	0.4315857705518346	0.28509444453472277
G1-188	0.24188238290911512	0.288829771244884	0.28405540246021094	0.30810410897773166	0.2929572145324639	0.30810410897773166	0.39173534685420835	0.0	0.3267462717834468	0.6280996333670716	0.3947528180629324	0.35474315228381703	0.22365582497933947	0.3129646390723246	0.3123375038831499	0.2846534427874836	0.4019044637835907	0.2747193394124669	0.2957420511156412	0.11435641322368392	0.29567299265812225	0.38817962941477147	0.2163821342975038
G1-189	0.22029514259930083	0.26803372526827374	0.25746552616047086	0.2800688139676671	0.26669794772772965	0.2800688139676671	0.20764897984294134	0.3267462717834468	0.0	0.6653743848321357	0.2330002780693024	0.14384710755111982	0.19219872535140006	0.0760039627511563	0.0758166467439078	0.2856313499022339	0.2431512580351447	0.25509876228340106	0.06490948380759684	0.22735500149352592	0.06322930013840235	0.37484657880044614	0.19283592137868946
G1-190	0.7073098057251891	0.7319558578695582	0.6985790571316767	0.7371021987747655	0.7021589702894624	0.7371021987747655	0.6518403565022487	0.6280996333670716	0.6653743848321357	0.0	0.6449949033768017	0.6545230021970899	0.7052191435773421	0.663058675914524	0.6625020236806466	0.7107400631679442	0.6647897495313922	0.7129197404686104	0.6580365358581212	0.5815255226554996	0.6611627955483139	0.6804091827239265	0.7080425124587336
