	G1-175	G1-176	G1-180	G1-181	G1-182	G2-1103	G2-1104	G2-197	G2-198	G2-21	G2-210	G2-211	G2-212	G2-22	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29
G1-175	0.0	0.2926829268292683	0.3048780487804878	0.12195121951219512	0.3048780487804878	0.823170731707317	0.8292682926829268	0.38414634146341464	0.42073170731707316	0.29878048780487804	0.4695121951219512	0.49390243902439024	0.4329268292682927	0.47560975609756095	0.38414634146341464	0.7195121951219512	0.3048780487804878	0.9512195121951219	0.5914634146341463	0.4329268292682927	0.5
G1-176	0.2926829268292683	0.0	0.03048780487804878	0.18292682926829268	0.012195121951219513	0.9573170731707317	0.8963414634146342	0.3902439024390244	0.42073170731707316	0.29878048780487804	0.4695121951219512	0.49390243902439024	0.43902439024390244	0.47560975609756095	0.38414634146341464	0.7195121951219512	0.3902439024390244	0.9512195121951219	0.5914634146341463	0.4329268292682927	0.5
G1-180	0.3048780487804878	0.03048780487804878	0.0	0.20121951219512196	0.03048780487804878	0.975609756097561	0.9024390243902439	0.39634146341463417	0.4146341463414634	0.31097560975609756	0.4573170731707317	0.5060975609756098	0.4329268292682927	0.4695121951219512	0.3780487804878049	0.7134146341463414	0.39634146341463417	0.9451219512195121	0.5853658536585366	0.4268292682926829	0.49390243902439024
G1-181	0.12195121951219512	0.18292682926829268	0.20121951219512196	0.0	0.1951219512195122	0.8292682926829268	0.8353658536585366	0.3719512195121951	0.42073170731707316	0.29878048780487804	0.4695121951219512	0.49390243902439024	0.43902439024390244	0.47560975609756095	0.38414634146341464	0.7195121951219512	0.3048780487804878	0.9512195121951219	0.5914634146341463	0.4329268292682927	0.5
G1-182	0.3048780487804878	0.012195121951219513	0.03048780487804878	0.1951219512195122	0.0	0.9695121951219512	0.9085365853658537	0.4024390243902439	0.42073170731707316	0.31097560975609756	0.4695121951219512	0.5060975609756098	0.43902439024390244	0.47560975609756095	0.38414634146341464	0.7195121951219512	0.4024390243902439	0.9512195121951219	0.5914634146341463	0.4329268292682927	0.5
G2-1103	0.823170731707317	0.9573170731707317	0.975609756097561	0.8292682926829268	0.9695121951219512	0.0	0.3719512195121951	0.8841463414634146	0.9695121951219512	0.9451219512195121	0.9573170731707317	0.9451219512195121	0.9512195121951219	0.975609756097561	0.9817073170731707	0.9817073170731707	0.676829268292683	0.9085365853658537	0.9695121951219512	0.9695121951219512	0.9512195121951219
G2-1104	0.8292682926829268	0.8963414634146342	0.9024390243902439	0.8353658536585366	0.9085365853658537	0.3719512195121951	0.0	0.8048780487804879	0.8963414634146342	0.8780487804878049	0.8780487804878049	0.8719512195121951	0.8841463414634146	0.9085365853658537	0.9146341463414634	0.9146341463414634	0.6951219512195121	0.8719512195121951	0.8902439024390244	0.8963414634146342	0.8780487804878049
G2-197	0.38414634146341464	0.3902439024390244	0.39634146341463417	0.3719512195121951	0.4024390243902439	0.8841463414634146	0.8048780487804879	0.0	0.12804878048780488	0.3719512195121951	0.14634146341463414	0.18902439024390244	0.14634146341463414	0.4695121951219512	0.40853658536585363	0.7134146341463414	0.32926829268292684	0.8902439024390244	0.31097560975609756	0.17682926829268292	0.17682926829268292
G2-198	0.42073170731707316	0.42073170731707316	0.4146341463414634	0.42073170731707316	0.42073170731707316	0.9695121951219512	0.8963414634146342	0.12804878048780488	0.0	0.40853658536585363	0.07317073170731707	0.13414634146341464	0.054878048780487805	0.4817073170731707	0.42073170731707316	0.7195121951219512	0.40853658536585363	0.9390243902439024	0.2073170731707317	0.10975609756097561	0.08536585365853659
G2-21	0.29878048780487804	0.29878048780487804	0.31097560975609756	0.29878048780487804	0.31097560975609756	0.9451219512195121	0.8780487804878049	0.3719512195121951	0.40853658536585363	0.0	0.45121951219512196	0.49390243902439024	0.4268292682926829	0.1951219512195122	0.10365853658536585	0.43902439024390244	0.2865853658536585	0.6585365853658537	0.39634146341463417	0.4268292682926829	0.4878048780487805
G2-210	0.4695121951219512	0.4695121951219512	0.4573170731707317	0.4695121951219512	0.4695121951219512	0.9573170731707317	0.8780487804878049	0.14634146341463414	0.07317073170731707	0.45121951219512196	0.0	0.11585365853658537	0.08536585365853659	0.47560975609756095	0.4634146341463415	0.7134146341463414	0.43902439024390244	0.9207317073170732	0.22560975609756098	0.10365853658536585	0.06707317073170732
G2-211	0.49390243902439024	0.49390243902439024	0.5060975609756098	0.49390243902439024	0.5060975609756098	0.9451219512195121	0.8719512195121951	0.18902439024390244	0.13414634146341464	0.49390243902439024	0.11585365853658537	0.0	0.11585365853658537	0.5121951219512195	0.5182926829268293	0.7195121951219512	0.49390243902439024	0.9512195121951219	0.21341463414634146	0.0975609756097561	0.07317073170731707
G2-212	0.4329268292682927	0.43902439024390244	0.4329268292682927	0.43902439024390244	0.43902439024390244	0.9512195121951219	0.8841463414634146	0.14634146341463414	0.054878048780487805	0.4268292682926829	0.08536585365853659	0.11585365853658537	0.0	0.4634146341463415	0.43902439024390244	0.7073170731707317	0.4146341463414634	0.9390243902439024	0.18902439024390244	0.11585365853658537	0.0975609756097561
G2-22	0.47560975609756095	0.47560975609756095	0.4695121951219512	0.47560975609756095	0.47560975609756095	0.975609756097561	0.9085365853658537	0.4695121951219512	0.4817073170731707	0.1951219512195122	0.47560975609756095	0.5121951219512195	0.4634146341463415	0.0	0.0975609756097561	0.24390243902439024	0.38414634146341464	0.47560975609756095	0.4024390243902439	0.47560975609756095	0.5
G2-23	0.38414634146341464	0.38414634146341464	0.3780487804878049	0.38414634146341464	0.38414634146341464	0.9817073170731707	0.9146341463414634	0.40853658536585363	0.42073170731707316	0.10365853658536585	0.4634146341463415	0.5182926829268293	0.43902439024390244	0.0975609756097561	0.0	0.3353658536585366	0.3231707317073171	0.5670731707317073	0.40853658536585363	0.43902439024390244	0.5
G2-24	0.7195121951219512	0.7195121951219512	0.7134146341463414	0.7195121951219512	0.7195121951219512	0.9817073170731707	0.9146341463414634	0.7134146341463414	0.7195121951219512	0.43902439024390244	0.7134146341463414	0.7195121951219512	0.7073170731707317	0.24390243902439024	0.3353658536585366	0.0	0.6280487804878049	0.23170731707317074	0.524390243902439	0.7195121951219512	0.7195121951219512
G2-25	0.3048780487804878	0.3902439024390244	0.39634146341463417	0.3048780487804878	0.4024390243902439	0.676829268292683	0.6951219512195121	0.32926829268292684	0.40853658536585363	0.2865853658536585	0.43902439024390244	0.49390243902439024	0.4146341463414634	0.38414634146341464	0.3231707317073171	0.6280487804878049	0.0	0.7865853658536586	0.5	0.4268292682926829	0.4817073170731707
G2-26	0.9512195121951219	0.9512195121951219	0.9451219512195121	0.9512195121951219	0.9512195121951219	0.9085365853658537	0.8719512195121951	0.8902439024390244	0.9390243902439024	0.6585365853658537	0.9207317073170732	0.9512195121951219	0.9390243902439024	0.47560975609756095	0.5670731707317073	0.23170731707317074	0.7865853658536586	0.0	0.7560975609756098	0.9451219512195121	0.9329268292682927
G2-27	0.5914634146341463	0.5914634146341463	0.5853658536585366	0.5914634146341463	0.5914634146341463	0.9695121951219512	0.8902439024390244	0.31097560975609756	0.2073170731707317	0.39634146341463417	0.22560975609756098	0.21341463414634146	0.18902439024390244	0.4024390243902439	0.40853658536585363	0.524390243902439	0.5	0.7560975609756098	0.0	0.2804878048780488	0.2073170731707317
G2-28	0.4329268292682927	0.4329268292682927	0.4268292682926829	0.4329268292682927	0.4329268292682927	0.9695121951219512	0.8963414634146342	0.17682926829268292	0.10975609756097561	0.4268292682926829	0.10365853658536585	0.0975609756097561	0.11585365853658537	0.47560975609756095	0.43902439024390244	0.7195121951219512	0.4268292682926829	0.9451219512195121	0.2804878048780488	0.0	0.12195121951219512
G2-29	0.5	0.5	0.49390243902439024	0.5	0.5	0.9512195121951219	0.8780487804878049	0.17682926829268292	0.08536585365853659	0.4878048780487805	0.06707317073170732	0.07317073170731707	0.0975609756097561	0.5	0.5	0.7195121951219512	0.4817073170731707	0.9329268292682927	0.2073170731707317	0.12195121951219512	0.0
