	G1-175	G1-176	G1-180	G1-181	G1-182	G2-1103	G2-1104	G2-197	G2-198	G2-21	G2-210	G2-211	G2-212	G2-22	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29
G1-175	0.0	0.09028867998046462	0.09200184614151964	0.039103438426483964	0.09376927116659284	0.14548079842837963	0.08164813988417793	0.08178190946279457	0.0993384589843257	0.08646317117368088	0.09936866905616842	0.08866152156207373	0.08717419357930546	0.11766128921310895	0.10448863985670212	0.15544055713155722	0.06144259503344887	0.17966468608548924	0.0920462496168343	0.09864175085951696	0.09609602698275381
G1-176	0.09028867998046462	0.0	0.002812242864605553	0.05271771984308486	0.0034805911861282247	0.18460114989180845	0.0704423460492872	0.0162764126592768	0.009293658923380464	0.046032261903219816	0.010277042322122346	0.008999459657313165	0.0103744905109485	0.07442906692727351	0.06125641757086667	0.11220833484572174	0.0658666095602242	0.13870317540256946	0.03313847862119748	0.0092879296559093	0.011166646038792003
G1-180	0.09200184614151964	0.002812242864605553	0.0	0.055448670905248985	0.003402205870726319	0.1871656384808556	0.07208667215487367	0.017920738764863275	0.008760270688282574	0.04776092101132815	0.008907824606085671	0.01112454373505043	0.011761537040617227	0.07331064468687569	0.06013799533046884	0.1110899126053239	0.0674284974079764	0.13741829068905467	0.0318921765467765	0.00875454142081141	0.010633257803694115
G1-181	0.039103438426483964	0.05271771984308486	0.055448670905248985	0.0	0.05619831102921309	0.14460037181820332	0.055948524397582765	0.05020733748621331	0.06176750043231179	0.06718751133347092	0.06238507181762818	0.056073304284597246	0.05700040865908267	0.09663776144413462	0.08346511208772779	0.13441702936258285	0.044240545200432524	0.16091186991943066	0.05534717313805861	0.06107079291725915	0.06315273819648935
G1-182	0.09376927116659284	0.0034805911861282247	0.003402205870726319	0.05619831102921309	0.0	0.1880817410779367	0.07392293723541545	0.019757003845405026	0.00589435953969367	0.04951285308934803	0.006877742938435554	0.012480050843441387	0.01359780212115898	0.07298241076289354	0.059809761406486694	0.11076167868134175	0.06934720074635244	0.13725651923818954	0.03169182245681751	0.005888630272222507	0.009479800216562096
G2-1103	0.14548079842837963	0.18460114989180845	0.1871656384808556	0.14460037181820332	0.1880817410779367	0.0	0.12989748080813612	0.17383640068711895	0.19212414453639595	0.1811771716347873	0.19146562007198678	0.18044614512240256	0.18021714394884705	0.18275765350352263	0.18585648432110177	0.2082121935681754	0.1354566256273494	0.22774759671508613	0.18606866746067258	0.18955860091779841	0.1876169430617008
G2-1104	0.08164813988417793	0.0704423460492872	0.07208667215487367	0.055948524397582765	0.07392293723541545	0.12989748080813612	0.0	0.05867310135861514	0.07779667468883089	0.0855833959430597	0.07630232074348298	0.06576360376604959	0.06578262663387234	0.11462645744342617	0.10210414250655077	0.15082053521426644	0.03859819295263013	0.17055916786728076	0.07383433296112903	0.07523113107023337	0.0732894732141358
G2-197	0.08178190946279457	0.0162764126592768	0.017920738764863275	0.05020733748621331	0.019757003845405026	0.17383640068711895	0.05867310135861514	0.0	0.021590956829891404	0.052004322779432094	0.01992793755023144	0.009890598445552776	0.01167471954449117	0.08197860223556735	0.06880595318403854	0.11975787015401555	0.05426603142337634	0.14124783053900353	0.03768648746730498	0.02001649482379485	0.016915090874542807
G2-198	0.0993384589843257	0.009293658923380464	0.008760270688282574	0.06176750043231179	0.00589435953969367	0.19212414453639595	0.07779667468883089	0.021590956829891404	0.0	0.05455801058599958	0.0021213538893904253	0.013900338017182877	0.015062687231170734	0.07608797386878692	0.06045170120297964	0.11140361811198105	0.07338960426578724	0.13720073357978907	0.033451394858693	0.004135875658699203	0.0072365343397761
G2-21	0.08646317117368088	0.046032261903219816	0.04776092101132815	0.06718751133347092	0.04951285308934803	0.1811771716347873	0.0855833959430597	0.052004322779432094	0.05455801058599958	0.0	0.05433975218549916	0.04961114248687394	0.04922165965217221	0.03413440789378384	0.020961758537376994	0.07191367581223207	0.05479703209691877	0.09788448610897413	0.0213799607705471	0.053997973397445276	0.055943247679445446
G2-210	0.09936866905616842	0.010277042322122346	0.008907824606085671	0.06238507181762818	0.006877742938435554	0.19146562007198678	0.07630232074348298	0.01992793755023144	0.0021213538893904253	0.05433975218549916	0.0	0.012775322684060952	0.015003035962804525	0.07586971498048162	0.060233442802479206	0.11118535922367573	0.07189525080824417	0.13645844443137808	0.03339478485138283	0.0032446954784969874	0.006370331738460935
G2-211	0.08866152156207373	0.008999459657313165	0.01112454373505043	0.056073304284597246	0.012480050843441387	0.18044614512240256	0.06576360376604959	0.009890598445552776	0.013900338017182877	0.04961114248687394	0.012775322684060952	0.0	0.005167837709370704	0.0790876919370511	0.06591504355625398	0.11686695948964566	0.06144076047699798	0.13958695884970385	0.03410856905870575	0.01071273525686864	0.0088551435195429
G2-212	0.08717419357930546	0.0103744905109485	0.011761537040617227	0.05700040865908267	0.01359780212115898	0.18021714394884705	0.06578262663387234	0.01167471954449117	0.015062687231170734	0.04922165965217221	0.015003035962804525	0.005167837709370704	0.0	0.07844093031911455	0.0652682816334394	0.11622019823756274	0.06261441856273069	0.1393162299960894	0.033381061610070296	0.01517242458796046	0.01193915112342449
G2-22	0.11766128921310895	0.07442906692727351	0.07331064468687569	0.09663776144413462	0.07298241076289354	0.18275765350352263	0.11462645744342617	0.08197860223556735	0.07608797386878692	0.03413440789378384	0.07586971498048162	0.0790876919370511	0.07844093031911455	0.0	0.015636273031660944	0.03777926791844822	0.08610403220915373	0.06427410847529598	0.045100203904860206	0.07539126537812453	0.0790384003550019
G2-23	0.10448863985670212	0.06125641757086667	0.06013799533046884	0.08346511208772779	0.059809761406486694	0.18585648432110177	0.10210414250655077	0.06880595318403854	0.06045170120297964	0.020961758537376994	0.060233442802479206	0.06591504355625398	0.0652682816334394	0.015636273031660944	0.0	0.05095191727485506	0.07313461235885046	0.07827581606535138	0.03192755613381921	0.062218616570498174	0.06423118653259922
G2-24	0.15544055713155722	0.11220833484572174	0.1110899126053239	0.13441702936258285	0.11076167868134175	0.2082121935681754	0.15082053521426644	0.11975787015401555	0.11140361811198105	0.07191367581223207	0.11118535922367573	0.11686695948964566	0.11622019823756274	0.03777926791844822	0.05095191727485506	0.0	0.12388330012760196	0.0273238987904963	0.08287947060379625	0.11317053329657274	0.1151831026489177
G2-25	0.06144259503344887	0.0658666095602242	0.0674284974079764	0.044240545200432524	0.06934720074635244	0.1354566256273494	0.03859819295263013	0.05426603142337634	0.07338960426578724	0.05479703209691877	0.07189525080824417	0.06144076047699798	0.06261441856273069	0.08610403220915373	0.07313461235885046	0.12388330012760196	0.0	0.14496324752089987	0.05479668711012845	0.07124320068081948	0.06888240394962873
G2-26	0.17966468608548924	0.13870317540256946	0.13741829068905467	0.16091186991943066	0.13725651923818954	0.22774759671508613	0.17055916786728076	0.14124783053900353	0.13720073357978907	0.09788448610897413	0.13645844443137808	0.13958695884970385	0.1393162299960894	0.06427410847529598	0.07827581606535138	0.0273238987904963	0.14496324752089987	0.0	0.10849690223088422	0.13802457326231662	0.13749308901728582
G2-27	0.0920462496168343	0.03313847862119748	0.0318921765467765	0.05534717313805861	0.03169182245681751	0.18606866746067258	0.07383433296112903	0.03768648746730498	0.033451394858693	0.0213799607705471	0.03339478485138283	0.03410856905870575	0.033381061610070296	0.045100203904860206	0.03192755613381921	0.08287947060379625	0.05479668711012845	0.10849690223088422	0.0	0.03327934103575973	0.03557276292833259
G2-28	0.09864175085951696	0.0092879296559093	0.00875454142081141	0.06107079291725915	0.005888630272222507	0.18955860091779841	0.07523113107023337	0.02001649482379485	0.004135875658699203	0.053997973397445276	0.0032446954784969874	0.01071273525686864	0.01517242458796046	0.07539126537812453	0.062218616570498174	0.11317053329657274	0.07124320068081948	0.13802457326231662	0.03327934103575973	0.0	0.007236184636445581
G2-29	0.09609602698275381	0.011166646038792003	0.010633257803694115	0.06315273819648935	0.009479800216562096	0.1876169430617008	0.0732894732141358	0.016915090874542807	0.0072365343397761	0.055943247679445446	0.006370331738460935	0.0088551435195429	0.01193915112342449	0.0790384003550019	0.06423118653259922	0.1151831026489177	0.06888240394962873	0.13749308901728582	0.03557276292833259	0.007236184636445581	0.0
