	G1-11	G1-12	G1-130	G1-131	G1-132	G1-15	G1-177	G1-178	G1-193	G2-194	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.47348242811501595	0.7456869009584665	0.5654952076677316	0.7559105431309904	0.38210862619808306	0.3814696485623003	0.22492012779552717	0.34760383386581467	0.16166134185303516	0.51629392971246	0.30095846645367413	0.3169329073482428	0.3060702875399361	0.4083067092651757	0.5099041533546326	0.2549520766773163	0.2012779552715655	0.27284345047923325	0.2779552715654952	0.42236421725239615	0.321405750798722
G1-12	0.47348242811501595	0.0	0.8958466453674121	0.739297124600639	0.9060702875399361	0.655591054313099	0.6530351437699681	0.4894568690095847	0.2568690095846645	0.470926517571885	0.7079872204472843	0.5910543130990416	0.5961661341853035	0.5814696485623003	0.6856230031948882	0.7201277955271566	0.6383386581469649	0.5859424920127796	0.594888178913738	0.6006389776357828	0.7194888178913738	0.6415335463258786
G1-130	0.7456869009584665	0.8958466453674121	0.0	0.549520766773163	0.021725239616613417	0.8306709265175719	0.8875399361022365	0.8894568690095846	0.8396166134185303	0.8364217252396167	0.8964856230031949	0.8798722044728434	0.886261980830671	0.8958466453674121	0.886261980830671	0.8702875399361022	0.7763578274760383	0.7731629392971247	0.8383386581469648	0.8370607028753994	0.8696485623003195	0.8376996805111822
G1-131	0.5654952076677316	0.739297124600639	0.549520766773163	0.0	0.5591054313099042	0.65814696485623	0.7571884984025559	0.723961661341853	0.6728434504792332	0.6626198083067093	0.4575079872204473	0.6677316293929713	0.5405750798722044	0.681150159744409	0.6843450479233227	0.43322683706070286	0.6146964856230032	0.5936102236421725	0.6402555910543131	0.6306709265175718	0.802555910543131	0.6728434504792332
G1-132	0.7559105431309904	0.9060702875399361	0.021725239616613417	0.5591054313099042	0.0	0.82555910543131	0.8939297124600639	0.8958466453674121	0.8549520766773163	0.8517571884984025	0.9028753993610223	0.886261980830671	0.8926517571884984	0.9022364217252397	0.8926517571884984	0.8651757188498402	0.7916932907348243	0.7884984025559105	0.8536741214057508	0.8523961661341853	0.8766773162939298	0.853035143769968
G1-15	0.38210862619808306	0.655591054313099	0.8306709265175719	0.65814696485623	0.82555910543131	0.0	0.3693290734824281	0.3782747603833866	0.5552715654952076	0.4172523961661342	0.4779552715654952	0.3795527156549521	0.33354632587859423	0.3814696485623003	0.35654952076677315	0.3878594249201278	0.3488817891373802	0.37252396166134183	0.37763578274760384	0.3450479233226837	0.4575079872204473	0.3648562300319489
G1-177	0.3814696485623003	0.6530351437699681	0.8875399361022365	0.7571884984025559	0.8939297124600639	0.3693290734824281	0.0	0.17124600638977636	0.5527156549520766	0.3111821086261981	0.5092651757188499	0.1801916932907348	0.2913738019169329	0.18466453674121405	0.32971246006389776	0.49584664536741213	0.1878594249201278	0.27539936102236423	0.16869009584664538	0.19297124600638976	0.22939297124600638	0.1546325878594249
G1-178	0.22492012779552717	0.4894568690095847	0.8894568690095846	0.723961661341853	0.8958466453674121	0.3782747603833866	0.17124600638977636	0.0	0.3904153354632588	0.17635782747603834	0.5182108626198083	0.2715654952076677	0.24792332268370607	0.26389776357827477	0.3488817891373802	0.5047923322683706	0.3092651757188498	0.2702875399361022	0.2690095846645367	0.2523961661341853	0.3853035143769968	0.29648562300319486
G1-193	0.34760383386581467	0.2568690095846645	0.8396166134185303	0.6728434504792332	0.8549520766773163	0.5552715654952076	0.5527156549520766	0.3904153354632588	0.0	0.26198083067092653	0.6115015974440895	0.4830670926517572	0.49456869009584664	0.48690095846645365	0.5853035143769968	0.6236421725239617	0.4485623003194888	0.3546325878594249	0.4204472843450479	0.4012779552715655	0.6	0.44792332268370605
G2-194	0.16166134185303516	0.470926517571885	0.8364217252396167	0.6626198083067093	0.8517571884984025	0.4172523961661342	0.3111821086261981	0.17635782747603834	0.26198083067092653	0.0	0.51629392971246	0.23769968051118212	0.28498402555910546	0.24217252396166133	0.35654952076677315	0.5111821086261981	0.20383386581469648	0.12971246006389775	0.17827476038338658	0.16102236421725238	0.3584664536741214	0.20702875399361023
G3-419	0.51629392971246	0.7079872204472843	0.8964856230031949	0.4575079872204473	0.9028753993610223	0.4779552715654952	0.5092651757188499	0.5182108626198083	0.6115015974440895	0.51629392971246	0.0	0.4741214057507987	0.33610223642172526	0.4728434504792332	0.402555910543131	0.10095846645367412	0.4926517571884984	0.5099041533546326	0.4881789137380192	0.48434504792332267	0.5169329073482428	0.49456869009584664
G3-420	0.30095846645367413	0.5910543130990416	0.8798722044728434	0.6677316293929713	0.886261980830671	0.3795527156549521	0.1801916932907348	0.2715654952076677	0.4830670926517572	0.23769968051118212	0.4741214057507987	0.0	0.2440894568690096	0.020447284345047924	0.3137380191693291	0.46517571884984027	0.16293929712460065	0.19808306709265175	0.08690095846645367	0.134185303514377	0.16741214057507986	0.11437699680511182
