	shannon_entropy
G1-11	2.1280676858712444
G1-12	0.7645594146703134
G1-130	1.077095020219301
G1-131	2.061489633839414
G1-132	1.0765455276437426
G1-15	2.3814379920433515
G1-177	1.744733183908371
G1-178	1.705342348557118
G1-193	1.7923412045712994
G2-194	1.9014775592502062
G3-419	1.6012925387315855
G3-420	1.4514758625867248
G3-421	2.2066835283103736
G3-422	1.3060851599404164
G3-423	2.3015876429746256
G3-424	1.9153010332075917
G3-425	2.066698560547706
G3-426	2.097782485893037
G3-427	1.790959419973918
G3-428	1.9563359528983493
G3-429	1.2600040666034518
G3-430	1.8064359849091094
