	G1-11	G1-12	G1-130	G1-131	G1-132	G1-15	G1-177	G1-178	G1-193	G2-194	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.005064862768805754	0.06583647268520962	0.00511328914159591	0.03189744742695652	0.06993908020987262	0.598337872792403	0.11098367952256018	0.6613217291668778	0.1772147980882589	0.2808455219056635	0.2311245440084216	0.3978053435525283	0.058241048751833044	0.37705351155063205	0.20427411167560405	0.21875743870793485	0.0	0.1725819106374358	0.052428000324716395	0.03999129366620035	0.0
G1-12	0.005064862768805754	0.0	0.07072377523068653	0.010178151910401665	0.03696231019576227	0.06550329464129588	0.597468334202899	0.10671268685586167	0.6631418184136257	0.1816365240368973	0.27805326565816846	0.23523750421627554	0.3959440077049626	0.05344688713176955	0.375061468629516	0.20050940776906978	0.22273466176148288	0.005064862768805754	0.17700453928885748	0.05749286309352215	0.04487859621167727	0.005064862768805754
G1-130	0.06583647268520962	0.07072377523068653	0.0	0.061204426011882536	0.03617056383274477	0.125163781217073	0.6148888892676719	0.1609927728893147	0.6745972281900091	0.22180648918877915	0.3175669939376456	0.2713465648462188	0.42502071217612464	0.1127238703573535	0.405588513196346	0.21180744705834617	0.25797971382301127	0.06583647268520962	0.22502023399443077	0.11642649084312866	0.02597333225128184	0.06583647268520962
G1-131	0.00511328914159591	0.010178151910401665	0.061204426011882536	0.0	0.026921817321542883	0.07014420561313096	0.5974600021642731	0.10667165279810126	0.6606982650932365	0.17352541294030152	0.27802646357074656	0.22791864200392895	0.3959261554889142	0.05340081340959681	0.3750423607370362	0.20479509576011445	0.21560790817213296	0.00511328914159591	0.1770468251065711	0.057541289466312304	0.0352310937606007	0.00511328914159591
G1-132	0.03189744742695652	0.03696231019576227	0.03617056383274477	0.026921817321542883	0.0	0.09530570798599351	0.6089084678294322	0.1320784172578851	0.6703410338136762	0.19701336621742682	0.2985598001022801	0.24975961072017655	0.41227213683763736	0.0803226307311397	0.3919534486908649	0.18443827965967535	0.23672516877678568	0.03189744742695652	0.20043470178639278	0.08432544775167292	0.061204426011882536	0.03189744742695652
G1-15	0.06993908020987262	0.06550329464129588	0.125163781217073	0.07014420561313096	0.09530570798599351	0.0	0.5730526154782628	0.0550665425657717	0.6707716009320447	0.22525521888042213	0.3120630519142313	0.2732945530990523	0.41881699734647176	0.11106575690775991	0.337101756796735	0.1358525029485458	0.26019891635567904	0.06993908020987262	0.22460073421297724	0.11907378824485533	0.10083269635329016	0.06993908020987262
G1-177	0.598337872792403	0.597468334202899	0.6148888892676719	0.5974600021642731	0.6089084678294322	0.5730526154782628	0.0	0.562158862994953	0.7425095876122055	0.5629652571738082	0.5442882748845103	0.5479394001495616	0.5490731289941764	0.588106467544231	0.5827373106719842	0.6041094971045402	0.5485610811746194	0.598337872792403	0.5977373174331849	0.6206985226250978	0.6036154891405441	0.598337872792403
G1-178	0.11098367952256018	0.10671268685586167	0.1609927728893147	0.10667165279810126	0.1320784172578851	0.0550665425657717	0.562158862994953	0.0	0.6865207193867443	0.25868264888688747	0.28144137165675026	0.23903833891757148	0.4436809484236981	0.059262600875666434	0.36590265254984855	0.10520596118917405	0.2906736581527879	0.11098367952256018	0.26168565783926784	0.16047548193855565	0.13643242155905944	0.11098367952256018
G1-193	0.6613217291668778	0.6631418184136257	0.6745972281900091	0.6606982650932365	0.6703410338136762	0.6707716009320447	0.7425095876122055	0.6865207193867443	0.0	0.605186751253665	0.7119275678810307	0.6409475508857867	0.6781937561472882	0.6798251942690039	0.6673777737712152	0.7195631483131287	0.6296331224317632	0.6613217291668778	0.6342296046252096	0.6548183970155431	0.665078956304814	0.6613217291668778
G2-194	0.1772147980882589	0.1816365240368973	0.22180648918877915	0.17352541294030152	0.19701336621742682	0.22525521888042213	0.5629652571738082	0.25868264888688747	0.605186751253665	0.0	0.38661431566552984	0.1648935840426134	0.36083427549760055	0.22011497988314763	0.32537449976767563	0.3309998716672962	0.15473983651282375	0.1772147980882589	0.1171472506217731	0.13774897619506615	0.1990437531063685	0.1772147980882589
G3-419	0.2808455219056635	0.27805326565816846	0.3175669939376456	0.27802646357074656	0.2985598001022801	0.3120630519142313	0.5442882748845103	0.28144137165675026	0.7119275678810307	0.38661431566552984	0.0	0.3670123839544855	0.3839152733812779	0.24737275971805264	0.5012646119270704	0.3581624025246281	0.40315305327815376	0.2808455219056635	0.38867171824754243	0.32088106514215736	0.2975900570929258	0.2808455219056635
G3-420	0.2311245440084216	0.23523750421627554	0.2713465648462188	0.22791864200392895	0.24975961072017655	0.2732945530990523	0.5479394001495616	0.23903833891757148	0.6409475508857867	0.1648935840426134	0.3670123839544855	0.0	0.3824418238057729	0.20072302605513323	0.35733752369121285	0.32085497215626085	0.20486705095247512	0.2311245440084216	0.2376537096613697	0.27369909912588547	0.25013403468977535	0.2311245440084216
G3-421	0.3978053435525283	0.3959440077049626	0.42502071217612464	0.3959261554889142	0.41227213683763736	0.41881699734647176	0.5490731289941764	0.4436809484236981	0.6781937561472882	0.36083427549760055	0.3839152733812779	0.3824418238057729	0.0	0.42347619884444154	0.4693773476803065	0.5014837442527124	0.35239793935019087	0.3978053435525283	0.3450329482989506	0.4297018527119348	0.409029296244097	0.3978053435525283
G3-422	0.058241048751833044	0.05344688713176955	0.1127238703573535	0.05340081340959681	0.0803226307311397	0.11106575690775991	0.588106467544231	0.059262600875666434	0.6798251942690039	0.22011497988314763	0.24737275971805264	0.20072302605513323	0.42347619884444154	0.0	0.40348091056810564	0.16337336854834794	0.2574950839077962	0.058241048751833044	0.22343788495625003	0.11066904907654944	0.08675053810607167	0.058241048751833044
G3-423	0.37705351155063205	0.375061468629516	0.405588513196346	0.3750423607370362	0.3919534486908649	0.337101756796735	0.5827373106719842	0.36590265254984855	0.6673777737712152	0.32537449976767563	0.5012646119270704	0.35733752369121285	0.4693773476803065	0.40348091056810564	0.0	0.4262516404185286	0.30937013006853603	0.37705351155063205	0.38489638807008314	0.41004918522841494	0.38905664583773625	0.37705351155063205
G3-424	0.20427411167560405	0.20050940776906978	0.21180744705834617	0.20479509576011445	0.18443827965967535	0.1358525029485458	0.6041094971045402	0.10520596118917405	0.7195631483131287	0.3309998716672962	0.3581624025246281	0.32085497215626085	0.5014837442527124	0.16337336854834794	0.4262516404185286	0.0	0.3662935156773371	0.20427411167560405	0.3418705896557544	0.2530172039736439	0.23083683309017147	0.20427411167560405
G3-425	0.21875743870793485	0.22273466176148288	0.25797971382301127	0.21560790817213296	0.23672516877678568	0.26019891635567904	0.5485610811746194	0.2906736581527879	0.6296331224317632	0.15473983651282375	0.40315305327815376	0.20486705095247512	0.35239793935019087	0.2574950839077962	0.30937013006853603	0.3662935156773371	0.0	0.21875743870793485	0.23615457778797258	0.2599269355059799	0.23745049536047294	0.21875743870793485
G3-426	0.0	0.005064862768805754	0.06583647268520962	0.00511328914159591	0.03189744742695652	0.06993908020987262	0.598337872792403	0.11098367952256018	0.6613217291668778	0.1772147980882589	0.2808455219056635	0.2311245440084216	0.3978053435525283	0.058241048751833044	0.37705351155063205	0.20427411167560405	0.21875743870793485	0.0	0.1725819106374358	0.052428000324716395	0.03999129366620035	0.0
G3-427	0.1725819106374358	0.17700453928885748	0.22502023399443077	0.1770468251065711	0.20043470178639278	0.22460073421297724	0.5977373174331849	0.26168565783926784	0.6342296046252096	0.1171472506217731	0.38867171824754243	0.2376537096613697	0.3450329482989506	0.22343788495625003	0.38489638807008314	0.3418705896557544	0.23615457778797258	0.1725819106374358	0.0	0.13288537595907005	0.20235150232587215	0.1725819106374358
G3-428	0.052428000324716395	0.05749286309352215	0.11642649084312866	0.057541289466312304	0.08432544775167292	0.11907378824485533	0.6206985226250978	0.16047548193855565	0.6548183970155431	0.13774897619506615	0.32088106514215736	0.27369909912588547	0.4297018527119348	0.11066904907654944	0.41004918522841494	0.2530172039736439	0.2599269355059799	0.052428000324716395	0.13288537595907005	0.0	0.0905813118241194	0.052428000324716395
G3-429	0.03999129366620035	0.04487859621167727	0.02597333225128184	0.0352310937606007	0.061204426011882536	0.10083269635329016	0.6036154891405441	0.13643242155905944	0.665078956304814	0.1990437531063685	0.2975900570929258	0.25013403468977535	0.409029296244097	0.08675053810607167	0.38905664583773625	0.23083683309017147	0.23745049536047294	0.03999129366620035	0.20235150232587215	0.0905813118241194	0.0	0.03999129366620035
G3-430	0.0	0.005064862768805754	0.06583647268520962	0.00511328914159591	0.03189744742695652	0.06993908020987262	0.598337872792403	0.11098367952256018	0.6613217291668778	0.1772147980882589	0.2808455219056635	0.2311245440084216	0.3978053435525283	0.058241048751833044	0.37705351155063205	0.20427411167560405	0.21875743870793485	0.0	0.1725819106374358	0.052428000324716395	0.03999129366620035	0.0
