	G1-11	G1-110	G1-115	G1-116	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-14	G1-15	G1-157	G1-158	G1-159	G1-161	G1-162	G1-177	G1-178	G1-19	G1-193	G2-194	G2-41	G2-410	G2-411	G2-412	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-42	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46	G3-47	G3-48	G3-49
G1-11	0.0	0.48881789137380194	0.6837060702875399	0.597444089456869	0.4817891373801917	0.33865814696485624	0.744408945686901	0.5846645367412141	0.7642172523961661	0.7361022364217252	0.29073482428115016	0.7079872204472843	0.42619808306709267	0.405111821086262	0.5361022364217253	0.6408945686900959	0.5130990415335464	0.5961661341853035	0.6019169329073483	0.39105431309904154	0.23450479233226837	0.5904153354632588	0.3693290734824281	0.18146964856230033	0.40063897763578277	0.7859424920127795	0.6389776357827476	0.7009584664536741	0.6383386581469649	0.31757188498402555	0.5654952076677316	0.860702875399361	0.3987220447284345	0.2511182108626198	0.5220447284345048	0.331629392971246	0.2817891373801917	0.3111821086261981	0.2977635782747604	0.42236421725239615	0.5067092651757189	0.25814696485623	0.21725239616613418	0.32396166134185306	0.3111821086261981	0.42619808306709267	0.41214057507987223	0.32651757188498404	0.37763578274760384	0.5035143769968051	0.2702875399361022	0.6575079872204472	0.7412140575079872	0.7386581469648562
G1-110	0.48881789137380194	0.0	0.6504792332268371	0.5437699680511182	0.5233226837060703	0.7827476038338658	0.8984025559105431	0.5578274760383387	0.9105431309904153	0.6383386581469649	0.4817891373801917	0.6741214057507987	0.45559105431309904	0.5993610223642173	0.31309904153354634	0.22747603833865815	0.08498402555910543	0.5258785942492012	0.5361022364217253	0.5041533546325878	0.3501597444089457	0.23514376996805111	0.48690095846645365	0.4837060702875399	0.16102236421725238	0.5827476038338658	0.46134185303514375	0.5054313099041533	0.5884984025559106	0.5514376996805112	0.7035143769968051	0.6920127795527157	0.6888178913738019	0.536741214057508	0.5156549520766773	0.2715654952076677	0.5143769968051118	0.3827476038338658	0.5284345047923322	0.5571884984025559	0.5118210862619809	0.6172523961661341	0.5725239616613419	0.594888178913738	0.5437699680511182	0.7009584664536741	0.0817891373801917	0.5897763578274761	0.21405750798722045	0.3035143769968051	0.2747603833865815	0.5706070287539936	0.5437699680511182	0.8319488817891374
G1-115	0.6837060702875399	0.6504792332268371	0.0	0.2690095846645367	0.7194888178913738	0.8945686900958466	0.9009584664536742	0.7067092651757189	0.91629392971246	0.8038338658146965	0.6773162939297125	0.8549520766773163	0.7188498402555911	0.746964856230032	0.6523961661341853	0.6805111821086262	0.6479233226837061	0.5386581469648563	0.5297124600638977	0.771884984025559	0.7015974440894569	0.6472843450479233	0.6984025559105431	0.6900958466453674	0.6440894568690095	0.3060702875399361	0.23514376996805111	0.2185303514376997	0.8575079872204473	0.7642172523961661	0.8389776357827476	0.9482428115015974	0.794888178913738	0.6651757188498403	0.7782747603833866	0.6600638977635783	0.6492012779552716	0.6594249201277955	0.6575079872204472	0.7674121405750799	0.7853035143769969	0.7380191693290735	0.7041533546325879	0.7297124600638978	0.7130990415335463	0.8370607028753994	0.6479233226837061	0.7431309904153355	0.6504792332268371	0.7546325878594249	0.6798722044728435	0.16038338658146964	0.19680511182108626	0.5297124600638977
G1-116	0.597444089456869	0.5437699680511182	0.2690095846645367	0.0	0.47348242811501595	0.8913738019169329	0.9009584664536742	0.6888178913738019	0.9124600638977636	0.7853035143769969	0.46900958466453674	0.8351437699680511	0.6971246006389776	0.7431309904153355	0.3859424920127795	0.6600638977635783	0.5335463258785943	0.2805111821086262	0.2690095846645367	0.7706070287539936	0.5955271565495208	0.6089456869009585	0.44920127795527154	0.5884984025559106	0.47859424920127797	0.3514376996805112	0.20447284345047922	0.27284345047923325	0.8351437699680511	0.7424920127795527	0.8351437699680511	0.9444089456869009	0.797444089456869	0.6472843450479233	0.759744408945687	0.46134185303514375	0.6338658146964856	0.6396166134185304	0.6479233226837061	0.7482428115015974	0.7648562300319489	0.7373801916932907	0.7003194888178914	0.726517571884984	0.7079872204472843	0.8357827476038339	0.5418530351437699	0.739297124600639	0.45431309904153355	0.7335463258785943	0.6396166134185304	0.22939297124600638	0.3079872204472843	0.529073482428115
G1-12	0.4817891373801917	0.5233226837060703	0.7194888178913738	0.47348242811501595	0.0	0.7507987220447284	0.9009584664536742	0.7693290734824281	0.9137380191693291	0.789776357827476	0.3610223642172524	0.8869009584664537	0.6357827476038339	0.65814696485623	0.25878594249201275	0.6773162939297125	0.5405750798722044	0.2268370607028754	0.22044728434504793	0.6511182108626198	0.47220447284345046	0.6274760383386582	0.26198083067092653	0.47220447284345046	0.43003194888178914	0.8217252396166134	0.6753993610223642	0.7373801916932907	0.7763578274760383	0.6856230031948882	0.7067092651757189	0.8741214057507988	0.676038338658147	0.5565495207667731	0.708626198083067	0.3795527156549521	0.5686900958466453	0.5865814696485623	0.5699680511182109	0.6977635782747604	0.7130990415335463	0.6319488817891373	0.5827476038338658	0.6338658146964856	0.6210862619808307	0.7258785942492013	0.4907348242811502	0.6364217252396166	0.39105431309904154	0.6837060702875399	0.5418530351437699	0.6958466453674121	0.7782747603833866	0.8664536741214057
G1-13	0.33865814696485624	0.7827476038338658	0.8945686900958466	0.8913738019169329	0.7507987220447284	0.0	0.5329073482428115	0.5865814696485623	0.5335463258785943	0.7246006389776358	0.5463258785942492	0.4881789137380192	0.5252396166134186	0.45559105431309904	0.8281150159744409	0.8191693290734824	0.8089456869009585	0.8913738019169329	0.8964856230031949	0.4575079872204473	0.45878594249201277	0.8204472843450479	0.6837060702875399	0.44984025559105434	0.6920127795527157	0.8926517571884984	0.8926517571884984	0.886261980830671	0.6964856230031949	0.3987220447284345	0.5546325878594249	0.7884984025559105	0.3769968051118211	0.38338658146964855	0.6006389776357828	0.6255591054313099	0.4575079872204473	0.46645367412140576	0.46325878594249204	0.4504792332268371	0.5226837060702876	0.39105431309904154	0.3904153354632588	0.45431309904153355	0.4536741214057508	0.45431309904153355	0.7079872204472843	0.4549520766773163	0.6715654952076677	0.6051118210862619	0.5111821086261981	0.8856230031948882	0.8913738019169329	0.7801916932907348
G1-130	0.744408945686901	0.8984025559105431	0.9009584664536742	0.9009584664536742	0.9009584664536742	0.5329073482428115	0.0	0.5610223642172524	0.031309904153354634	0.853035143769968	0.7738019169329073	0.5354632587859425	0.7936102236421725	0.82555910543131	0.8971246006389776	0.8977635782747604	0.8984025559105431	0.8952076677316294	0.9015974440894569	0.8920127795527156	0.8932907348242811	0.8984025559105431	0.8511182108626199	0.8453674121405751	0.8913738019169329	0.9022364217252397	0.9022364217252397	0.8984025559105431	0.8728434504792332	0.8498402555910544	0.8389776357827476	0.9060702875399361	0.8645367412140575	0.8511182108626199	0.8952076677316294	0.8945686900958466	0.8830670926517572	0.888817891373802	0.8977635782747604	0.8849840255591054	0.8664536741214057	0.7865814696485623	0.7865814696485623	0.8511182108626199	0.8498402555910544	0.8645367412140575	0.8984025559105431	0.8511182108626199	0.8984025559105431	0.8958466453674121	0.8971246006389776	0.8945686900958466	0.9003194888178914	0.7891373801916933
G1-131	0.5846645367412141	0.5578274760383387	0.7067092651757189	0.6888178913738019	0.7693290734824281	0.5865814696485623	0.5610223642172524	0.0	0.582108626198083	0.6517571884984026	0.5980830670926518	0.19297124600638976	0.3060702875399361	0.665814696485623	0.6728434504792332	0.6306709265175718	0.6166134185303515	0.6619808306709265	0.6766773162939297	0.7699680511182109	0.7527156549520767	0.3801916932907348	0.6741214057507987	0.663258785942492	0.655591054313099	0.5859424920127796	0.5961661341853035	0.5718849840255591	0.4715654952076677	0.6549520766773163	0.7693290734824281	0.8964856230031949	0.7533546325878594	0.6638977635782748	0.4562300319488818	0.7124600638977636	0.6843450479233227	0.5744408945686901	0.7118210862619808	0.6830670926517571	0.4185303514376997	0.5993610223642173	0.6031948881789138	0.65814696485623	0.6357827476038339	0.807667731629393	0.6306709265175718	0.6613418530351438	0.6977635782747604	0.7188498402555911	0.7309904153354633	0.6875399361022364	0.5980830670926518	0.7271565495207668
G1-132	0.7642172523961661	0.9105431309904153	0.91629392971246	0.9124600638977636	0.9137380191693291	0.5335463258785943	0.031309904153354634	0.582108626198083	0.0	0.8575079872204473	0.7840255591054313	0.529073482428115	0.8	0.8261980830670926	0.9099041533546326	0.9099041533546326	0.9105431309904153	0.9111821086261981	0.9175718849840255	0.9041533546325878	0.9054313099041533	0.9105431309904153	0.8766773162939298	0.870926517571885	0.9035143769968051	0.9130990415335464	0.9130990415335464	0.9105431309904153	0.8843450479233227	0.8741214057507988	0.8389776357827476	0.8907348242811501	0.8690095846645367	0.850479233226837	0.9079872204472843	0.9067092651757188	0.8952076677316294	0.9009584664536742	0.9099041533546326	0.8971246006389776	0.8670926517571885	0.8121405750798723	0.8115015974440895	0.8753993610223643	0.8747603833865815	0.8785942492012779	0.9105431309904153	0.876038338658147	0.9105431309904153	0.9079872204472843	0.9092651757188498	0.9060702875399361	0.9118210862619809	0.8006389776357827
G1-135	0.7361022364217252	0.6383386581469649	0.8038338658146965	0.7853035143769969	0.789776357827476	0.7246006389776358	0.853035143769968	0.6517571884984026	0.8575079872204473	0.0	0.6402555910543131	0.6376996805111821	0.5220447284345048	0.44217252396166135	0.7079872204472843	0.6587859424920128	0.6447284345047923	0.7591054313099042	0.7731629392971247	0.7750798722044728	0.7808306709265176	0.6383386581469649	0.7731629392971247	0.7635782747603834	0.6837060702875399	0.7111821086261981	0.7111821086261981	0.7047923322683706	0.6779552715654952	0.6587859424920128	0.22875399361022364	0.26389776357827477	0.536741214057508	0.5303514376996805	0.6357827476038339	0.7405750798722045	0.7226837060702875	0.6287539936102237	0.7399361022364217	0.642811501597444	0.5789137380191693	0.7501597444089457	0.759744408945687	0.7424920127795527	0.734185303514377	0.7623003194888179	0.6587859424920128	0.7527156549520767	0.7258785942492013	0.6913738019169329	0.7591054313099042	0.7846645367412141	0.7099041533546326	0.8121405750798723
G1-136	0.29073482428115016	0.4817891373801917	0.6773162939297125	0.46900958466453674	0.3610223642172524	0.5463258785942492	0.7738019169329073	0.5980830670926518	0.7840255591054313	0.6402555910543131	0.0	0.6869009584664537	0.4172523961661342	0.470926517571885	0.4083067092651757	0.6345047923322684	0.4996805111821086	0.4696485623003195	0.4747603833865815	0.6070287539936102	0.43322683706070286	0.5865814696485623	0.2888178913738019	0.38338658146964855	0.36549520766773164	0.7757188498402556	0.6306709265175718	0.6926517571884984	0.6753993610223642	0.4984025559105431	0.5597444089456869	0.7738019169329073	0.5335463258785943	0.3731629392971246	0.6492012779552716	0.31884984025559104	0.49456869009584664	0.5233226837060703	0.5118210862619809	0.6281150159744409	0.5942492012779552	0.48562300319488816	0.44664536741214056	0.5354632587859425	0.5201277955271566	0.6466453674121406	0.43322683706070286	0.5361022364217253	0.3329073482428115	0.6261980830670927	0.4830670926517572	0.6447284345047923	0.7309904153354633	0.7571884984025559
