	shannon_entropy
G1-11	2.1512862655952154
G1-110	1.9049784423499703
G1-115	1.3444485206629366
G1-116	1.475922049026079
G1-12	0.7660242036049524
G1-13	2.0358584939112276
G1-130	1.056834339686745
G1-131	2.1133895523852635
G1-132	1.0048387127236837
G1-135	1.7640268817323517
G1-136	2.3784307857651856
G1-138	1.9852817210008844
G1-14	2.3300797635534765
G1-15	2.4086555854772245
G1-157	1.4220590421999288
G1-158	1.6944312895751488
G1-159	1.8365909187304539
G1-161	1.1658271196030003
G1-162	1.055216377111626
G1-177	1.6685341168846797
G1-178	1.6569172958045635
G1-19	1.859971684466838
G1-193	1.822998317894117
G2-194	1.9682515152487605
G2-41	1.9883191221077954
G2-410	1.9576501396456898
G2-411	1.9272146466949522
G2-412	1.977060354580523
G2-413	1.588377447975659
G2-414	2.256181340555944
G2-415	1.8334894678077305
G2-416	1.4549065482041692
G3-417	1.7094224491128405
G3-418	2.0762423245272186
G3-419	1.572731012641052
G3-42	1.8153654831547703
G3-420	1.4607734227156761
G3-421	2.1964923619352366
G3-422	1.3099570832448593
G3-423	2.2847189358511306
G3-424	1.8844276888303373
G3-425	2.077690589215987
G3-426	2.1308760073621973
G3-427	1.715400093365517
G3-428	1.9435650644078233
G3-429	1.273701941702402
G3-43	1.9875863529952553
G3-430	1.7601095372170439
G3-44	1.8220693777977457
G3-45	2.1386131884083674
G3-46	1.8101726768219757
G3-47	1.9425523940339218
G3-48	1.8564882505118148
G3-49	3.211611964985364
