	G1-11	G1-110	G1-115	G1-116	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-14	G1-15	G1-157	G1-158	G1-159	G1-161	G1-162	G1-177	G1-178	G1-19	G1-193	G2-194	G2-41	G2-410	G2-411	G2-412	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-42	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46	G3-47	G3-48	G3-49
G1-11	0.0	0.11066904907654944	0.37893235174800144	0.3508132574322375	0.1804658078213555	0.03178200597170694	0.06583647268520962	0.03189744742695652	0.02678415828536061	0.1526080583761972	0.2071797371837749	0.15518926479225556	0.02678415828536061	0.17568144310348055	0.12131379338860557	0.3126387809735257	0.30021356354478906	0.2526497570081272	0.0699824730855503	0.5037364255605937	0.11098367952256018	0.5385463553196592	0.1611390390165832	0.40071371803698125	0.07562565238658259	0.21535340679490889	0.12896946755292815	0.12896946381771804	0.08703877957653035	0.0680870889543527	0.010994118275030525	0.018553353870697054	0.008434852969953935	0.3512095861116536	0.22289851158802265	0.24069959315897785	0.15449030233466907	0.3978053435525283	0.08299883817698862	0.2746501471664431	0.20427411167560405	0.21875743870793485	0.0	0.062027307532321725	0.052428000324716395	0.11469572790258138	0.24493988162764918	0.3305984358362733	0.18134033587544074	0.45314882890389774	0.26589774547963524	0.4063574374993135	0.15005375134707086	0.5568378554556981
G1-110	0.11066904907654944	0.0	0.39288204594842485	0.35922168463992965	0.18603228666309898	0.14188272577619798	0.16356473894826423	0.13302008839391286	0.13745320736191005	0.24896906726546145	0.2949204017582665	0.24392840707084165	0.13745320736191005	0.2565994975702209	0.11417803411727775	0.3220874252587302	0.2334619093882352	0.3233237490417414	0.07335499409887712	0.5165255668783355	0.11163373109045813	0.5399818494953305	0.2244562841070174	0.4130192615280799	0.07415929676168122	0.1255631495244706	0.028984165787504654	0.02898416161146452	0.09789102470601362	0.1712210046419335	0.12044645873664722	0.11374706399604213	0.10952892548569164	0.37570460802973743	0.29616897401024284	0.31241851970370915	0.16623912655449716	0.4555714499637753	0.08198815289344191	0.34339333951683076	0.2147766620260555	0.29883055295790933	0.11066904907654944	0.07149166166495934	0.061463454778941586	0.20500769990573542	0.22854431644197545	0.4046804703926277	0.0884794962191335	0.5039126792167665	0.26763005703224135	0.4655817230735841	0.15734375573367163	0.6015109623270058
G1-115	0.37893235174800144	0.39288204594842485	0.0	0.40556542054279604	0.44707455180715966	0.3931528007067217	0.4113264565002837	0.3972371928904841	0.39654766322054974	0.4320365516048183	0.4486581588759634	0.43184929406293976	0.39654766322054974	0.31013648216786843	0.4432431588175332	0.10443030928543387	0.4705556247525438	0.3557878884234075	0.34482142638120106	0.46089105845337647	0.38211581326427596	0.4939334921180734	0.31350118503734176	0.47474367849330223	0.3538859197746889	0.4442498547399184	0.3842161487644014	0.3842161503628751	0.434218272099429	0.4022314783028347	0.3834399915625313	0.3830820339232801	0.379080406348499	0.5211612834768116	0.45614968629596875	0.47294981484766363	0.3972809952595879	0.46116765271020776	0.36872619863092754	0.3803224666170835	0.4391608471198415	0.34808276526867343	0.37893235174800144	0.40668228781462884	0.4134130154957033	0.2980496359679111	0.45244223150319124	0.5312016827452796	0.4266694158831011	0.4953131077470493	0.42152487136657146	0.3983418763113246	0.384983592190329	0.44963501105497794
G1-116	0.3508132574322375	0.35922168463992965	0.40556542054279604	0.0	0.22143310348608028	0.36574657090906815	0.38543556244880417	0.36998798248164316	0.3693116163079088	0.26980142796263423	0.29975869236714464	0.2690182050933591	0.3693116163079088	0.27970899550299627	0.3606268936134969	0.3679178447804131	0.384233608158625	0.2727565354595892	0.37006759964470504	0.5093623713232364	0.40697303215503206	0.6233271341259158	0.26437008597158407	0.41255465120786006	0.37913612204837	0.4136266268383995	0.3502849129828294	0.3502849147623163	0.34961241209605554	0.37648760821737615	0.3557593795258126	0.3552871035645367	0.35087005342795025	0.5441004602586964	0.3118730794967587	0.3698703195824182	0.31676105818375694	0.36812486815709894	0.36380127886496794	0.35597477419171564	0.4647611558209618	0.17843954931547898	0.3508132574322375	0.3190899377543441	0.32642362020221477	0.26581947481132207	0.4614543676817472	0.4591548282004137	0.36683406564913634	0.3594815158219017	0.1690808540710682	0.41555407221970403	0.4092986380096289	0.46429650210101386
G1-12	0.1804658078213555	0.18603228666309898	0.44707455180715966	0.22143310348608028	0.0	0.20740913060431818	0.23262971797405474	0.20830098493187585	0.2038388940639608	0.07853011539882936	0.13972872123794985	0.08094689725014066	0.2038388940639608	0.30352720688460844	0.1934057060435075	0.3930518216467085	0.24254416724411837	0.3625789934882931	0.2315487845575453	0.4547804902587416	0.26182361647244384	0.5715416450492448	0.280287052130692	0.439411021039468	0.23603124215846083	0.2807694541085736	0.20125383180403006	0.20125382836580347	0.17215729263453936	0.22958510745751481	0.18833942042565874	0.19098968972894076	0.17438878088619933	0.4565332505788952	0.15242876012292964	0.353380637203728	0.30005957910687897	0.40348339892896024	0.24138990943044275	0.3795874410304915	0.3422927892175671	0.34196204915374123	0.1804658078213555	0.1491367384901652	0.14117357101288575	0.2643857131875887	0.344660898635939	0.4272896712861647	0.24584491194715807	0.40153686686827283	0.11827645296262192	0.35296808987191186	0.2902648962844065	0.5171678252032044
G1-13	0.03178200597170694	0.14188272577619798	0.3931528007067217	0.36574657090906815	0.20740913060431818	0.0	0.04593054051906355	0.01050227534550739	0.005275981955760408	0.13634827372113723	0.2243222990411412	0.13894233591431823	0.005275981955760408	0.19364158447496962	0.10259001804018035	0.3346942737262327	0.3240347658903877	0.2756956539058124	0.09127687927370848	0.519158373058115	0.14045620463113495	0.5530407171657066	0.1876739289141952	0.41965000319241724	0.10644269448225648	0.18910149611998572	0.15008559449634792	0.1500855907611378	0.06703749313206465	0.08823714751432343	0.04237264229786978	0.04989348285366765	0.04017354264059627	0.33392660526417306	0.24697822119976903	0.26415967425731385	0.18217824029434368	0.41593469366308833	0.11353442652742456	0.29693727167375406	0.1790315604646547	0.24285892273082008	0.03178200597170694	0.09317366079365699	0.08394076781006557	0.14246866263171926	0.26984822613204296	0.35077112974178326	0.20975110579518258	0.4695011533925105	0.28974442270100764	0.41929164151369086	0.16951478313747675	0.5664934124373934
G1-130	0.06583647268520962	0.16356473894826423	0.4113264565002837	0.38543556244880417	0.23262971797405474	0.04593054051906355	0.0	0.03617056383274477	0.04105229764805601	0.16400943577240676	0.2539576056472567	0.15844511967370625	0.04105229764805601	0.2219116152036191	0.05723909483741363	0.3470647253369424	0.337561426696638	0.24251718916519885	0.12792333661135027	0.525653563093231	0.1609927728893147	0.5587542406601372	0.20533213225082228	0.42907820255366047	0.12861578648875774	0.22318866073299246	0.18455615044620302	0.18455614683033014	0.10062177884264711	0.12735799770461934	0.07575054935925153	0.07364376082947435	0.07397562280091938	0.359644865300781	0.212241036005151	0.2785233590503183	0.20069095604359438	0.42502071217612464	0.135361259545279	0.310061223760502	0.21180744705834617	0.25797971382301127	0.06583647268520962	0.1250667379839083	0.11642649084312866	0.16181382673221167	0.28497307528202165	0.3673369876868645	0.22817590881807712	0.477027222181758	0.30389136869024175	0.40127995731857846	0.14182183087140754	0.5532195254555324
G1-131	0.03189744742695652	0.13302008839391286	0.3972371928904841	0.36998798248164316	0.20830098493187585	0.01050227534550739	0.03617056383274477	0.0	0.005254013470010077	0.13693238951157924	0.23246867983598127	0.13100051008142002	0.005254013470010077	0.1983811771414245	0.09340965867015841	0.32968608911164354	0.31854735675952917	0.27005462745975617	0.09664225453770031	0.5165477964757565	0.1320784172578851	0.55074667472723	0.1804926734613693	0.41584577703059544	0.09738525018202401	0.19481454126883924	0.15555195718767717	0.15555195344319275	0.0673404370279819	0.09781273204093324	0.04254088139230352	0.04018921068968939	0.04033230039691045	0.3418055844625158	0.24087912968286962	0.2583368056110026	0.17463972811116643	0.41227213683763736	0.10462089789351024	0.2916234751896609	0.18443827965967535	0.23672516877678568	0.03189744742695652	0.09360162025595783	0.08432544775167292	0.13459205012710837	0.2637062739561213	0.3519506370367082	0.20224105489675714	0.4664733204032422	0.28400614387709305	0.4230457530991918	0.1745961603231482	0.5694617286130352
G1-132	0.02678415828536061	0.13745320736191005	0.39654766322054974	0.3693116163079088	0.2038388940639608	0.005275981955760408	0.04105229764805601	0.005254013470010077	0.0	0.13237387013835342	0.22841476059488586	0.13497086419880794	0.0	0.19792922763322102	0.09800148016868383	0.33218772358269677	0.3212891717427299	0.27287273692741904	0.0963605149262998	0.5178504428592106	0.13626780749859674	0.5518912051467759	0.18408211449362596	0.4177451046165093	0.10191538269240101	0.19427797313776868	0.1551266693601264	0.15512666562491628	0.06213230057334219	0.0930475918719705	0.03748380835630474	0.04504304395197127	0.03521901125531454	0.3378847334518948	0.24392654740031325	0.26124593927390793	0.17840844342788587	0.41410047487137897	0.10907887090040992	0.2942778057274798	0.18395321607502915	0.2397899082268541	0.02678415828536061	0.08854013090723077	0.07921215861007701	0.13852972778996958	0.26677558279998265	0.3485277932873025	0.20599607286849603	0.4679843822492311	0.28687325223124904	0.422379437439268	0.17416073542051985	0.5687984935598278
G1-135	0.1526080583761972	0.24896906726546145	0.4320365516048183	0.26980142796263423	0.07853011539882936	0.13634827372113723	0.16400943577240676	0.13693238951157924	0.13237387013835342	0.0	0.11449612664957932	0.006826102315336218	0.13237387013835342	0.2859916938423542	0.21365654281583846	0.37677942224099525	0.29404602588084916	0.34617349753832516	0.21164368579224807	0.4416950147648476	0.242451802104509	0.5699074727730812	0.27614865598121846	0.46797717533037253	0.2161550904085211	0.2987031301032333	0.2621245454220404	0.262124542159871	0.1853398423534578	0.20329127515866208	0.15668820729499178	0.16329399240075138	0.1599523967327612	0.4055651557554523	0.13478331632575605	0.3367878372281257	0.2745939050799577	0.3891739993955437	0.22161758714914834	0.36353197079830746	0.2851557925821042	0.31917297367591424	0.1526080583761972	0.20533901181527003	0.19825781363741646	0.23907048932837993	0.34594902868593536	0.4074267470696599	0.30147368915085326	0.39026439769484467	0.17783161507226417	0.33860074741174534	0.2715168438227233	0.5058775565916711
