	G1-11	G1-110	G1-115	G1-116	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-14	G1-15	G1-157	G1-158	G1-159	G1-161	G1-162	G1-177	G1-178	G1-19	G1-193	G2-194	G2-41	G2-410	G2-411	G2-412	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-42	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46	G3-47	G3-48	G3-49
G1-11	0.0	0.050957923220403795	0.07929609250456608	0.06400142557711117	0.1387231000463631	0.09237595880839171	0.242603149923478	0.15833465131186716	0.24838169060457382	0.17391533720620939	0.07340068174322076	0.14946412945085327	0.09399782320603545	0.07725605584794105	0.11531523508407576	0.06205111199236034	0.041665220488793925	0.15375473509347748	0.15147692538212543	0.1115644668002839	0.053699770750394005	0.11087456605176677	0.11366234131707212	0.0345176096987981	0.0392057740652569	0.060154414791806526	0.047691059031785665	0.050664518213071455	0.12317490088739505	0.07446883881548115	0.12899451560763314	0.15390682583508192	0.07795710414402973	0.048994409513104346	0.09410128604923497	0.03904031363761107	0.06311455896042413	0.02903348567196776	0.07255898553724002	0.05664614224299148	0.08476955118077123	0.04327287952208026	0.01978108712557476	0.07377403063856057	0.056264948094712955	0.12380826506176502	0.041425824994741664	0.0730226788963261	0.039682570818694675	0.08982950751563888	0.07026223146869344	0.06506058325392798	0.06323207286789265	0.11538636975614479
G1-110	0.050957923220403795	0.0	0.0908255690167794	0.02159415910766946	0.09849465269411985	0.14262443426752858	0.282388531376152	0.14868241037992733	0.28812068306822847	0.15398159075000595	0.05267489425178265	0.14099303694221624	0.0576404206928887	0.07120018090924893	0.06997059767978385	0.0668386680383374	0.0182040549361177	0.11247384376846672	0.10794646294836664	0.124302914018805	0.06427305878329652	0.062025773762117466	0.07397158268344221	0.024582386055905146	0.01419960930757779	0.06523564335421644	0.032443996295942475	0.04688132318475005	0.07525757471244734	0.0839720212481191	0.11663067612049223	0.13665285965343524	0.09200231856161932	0.041314214263404765	0.04734504626880476	0.01902629052639351	0.07309472893959912	0.04081178786377886	0.08303870545722558	0.04631934043499011	0.03672233791394992	0.0792155850670916	0.053169325272288	0.0865378547858522	0.0677646694140553	0.13754576090796122	0.025367219818227756	0.08461648504502577	0.016116014891114038	0.1016367348320971	0.07945675673467167	0.07567129952082516	0.06923640625382177	0.15173055291356605
G1-115	0.07929609250456608	0.0908255690167794	0.0	0.09382591577971296	0.1805636449991549	0.12864940294534824	0.2951003770734893	0.23486709204044906	0.30086332818435907	0.2010293337031502	0.13162831739239123	0.2257709081185411	0.14371936329241763	0.11525334406730378	0.15550170057151688	0.026196500323910993	0.07373886257558333	0.19153084651670851	0.18838028132386606	0.05367230919017136	0.029146378758024487	0.14980573233968056	0.15548823025014413	0.07352943101339672	0.07791915356204791	0.029839018162888167	0.05931804488342273	0.045121149241049076	0.16288707851706638	0.016141367970568133	0.160817502778277	0.1822816436492279	0.05502224846209493	0.0784255914197236	0.13325477379681772	0.07418602891636679	0.018261610978100327	0.07016689421726871	0.013099994247251884	0.08391942479673807	0.12423725695666013	0.03793848214057342	0.060756698192201496	0.015549103300722874	0.024952370886162676	0.06580625488651157	0.06602525055464657	0.015022472584121958	0.07566671749900403	0.03373383361965916	0.013324841748441115	0.018836608873680268	0.023177423003551294	0.154320745686333
G1-116	0.06400142557711117	0.02159415910766946	0.09382591577971296	0.0	0.087636850088656	0.15601483051560963	0.28200111054657206	0.14362061706012796	0.2877302813353295	0.15175478307464255	0.046738271698994825	0.1405851998237467	0.052583926434205716	0.06868861008841638	0.06221764251942672	0.0856082760291337	0.036875855427967966	0.0993801952140967	0.0953854766222936	0.13878816719494444	0.07966156700617488	0.05861348317807602	0.06315677408831048	0.03686447252821963	0.030641459144532042	0.074202257825962	0.04002413350887316	0.0552734131120883	0.0712301031612544	0.09968269682425451	0.11224481508210851	0.1336619279097551	0.10522121303954211	0.05576399559416825	0.04196973112697656	0.033866742170757864	0.08749258232841976	0.057572892772678866	0.09724611902519893	0.06153270037190017	0.033343990386969696	0.09212888856891385	0.06643454496536512	0.09994510717076636	0.08181683485046096	0.1508059181646462	0.04346322483379147	0.09888913412794773	0.031609956686996024	0.11774171227129869	0.09516797196048023	0.07931473684053636	0.07724842942579632	0.14263405213805974
G1-12	0.1387231000463631	0.09849465269411985	0.1805636449991549	0.087636850088656	0.0	0.22977763776540516	0.26654273139630213	0.10050950111164247	0.27219297576671203	0.10694251835318035	0.07982799046855196	0.1227092534900495	0.06940752618495152	0.1368852277952417	0.02897207907564577	0.16273744222812161	0.11389770929628011	0.01867246668129217	0.014735381281785991	0.21351335752376857	0.15414588269279675	0.0480083313831045	0.026428486480900015	0.11189936563727867	0.10773170241979668	0.16118186698993056	0.1270484901864389	0.14229776969380734	0.040233832500240874	0.17646918785186685	0.12837604745834816	0.1429978189173771	0.17993900702621976	0.1314442645828629	0.06551315139720752	0.10991317496932156	0.16411038830478916	0.13455672651606068	0.17332271069718871	0.13881449350038833	0.08175772918948357	0.1674725176652067	0.14087828123947255	0.17536243961213005	0.15731525381430222	0.22604435557727623	0.1204850778394838	0.174074410432066	0.10819191558871114	0.1949374297037052	0.17065375489296228	0.16624937605824658	0.16422803944599493	0.20485506084067995
G1-13	0.09237595880839171	0.14262443426752858	0.12864940294534824	0.15601483051560963	0.22977763776540516	0.0	0.17892219899246056	0.19792374384153244	0.17819099143067377	0.2322470267665873	0.15563193053229374	0.16576770352700687	0.1750647700823876	0.1333798129127023	0.2070860303807036	0.12326199522566508	0.12576223605503353	0.24562446415173292	0.24345983728523818	0.12250533740458491	0.11818646015625867	0.20222808271379117	0.20543405297305392	0.12155707830935684	0.12917709777326558	0.12848448830206327	0.12241801620708061	0.1249357215707171	0.21337684826437595	0.12176583863759848	0.1664685330586266	0.18085429312662607	0.10215167382553936	0.11912220640327524	0.18444532993896107	0.1253256489227635	0.12034982135224984	0.11052596563802079	0.12105289724541117	0.13041676239928238	0.16703259352005426	0.09404614091031943	0.09429800341834439	0.11963796902545343	0.11868413224860219	0.12409400202049779	0.11794155054642357	0.12103821232927868	0.12752931287570157	0.11962605121099416	0.12143848926100642	0.12582431689785822	0.12815237437003055	0.10080582247608712
G1-130	0.242603149923478	0.282388531376152	0.2951003770734893	0.28200111054657206	0.26654273139630213	0.17892219899246056	0.0	0.181098416999672	0.007628562634175505	0.25221217078055347	0.2520799751338808	0.1659013271440502	0.26051071756043026	0.25771358859105403	0.27283091588445146	0.289698023929854	0.2832267968107983	0.2659989129282665	0.2690116439271508	0.2889413778979113	0.28462249965277975	0.2785150086971825	0.26928877860175016	0.2760963822422089	0.28033738684814985	0.295320968027729	0.2891899128414759	0.2916860911895983	0.2797843614599181	0.28870016127619796	0.2543716325104799	0.27100274605275887	0.27461029956338934	0.27304368156370057	0.27977182030312886	0.28060796603180405	0.2867266799659592	0.269437294068986	0.28748893773873735	0.2873963893776779	0.2766298360325217	0.26022410724444267	0.2604845120590385	0.2858330203305459	0.2848706410682102	0.29036924785281515	0.2829320325043482	0.28722472114888664	0.28135679602004665	0.28606208629856966	0.2878745271856427	0.2926001001108571	0.294773160203597	0.20808103653219945
G1-131	0.15833465131186716	0.14868241037992733	0.23486709204044906	0.14362061706012796	0.10050950111164247	0.19792374384153244	0.181098416999672	0.0	0.18735245578373058	0.14421820871232643	0.1154892784401845	0.035114733178772936	0.0982102971285197	0.1747297576631043	0.1036503884583416	0.21497481488714357	0.1663567779751756	0.09651076971765106	0.09977042046121763	0.2678563621501259	0.21067861211503025	0.09921393820670923	0.1026180604143166	0.16553954853934663	0.16091692870236757	0.21014050184246563	0.17818542539787346	0.19245115302848456	0.10145933350039753	0.22875296377338006	0.17478096612088462	0.19322277405400623	0.22960272978194432	0.18104251220542011	0.10900850180500407	0.16589382850360126	0.21835807018586184	0.17283782347593613	0.2283633074815558	0.18837893286957072	0.11959224898638063	0.19981431948119824	0.17692682829332965	0.22986414272424602	0.21205949927944331	0.2804618290079363	0.17303780200130062	0.2292017799488498	0.16389225277689895	0.24404005766683476	0.22676178145956935	0.22005892668384186	0.21500296322767318	0.19371138873267738
G1-132	0.24838169060457382	0.28812068306822847	0.30086332818435907	0.2877302813353295	0.27219297576671203	0.17819099143067377	0.007628562634175505	0.18735245578373058	0.0	0.2563786470947657	0.2562945451214056	0.16992733277032784	0.2646957747081175	0.26186053596655345	0.2786237636163512	0.2954301756219303	0.28895894850287474	0.27183117102318444	0.27478022509170597	0.29467352958998766	0.2903546513448562	0.28424716038925885	0.275109781007224	0.2819173846476826	0.28606953854022626	0.30104450876280087	0.2949134535765478	0.2974096319374499	0.2855627224491827	0.2945040787107029	0.2585186483447196	0.2701806355186598	0.27879381334162756	0.27718215491245574	0.28556466803502867	0.2863401177238805	0.2924588316580356	0.27516944576106234	0.2932210894308137	0.2931285410697542	0.2807810888801334	0.26604510964991673	0.26629697197902785	0.2916369377650506	0.29068310098819944	0.2961141042173277	0.2886641841964246	0.29303718106887583	0.287088947712123	0.2917942379906459	0.293606678877719	0.2983843368857524	0.3005573969784924	0.2123137957351435
G1-135	0.17391533720620939	0.15398159075000595	0.2010293337031502	0.15175478307464255	0.10694251835318035	0.2322470267665873	0.25221217078055347	0.14421820871232643	0.2563786470947657	0.0	0.1239389578511808	0.14094323171533224	0.11603685883254664	0.10819630449446604	0.11998811848772596	0.18768682537905687	0.16166642168042056	0.09933514675696314	0.10201952126804364	0.22558397001779704	0.18518292959081722	0.12831649285154317	0.1198597737603711	0.16252670068964134	0.1580710763292697	0.18904740143679263	0.17057953636222825	0.17872284613571396	0.1250962542583786	0.19376096995675723	0.06643195770832011	0.07303008500678496	0.1632015746593057	0.1283701302969775	0.13586737641322155	0.16179392540595644	0.1890812910793345	0.168058497600607	0.19430842132833953	0.16771216296348238	0.13202859428243838	0.18901182805036335	0.1762813147841319	0.19492057120696205	0.185938537241886	0.2384903626706901	0.16487177666518413	0.1952920211184623	0.16117283232426857	0.204164355717518	0.19374024206350843	0.1917737600678099	0.1901241112408103	0.20700929935559123
