	G1-11	G1-110	G1-115	G1-116	G1-12	G1-130	G1-131	G1-132	G1-15	G1-157	G1-158	G1-159	G1-161	G1-162	G1-177	G1-178	G1-19	G1-193	G2-194	G2-41	G2-410	G2-411	G2-412	G3-419	G3-42	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46	G3-47	G3-48	G3-49
G1-11	0.0	0.46517571884984027	0.663258785942492	0.5840255591054313	0.45111821086261983	0.7431309904153355	0.5942492012779552	0.7674121405750799	0.3859424920127795	0.5309904153354632	0.6396166134185304	0.5175718849840255	0.5865814696485623	0.5884984025559106	0.397444089456869	0.22236421725239616	0.5916932907348242	0.3424920127795527	0.17252396166134185	0.37635782747603835	0.7661341853035144	0.6376996805111821	0.6939297124600639	0.5150159744408945	0.29968051118210864	0.28434504792332266	0.321405750798722	0.3194888178913738	0.41789137380191693	0.5092651757188499	0.2594249201277955	0.23003194888178913	0.2958466453674121	0.3226837060702875	0.4249201277955272	0.40319488817891375	0.3277955271565495	0.38083067092651757	0.4779552715654952	0.2715654952076677	0.6677316293929713	0.723961661341853	0.7546325878594249
G1-110	0.46517571884984027	0.0	0.6217252396166134	0.5322683706070288	0.4984025559105431	0.8971246006389776	0.5782747603833865	0.9073482428115016	0.5629392971246007	0.32204472843450477	0.24089456869009584	0.09137380191693291	0.513738019169329	0.5322683706070288	0.48562300319488816	0.31437699680511183	0.24472843450479234	0.47539936102236424	0.4715654952076677	0.1597444089456869	0.5693290734824281	0.460702875399361	0.4996805111821086	0.5079872204472844	0.2536741214057508	0.5028753993610223	0.3731629392971246	0.526517571884984	0.5456869009584665	0.5124600638977636	0.5968051118210863	0.5680511182108626	0.5584664536741214	0.5527156549520766	0.6875399361022364	0.07348242811501597	0.5757188498402556	0.19808306709265175	0.2779552715654952	0.2485623003194888	0.5853035143769968	0.5539936102236421	0.8370607028753994
G1-115	0.663258785942492	0.6217252396166134	0.0	0.2626198083067093	0.6958466453674121	0.9003194888178914	0.7067092651757189	0.9194888178913738	0.723961661341853	0.6217252396166134	0.676038338658147	0.6172523961661341	0.48753993610223645	0.49904153354632586	0.7738019169329073	0.6773162939297125	0.6338658146964856	0.6856230031948882	0.6753993610223642	0.6134185303514377	0.3079872204472843	0.2012779552715655	0.23450479233226837	0.7635782747603834	0.6479233226837061	0.6370607028753994	0.6575079872204472	0.6670926517571885	0.7501597444089457	0.7769968051118211	0.736741214057508	0.7079872204472843	0.7143769968051118	0.723961661341853	0.8287539936102236	0.6191693290734824	0.736741214057508	0.6223642172523962	0.7188498402555911	0.6670926517571885	0.1220447284345048	0.1718849840255591	0.5680511182108626
G1-116	0.5840255591054313	0.5322683706070288	0.2626198083067093	0.0	0.44984025559105434	0.8952076677316294	0.6939297124600639	0.9124600638977636	0.7169329073482428	0.36293929712460066	0.6619808306709265	0.5354632587859425	0.2319488817891374	0.24472843450479234	0.7674121405750799	0.5910543130990416	0.6198083067092651	0.43578274760383384	0.5916932907348242	0.470926517571885	0.3559105431309904	0.22747603833865815	0.2952076677316294	0.7476038338658147	0.4817891373801917	0.6325878594249201	0.6402555910543131	0.6626198083067093	0.7335463258785943	0.7616613418530351	0.7303514376996805	0.7009584664536741	0.708626198083067	0.7182108626198083	0.8223642172523962	0.5335463258785943	0.7297124600638978	0.4281150159744409	0.7028753993610224	0.6389776357827476	0.268370607028754	0.3124600638977636	0.5603833865814697
G1-12	0.45111821086261983	0.4984025559105431	0.6958466453674121	0.44984025559105434	0.0	0.8952076677316294	0.7750798722044728	0.9137380191693291	0.6249201277955272	0.24472843450479234	0.673482428115016	0.5507987220447285	0.24472843450479234	0.21405750798722045	0.6376996805111821	0.460702875399361	0.6249201277955272	0.2645367412140575	0.45814696485623	0.4146964856230032	0.7993610223642172	0.670926517571885	0.7271565495207668	0.6869009584664537	0.38083067092651757	0.5546325878594249	0.5782747603833865	0.5763578274760384	0.6747603833865815	0.7003194888178914	0.6095846645367412	0.5667731629392971	0.5910543130990416	0.6198083067092651	0.7015974440894569	0.47028753993610223	0.6236421725239617	0.35782747603833864	0.642811501597444	0.518849840255591	0.7015974440894569	0.7578274760383387	0.868370607028754
G1-130	0.7431309904153355	0.8971246006389776	0.9003194888178914	0.8952076677316294	0.8952076677316294	0.0	0.5552715654952076	0.030670926517571886	0.8313099041533546	0.8958466453674121	0.8958466453674121	0.8971246006389776	0.8996805111821087	0.9009584664536742	0.8907348242811501	0.8932907348242811	0.8971246006389776	0.8460063897763578	0.8364217252396167	0.8875399361022365	0.8996805111821087	0.8996805111821087	0.8971246006389776	0.8932907348242811	0.8958466453674121	0.8824281150159744	0.8856230031948882	0.8958466453674121	0.8869009584664537	0.8747603833865815	0.7859424920127795	0.7878594249201278	0.8453674121405751	0.8421725239616613	0.8664536741214057	0.8971246006389776	0.8447284345047923	0.8971246006389776	0.8926517571884984	0.8971246006389776	0.8926517571884984	0.8945686900958466	0.7884984025559105
G1-131	0.5942492012779552	0.5782747603833865	0.7067092651757189	0.6939297124600639	0.7750798722044728	0.5552715654952076	0.0	0.5731629392971246	0.6434504792332268	0.6798722044728435	0.642811501597444	0.615335463258786	0.6741214057507987	0.6926517571884984	0.7693290734824281	0.7591054313099042	0.38338658146964855	0.6945686900958467	0.6792332268370607	0.6741214057507987	0.534185303514377	0.6095846645367412	0.5686900958466453	0.4415335463258786	0.7297124600638978	0.6939297124600639	0.5763578274760384	0.7156549520766773	0.6766773162939297	0.4159744408945687	0.6166134185303515	0.6274760383386582	0.6773162939297125	0.645367412140575	0.8	0.6479233226837061	0.6626198083067093	0.7003194888178914	0.6900958466453674	0.7501597444089457	0.7035143769968051	0.6268370607028754	0.7412140575079872
G1-132	0.7674121405750799	0.9073482428115016	0.9194888178913738	0.9124600638977636	0.9137380191693291	0.030670926517571886	0.5731629392971246	0.0	0.8293929712460064	0.9067092651757188	0.9073482428115016	0.9073482428115016	0.918849840255591	0.9201277955271565	0.9009584664536742	0.9035143769968051	0.9073482428115016	0.8651757188498402	0.8575079872204473	0.8977635782747604	0.9099041533546326	0.9086261980830671	0.9073482428115016	0.9041533546325878	0.9060702875399361	0.8932907348242811	0.8958466453674121	0.9060702875399361	0.8971246006389776	0.8741214057507988	0.805111821086262	0.8070287539936102	0.8645367412140575	0.8619808306709266	0.8766773162939298	0.9073482428115016	0.8645367412140575	0.9079872204472843	0.9028753993610223	0.9073482428115016	0.9015974440894569	0.9035143769968051	0.797444089456869
G1-15	0.3859424920127795	0.5629392971246007	0.723961661341853	0.7169329073482428	0.6249201277955272	0.8313099041533546	0.6434504792332268	0.8293929712460064	0.0	0.6293929712460063	0.607667731629393	0.6083067092651757	0.7252396166134185	0.7246006389776358	0.4083067092651757	0.4	0.5987220447284345	0.5354632587859425	0.42364217252396164	0.46773162939297125	0.7118210862619808	0.6888178913738019	0.6869009584664537	0.4805111821086262	0.4057507987220447	0.39424920127795526	0.3539936102236422	0.3891373801916933	0.37635782747603835	0.3865814696485623	0.36869009584664536	0.38083067092651757	0.38722044728434507	0.3603833865814696	0.4862619808306709	0.4984025559105431	0.37891373801916933	0.47859424920127797	0.4134185303514377	0.39233226837060703	0.6766773162939297	0.6779552715654952	0.7629392971246006
G1-157	0.5309904153354632	0.32204472843450477	0.6217252396166134	0.36293929712460066	0.24472843450479234	0.8958466453674121	0.6798722044728435	0.9067092651757188	0.6293929712460063	0.0	0.4517571884984026	0.3303514376996805	0.20191693290734825	0.21277955271565496	0.5782747603833865	0.3987220447284345	0.41405750798722046	0.3437699680511182	0.5348242811501598	0.273482428115016	0.6722044728434505	0.5373801916932908	0.6031948881789138	0.6766773162939297	0.28498402555910546	0.5706070287539936	0.5329073482428115	0.5942492012779552	0.6562300319488817	0.6824281150159744	0.663258785942492	0.6345047923322684	0.6249201277955272	0.6185303514376996	0.7546325878594249	0.3258785942492013	0.6415335463258786	0.23003194888178913	0.5015974440894568	0.4428115015974441	0.5840255591054313	0.607667731629393	0.8357827476038339
G1-158	0.6396166134185304	0.24089456869009584	0.676038338658147	0.6619808306709265	0.673482428115016	0.8958466453674121	0.642811501597444	0.9073482428115016	0.607667731629393	0.4517571884984026	0.0	0.16038338658146964	0.6434504792332268	0.6619808306709265	0.5303514376996805	0.48881789137380194	0.3571884984025559	0.6511182108626198	0.6472843450479233	0.334185303514377	0.6345047923322684	0.5801916932907348	0.5789137380191693	0.6172523961661341	0.42875399361022365	0.5897763578274761	0.48562300319488816	0.592332268370607	0.5968051118210863	0.6210862619808307	0.6415335463258786	0.6364217252396166	0.6044728434504792	0.597444089456869	0.7322683706070288	0.24217252396166133	0.6198083067092651	0.3731629392971246	0.24472843450479234	0.37252396166134183	0.6338658146964856	0.5693290734824281	0.8364217252396167
G1-159	0.5175718849840255	0.09137380191693291	0.6172523961661341	0.5354632587859425	0.5507987220447285	0.8971246006389776	0.615335463258786	0.9073482428115016	0.6083067092651757	0.3303514376996805	0.16038338658146964	0.0	0.51629392971246	0.5386581469648563	0.5239616613418531	0.3661341853035144	0.2869009584664537	0.5277955271565495	0.5201277955271566	0.2063897763578275	0.6063897763578274	0.46900958466453674	0.5354632587859425	0.5846645367412141	0.3079872204472843	0.5476038338658147	0.4389776357827476	0.5725239616613419	0.5840255591054313	0.5955271565495208	0.6345047923322684	0.6140575079872205	0.6031948881789138	0.5987220447284345	0.7277955271565495	0.1182108626198083	0.6217252396166134	0.2523961661341853	0.23706070287539935	0.29329073482428114	0.5853035143769968	0.5539936102236421	0.8293929712460064
G1-161	0.5865814696485623	0.513738019169329	0.48753993610223645	0.2319488817891374	0.24472843450479234	0.8996805111821087	0.6741214057507987	0.918849840255591	0.7252396166134185	0.20191693290734825	0.6434504792332268	0.51629392971246	0.0	0.03706070287539936	0.7731629392971247	0.5968051118210863	0.6012779552715655	0.4108626198083067	0.5961661341853035	0.465814696485623	0.5616613418530352	0.43322683706070286	0.5009584664536741	0.729073482428115	0.48562300319488816	0.6364217252396166	0.6236421725239617	0.6670926517571885	0.7175718849840256	0.7450479233226837	0.7354632587859425	0.7073482428115015	0.7130990415335463	0.7226837060702875	0.8274760383386581	0.5150159744408945	0.7354632587859425	0.4319488817891374	0.6881789137380192	0.642811501597444	0.49776357827476037	0.5194888178913738	0.7150159744408946
G1-162	0.5884984025559106	0.5322683706070288	0.49904153354632586	0.24472843450479234	0.21405750798722045	0.9009584664536742	0.6926517571884984	0.9201277955271565	0.7246006389776358	0.21277955271565496	0.6619808306709265	0.5386581469648563	0.03706070287539936	0.0	0.7769968051118211	0.597444089456869	0.6217252396166134	0.4134185303514377	0.602555910543131	0.4747603833865815	0.5884984025559106	0.46006389776357826	0.5277955271565495	0.7527156549520767	0.48753993610223645	0.6376996805111821	0.6460063897763578	0.6677316293929713	0.7399361022364217	0.7623003194888179	0.7412140575079872	0.708626198083067	0.7156549520766773	0.7252396166134185	0.8319488817891374	0.534185303514377	0.7373801916932907	0.43322683706070286	0.7079872204472843	0.6440894568690095	0.5073482428115016	0.5456869009584665	0.7284345047923323
G1-177	0.397444089456869	0.48562300319488816	0.7738019169329073	0.7674121405750799	0.6376996805111821	0.8907348242811501	0.7693290734824281	0.9009584664536742	0.4083067092651757	0.5782747603833865	0.5303514376996805	0.5239616613418531	0.7731629392971247	0.7769968051118211	0.0	0.1801916932907348	0.5175718849840255	0.546964856230032	0.3047923322683706	0.3859424920127795	0.7565495207667732	0.7412140575079872	0.7399361022364217	0.5194888178913738	0.321405750798722	0.18594249201277954	0.29073482428115016	0.18146964856230033	0.3488817891373802	0.5041533546325878	0.21150159744408945	0.28115015974440893	0.16485623003194888	0.16741214057507986	0.23258785942492013	0.4191693290734824	0.1597444089456869	0.4012779552715655	0.31884984025559104	0.2389776357827476	0.729073482428115	0.721405750798722	0.8223642172523962
G1-178	0.22236421725239616	0.31437699680511183	0.6773162939297125	0.5910543130990416	0.460702875399361	0.8932907348242811	0.7591054313099042	0.9035143769968051	0.4	0.3987220447284345	0.48881789137380194	0.3661341853035144	0.5968051118210863	0.597444089456869	0.1801916932907348	0.0	0.4402555910543131	0.36996805111821085	0.16485623003194888	0.21789137380191692	0.7539936102236422	0.6166134185303515	0.6824281150159744	0.5207667731629393	0.1450479233226837	0.25431309904153354	0.24600638977635783	0.26964856230031947	0.36293929712460066	0.5047923322683706	0.30287539936102237	0.26517571884984026	0.27731629392971247	0.28945686900958467	0.3878594249201278	0.25175718849840256	0.2977635782747604	0.2242811501597444	0.32971246006389776	0.1194888178913738	0.6370607028753994	0.6843450479233227	0.8351437699680511
G1-19	0.5916932907348242	0.24472843450479234	0.6338658146964856	0.6198083067092651	0.6249201277955272	0.8971246006389776	0.38338658146964855	0.9073482428115016	0.5987220447284345	0.41405750798722046	0.3571884984025559	0.2869009584664537	0.6012779552715655	0.6217252396166134	0.5175718849840255	0.4402555910543131	0.0	0.6019169329073483	0.5955271565495208	0.34568690095846644	0.5067092651757189	0.5009584664536741	0.48881789137380194	0.3060702875399361	0.397444089456869	0.5418530351437699	0.405111821086262	0.5629392971246007	0.5776357827476039	0.3150159744408946	0.6287539936102237	0.6044728434504792	0.5936102236421725	0.5891373801916933	0.7194888178913738	0.3111821086261981	0.6121405750798722	0.36741214057507987	0.42619808306709267	0.41533546325878595	0.5961661341853035	0.5539936102236421	0.8319488817891374
G1-193	0.3424920127795527	0.47539936102236424	0.6856230031948882	0.43578274760383384	0.2645367412140575	0.8460063897763578	0.6945686900958467	0.8651757188498402	0.5354632587859425	0.3437699680511182	0.6511182108626198	0.5277955271565495	0.4108626198083067	0.4134185303514377	0.546964856230032	0.36996805111821085	0.6019169329073483	0.0	0.2670926517571885	0.33738019169329075	0.7763578274760383	0.6479233226837061	0.7041533546325879	0.5968051118210863	0.2900958466453674	0.4504792332268371	0.48881789137380194	0.48562300319488816	0.5840255591054313	0.6095846645367412	0.41022364217252394	0.329073482428115	0.4415335463258786	0.4268370607028754	0.5840255591054313	0.4134185303514377	0.45111821086261983	0.2805111821086262	0.552076677316294	0.42747603833865816	0.6792332268370607	0.7354632587859425	0.8472843450479233
G2-194	0.17252396166134185	0.4715654952076677	0.6753993610223642	0.5916932907348242	0.45814696485623	0.8364217252396167	0.6792332268370607	0.8575079872204473	0.42364217252396164	0.5348242811501598	0.6472843450479233	0.5201277955271566	0.5961661341853035	0.602555910543131	0.3047923322683706	0.16485623003194888	0.5955271565495208	0.2670926517571885	0.0	0.3744408945686901	0.7725239616613419	0.6402555910543131	0.6900958466453674	0.518849840255591	0.30287539936102237	0.2108626198083067	0.28306709265175717	0.24664536741214058	0.3667731629392971	0.5156549520766773	0.16485623003194888	0.12779552715654952	0.20191693290734825	0.19488817891373802	0.3412140575079872	0.40894568690095845	0.21214057507987222	0.38466453674121404	0.4805111821086262	0.2766773162939297	0.6753993610223642	0.731629392971246	0.8287539936102236
G2-41	0.37635782747603835	0.1597444089456869	0.6134185303514377	0.470926517571885	0.4146964856230032	0.8875399361022365	0.6741214057507987	0.8977635782747604	0.46773162939297125	0.273482428115016	0.334185303514377	0.2063897763578275	0.465814696485623	0.4747603833865815	0.3859424920127795	0.21789137380191692	0.34568690095846644	0.33738019169329075	0.3744408945686901	0.0	0.6722044728434505	0.531629392971246	0.5980830670926518	0.5207667731629393	0.11565495207667732	0.41533546325878595	0.3693290734824281	0.4402555910543131	0.4913738019169329	0.5220447284345048	0.5022364217252396	0.4792332268370607	0.4715654952076677	0.4670926517571885	0.5936102236421725	0.09712460063897764	0.4881789137380192	0.06261980830670927	0.24472843450479234	0.19169329073482427	0.576996805111821	0.602555910543131	0.8166134185303514
G2-410	0.7661341853035144	0.5693290734824281	0.3079872204472843	0.3559105431309904	0.7993610223642172	0.8996805111821087	0.534185303514377	0.9099041533546326	0.7118210862619808	0.6722044728434505	0.6345047923322684	0.6063897763578274	0.5616613418530352	0.5884984025559106	0.7565495207667732	0.7539936102236422	0.5067092651757189	0.7763578274760383	0.7725239616613419	0.6722044728434505	0.0	0.14568690095846645	0.09712460063897764	0.5712460063897764	0.7220447284345048	0.7150159744408946	0.5789137380191693	0.7188498402555911	0.6715654952076677	0.5738019169329074	0.7488817891373802	0.7629392971246006	0.7322683706070288	0.7156549520766773	0.8134185303514377	0.6389776357827476	0.7284345047923323	0.6913738019169329	0.6690095846645367	0.7412140575079872	0.21533546325878594	0.16741214057507986	0.5591054313099042
G2-411	0.6376996805111821	0.460702875399361	0.2012779552715655	0.22747603833865815	0.670926517571885	0.8996805111821087	0.6095846645367412	0.9086261980830671	0.6888178913738019	0.5373801916932908	0.5801916932907348	0.46900958466453674	0.43322683706070286	0.46006389776357826	0.7412140575079872	0.6166134185303515	0.5009584664536741	0.6479233226837061	0.6402555910543131	0.531629392971246	0.14568690095846645	0.0	0.07859424920127796	0.6575079872204472	0.5853035143769968	0.6255591054313099	0.526517571884984	0.6511182108626198	0.668370607028754	0.6619808306709265	0.7194888178913738	0.6926517571884984	0.681150159744409	0.6881789137380192	0.810223642172524	0.5015974440894568	0.7015974440894569	0.5565495207667731	0.6568690095846645	0.6063897763578274	0.1380191693290735	0.11437699680511182	0.5559105431309904
G2-412	0.6939297124600639	0.4996805111821086	0.23450479233226837	0.2952076677316294	0.7271565495207668	0.8971246006389776	0.5686900958466453	0.9073482428115016	0.6869009584664537	0.6031948881789138	0.5789137380191693	0.5354632587859425	0.5009584664536741	0.5277955271565495	0.7399361022364217	0.6824281150159744	0.48881789137380194	0.7041533546325879	0.6900958466453674	0.5980830670926518	0.09712460063897764	0.07859424920127796	0.0	0.610223642172524	0.6511182108626198	0.642811501597444	0.5086261980830671	0.6479233226837061	0.6568690095846645	0.6134185303514377	0.708626198083067	0.6920127795527157	0.6766773162939297	0.6869009584664537	0.7993610223642172	0.5680511182108626	0.7003194888178914	0.6217252396166134	0.655591054313099	0.6702875399361022	0.16166134185303516	0.11437699680511182	0.5559105431309904
G3-419	0.5150159744408945	0.5079872204472844	0.7635782747603834	0.7476038338658147	0.6869009584664537	0.8932907348242811	0.4415335463258786	0.9041533546325878	0.4805111821086262	0.6766773162939297	0.6172523961661341	0.5846645367412141	0.729073482428115	0.7527156549520767	0.5194888178913738	0.5207667731629393	0.3060702875399361	0.5968051118210863	0.518849840255591	0.5207667731629393	0.5712460063897764	0.6575079872204472	0.610223642172524	0.0	0.49584664536741213	0.468370607028754	0.339297124600639	0.4773162939297125	0.38849840255591056	0.1073482428115016	0.5035143769968051	0.518849840255591	0.4996805111821086	0.4837060702875399	0.5226837060702876	0.5111821086261981	0.49584664536741213	0.5463258785942492	0.43450479233226835	0.5105431309904154	0.7552715654952077	0.678594249201278	0.8281150159744409
G3-42	0.29968051118210864	0.2536741214057508	0.6479233226837061	0.4817891373801917	0.38083067092651757	0.8958466453674121	0.7297124600638978	0.9060702875399361	0.4057507987220447	0.28498402555910546	0.42875399361022365	0.3079872204472843	0.48562300319488816	0.48753993610223645	0.321405750798722	0.1450479233226837	0.397444089456869	0.2900958466453674	0.30287539936102237	0.11565495207667732	0.7220447284345048	0.5853035143769968	0.6511182108626198	0.49584664536741213	0.0	0.3610223642172524	0.3514376996805112	0.37635782747603835	0.4747603833865815	0.4996805111821086	0.4319488817891374	0.40319488817891375	0.39424920127795526	0.39424920127795526	0.5226837060702876	0.19361022364217254	0.4108626198083067	0.08370607028753993	0.2722044728434505	0.16102236421725238	0.6089456869009585	0.6568690095846645	0.8357827476038339
G3-420	0.28434504792332266	0.5028753993610223	0.6370607028753994	0.6325878594249201	0.5546325878594249	0.8824281150159744	0.6939297124600639	0.8932907348242811	0.39424920127795526	0.5706070287539936	0.5897763578274761	0.5476038338658147	0.6364217252396166	0.6376996805111821	0.18594249201277954	0.25431309904153354	0.5418530351437699	0.4504792332268371	0.2108626198083067	0.41533546325878595	0.7150159744408946	0.6255591054313099	0.642811501597444	0.468370607028754	0.3610223642172524	0.0	0.23514376996805111	0.04600638977635783	0.31757188498402555	0.4594249201277955	0.18210862619808307	0.20511182108626197	0.0792332268370607	0.13354632587859425	0.197444089456869	0.43769968051118213	0.10223642172523961	0.4191693290734824	0.4319488817891374	0.2977635782747604	0.6261980830670927	0.673482428115016	0.8376996805111822
G3-421	0.321405750798722	0.3731629392971246	0.6575079872204472	0.6402555910543131	0.5782747603833865	0.8856230031948882	0.5763578274760384	0.8958466453674121	0.3539936102236422	0.5329073482428115	0.48562300319488816	0.4389776357827476	0.6236421725239617	0.6460063897763578	0.29073482428115016	0.24600638977635783	0.405111821086262	0.48881789137380194	0.28306709265175717	0.3693290734824281	0.5789137380191693	0.526517571884984	0.5086261980830671	0.339297124600639	0.3514376996805112	0.23514376996805111	0.0	0.23833865814696487	0.2319488817891374	0.32843450479233227	0.28306709265175717	0.27539936102236423	0.25750798722044727	0.25175718849840256	0.3827476038338658	0.3667731629392971	0.27539936102236423	0.4	0.33993610223642173	0.2888178913738019	0.615335463258786	0.5501597444089457	0.807667731629393
G3-422	0.3194888178913738	0.526517571884984	0.6670926517571885	0.6626198083067093	0.5763578274760384	0.8958466453674121	0.7156549520766773	0.9060702875399361	0.3891373801916933	0.5942492012779552	0.592332268370607	0.5725239616613419	0.6670926517571885	0.6677316293929713	0.18146964856230033	0.26964856230031947	0.5629392971246007	0.48562300319488816	0.24664536741214058	0.4402555910543131	0.7188498402555911	0.6511182108626198	0.6479233226837061	0.4773162939297125	0.37635782747603835	0.04600638977635783	0.23833865814696487	0.0	0.321405750798722	0.4626198083067093	0.19297124600638976	0.2159744408945687	0.0900958466453674	0.14249201277955273	0.16741214057507986	0.4626198083067093	0.1073482428115016	0.44217252396166135	0.4364217252396166	0.31437699680511183	0.6498402555910543	0.6766773162939297	0.8351437699680511
G3-423	0.41789137380191693	0.5456869009584665	0.7501597444089457	0.7335463258785943	0.6747603833865815	0.8869009584664537	0.6766773162939297	0.8971246006389776	0.37635782747603835	0.6562300319488817	0.5968051118210863	0.5840255591054313	0.7175718849840256	0.7399361022364217	0.3488817891373802	0.36293929712460066	0.5776357827476039	0.5840255591054313	0.3667731629392971	0.4913738019169329	0.6715654952076677	0.668370607028754	0.6568690095846645	0.38849840255591056	0.4747603833865815	0.31757188498402555	0.2319488817891374	0.321405750798722	0.0	0.3680511182108626	0.33993610223642173	0.3603833865814696	0.33993610223642173	0.32396166134185306	0.3731629392971246	0.49009584664536743	0.3348242811501597	0.5246006389776358	0.4095846645367412	0.41214057507987223	0.7309904153354633	0.663258785942492	0.8070287539936102
G3-424	0.5092651757188499	0.5124600638977636	0.7769968051118211	0.7616613418530351	0.7003194888178914	0.8747603833865815	0.4159744408945687	0.8741214057507988	0.3865814696485623	0.6824281150159744	0.6210862619808307	0.5955271565495208	0.7450479233226837	0.7623003194888179	0.5041533546325878	0.5047923322683706	0.3150159744408946	0.6095846645367412	0.5156549520766773	0.5220447284345048	0.5738019169329074	0.6619808306709265	0.6134185303514377	0.1073482428115016	0.4996805111821086	0.4594249201277955	0.32843450479233227	0.4626198083067093	0.3680511182108626	0.0	0.49776357827476037	0.5041533546325878	0.48881789137380194	0.470926517571885	0.5047923322683706	0.5182108626198083	0.4817891373801917	0.549520766773163	0.4472843450479233	0.4971246006389776	0.7571884984025559	0.678594249201278	0.8140575079872204
G3-425	0.2594249201277955	0.5968051118210863	0.736741214057508	0.7303514376996805	0.6095846645367412	0.7859424920127795	0.6166134185303515	0.805111821086262	0.36869009584664536	0.663258785942492	0.6415335463258786	0.6345047923322684	0.7354632587859425	0.7412140575079872	0.21150159744408945	0.30287539936102237	0.6287539936102237	0.41022364217252394	0.16485623003194888	0.5022364217252396	0.7488817891373802	0.7194888178913738	0.708626198083067	0.5035143769968051	0.4319488817891374	0.18210862619808307	0.28306709265175717	0.19297124600638976	0.33993610223642173	0.49776357827476037	0.0	0.08817891373801917	0.1207667731629393	0.09712460063897764	0.24600638977635783	0.5303514376996805	0.11309904153354633	0.5130990415335464	0.4504792332268371	0.3501597444089457	0.7188498402555911	0.7201277955271566	0.7603833865814696
