	shannon_entropy
G1-11	2.129840985744956
G1-110	1.9116959815599002
G1-115	1.4139849861601028
G1-116	1.5215300988620257
G1-12	0.8727954800919651
G1-130	1.0349241724880347
G1-131	2.0956967373017052
G1-132	1.030093774269233
G1-15	2.446391449059752
G1-157	1.3914300517139147
G1-158	1.6869552409716186
G1-159	1.8692371953410853
G1-161	1.2004554944591708
G1-162	1.0741174222839203
G1-177	1.7132905846583995
G1-178	1.7073705298345192
G1-19	1.8929317589470909
G1-193	1.8177542091225567
G2-194	1.9282042357577407
G2-41	2.0151873608420106
G2-410	1.9716370068124869
G2-411	1.9339266513787863
G2-412	2.05554405131552
G3-419	1.6234665978188008
G3-42	1.788553649603999
G3-420	1.4776733761822913
G3-421	2.210178955002206
G3-422	1.3248501839635463
G3-423	2.295167283751777
G3-424	1.9028168969845562
G3-425	2.107088813252197
G3-426	2.136698347387318
G3-427	1.7205248571130558
G3-428	1.922315618130851
G3-429	1.2107834132192377
G3-43	1.9720869015465206
G3-430	1.747200599350852
G3-44	1.8063081219130834
G3-45	2.135790970198498
G3-46	1.7904713273496604
G3-47	1.9121475924936322
G3-48	1.9102919587939626
G3-49	3.273749515755717
