	G1-11	G1-110	G1-115	G1-116	G1-12	G1-130	G1-131	G1-132	G1-15	G1-157	G1-158	G1-159	G1-161	G1-162	G1-177	G1-178	G1-19	G1-193	G2-194	G2-41	G2-410	G2-411	G2-412	G3-419	G3-42	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46	G3-47	G3-48	G3-49
G1-11	0.0	0.11066904907654944	0.3473225139806701	0.22163685631419863	0.005064862768805754	0.03189744742695652	0.00511328914159591	0.00511328914159591	0.06993908020987262	0.0954686143695963	0.17661002606976714	0.36231327795938295	0.3029863136237592	0.3373152665383863	0.5026444183393887	0.133078562131946	0.6021126138592856	0.057541289466312304	0.40071371803698125	0.07562565238658259	0.20872879223382107	0.3866533997333008	0.1766716626183753	0.19930553020468686	0.2109244827950705	0.15449030233466907	0.3978053435525283	0.08299883817698862	0.37705351155063205	0.20427411167560405	0.256637641589064	0.0953569275174066	0.19808081050140014	0.0	0.00511328914159591	0.23572951133329906	0.015213550267841535	0.18134033587544074	0.437687148518666	0.2801838463230156	0.43028402355286227	0.15005375134707086	0.6160141164979394
G1-110	0.11066904907654944	0.0	0.41216936350031447	0.29829232229505026	0.10614177985675494	0.13302008839391286	0.10609827107236998	0.10609827107236998	0.1605529900513612	0.08667112556535278	0.18118312800944408	0.3073484386166116	0.37202387118649105	0.35054598506036844	0.5154279409793657	0.13496321898751	0.6054259975188305	0.05637144525955136	0.4130192615280799	0.07415929676168122	0.11730091430389823	0.33931525339466123	0.08805633784696629	0.27462310530215367	0.2852352233173789	0.16623912655449716	0.4555714499637753	0.08198815289344191	0.43668930532027156	0.2147766620260555	0.33295862947374133	0.1954729161027432	0.21242547616299814	0.11066904907654944	0.10609827107236998	0.21852347071101166	0.11521948117426428	0.0884794962191335	0.4897839944935451	0.20936293159669359	0.4872156937649838	0.15734375573367163	0.6548788979268408
G1-115	0.3473225139806701	0.41216936350031447	0.0	0.3001574469735629	0.34514115216655866	0.3655745427695476	0.3479298003943417	0.3479298003943417	0.3665343973170648	0.39493086953113704	0.4492088795623121	0.5187353140582122	0.4599333780151281	0.3113838031949901	0.5120382907790668	0.4111168763963378	0.5650170480832022	0.38246807294787766	0.45014305723834586	0.37429643649651895	0.45875615801444075	0.5351149060558712	0.4260486441754059	0.4165630985642668	0.43992754881541546	0.415079674029026	0.43729666820016727	0.3884293014353258	0.4266056744143149	0.45618533576640535	0.34473409704130487	0.38963576451168574	0.43838006929683065	0.3473225139806701	0.3479298003943417	0.46300790209143583	0.35230600608390183	0.44390017479767646	0.5458398859546038	0.40038624447799026	0.32938446805288657	0.4033599333837857	0.5016135752779557
G1-116	0.22163685631419863	0.29829232229505026	0.3001574469735629	0.0	0.21853247849957985	0.24316016281251895	0.22211081210587633	0.22211081210587633	0.24952811229644561	0.2809808227176867	0.3454807751229515	0.41412249087834846	0.3986084892469945	0.42770913912375624	0.4670870853023212	0.3043108615620361	0.6431080083759734	0.2633133525749606	0.3711114208630032	0.2538968949195619	0.3539041076876582	0.4682159753254909	0.32051434016712543	0.34169218436484006	0.34956651212616363	0.1840384884027726	0.37693393298772304	0.2724244521928068	0.3089709277915128	0.3563819816443044	0.11162590993589688	0.2810736463281217	0.3430451964596815	0.22163685631419863	0.22211081210587633	0.373877479948191	0.2283306986416044	0.34304008253276946	0.5044377877344622	0.31869458634037406	0.4315946670873385	0.29588793595035895	0.5759809876079457
G1-12	0.005064862768805754	0.10614177985675494	0.34514115216655866	0.21853247849957985	0.0	0.03696231019576227	0.010178151910401665	0.010178151910401665	0.06550329464129588	0.09102618432648327	0.17256610629484806	0.35998894078400134	0.30049796248867283	0.3349515174629335	0.5013105126178024	0.12901771171681178	0.6012449697224528	0.06260615223511806	0.40393433952781743	0.07100728883146756	0.20476209268784976	0.3845096464758675	0.1728041745755922	0.19601150201286283	0.2077255518482314	0.15901320355976709	0.3959440077049626	0.07845403779824775	0.375061468629516	0.20050940776906978	0.26042202054573804	0.09993882053428173	0.2023671450995881	0.005064862768805754	0.010178151910401665	0.23252185080439808	0.02022699367806585	0.17750555420815448	0.43606034566333673	0.27722084748103276	0.4286226672614169	0.1461614332247328	0.6152601295505375
G1-130	0.03189744742695652	0.13302008839391286	0.3655745427695476	0.24316016281251895	0.03696231019576227	0.0	0.026921817321542883	0.026921817321542883	0.09530570798599351	0.11695683082132138	0.15046191473549053	0.3792426484245178	0.3224012942376284	0.35677468298824405	0.5154810996351701	0.15375104068547335	0.612768554970162	0.07961927498431605	0.41584577703059544	0.09738525018202401	0.1878143864952797	0.40580824110827535	0.20190687949523975	0.21773631884130085	0.2291342815885929	0.17463972811116643	0.41227213683763736	0.10462089789351024	0.3919534486908649	0.18443827965967535	0.2738761056187769	0.12421273236208054	0.2250752501814083	0.03189744742695652	0.026921817321542883	0.2546867624601643	0.03685092950754053	0.20224105489675714	0.45134431686300963	0.2989613409955928	0.44633362768357154	0.1745961603231482	0.6270087718326026
G1-131	0.00511328914159591	0.10609827107236998	0.3479298003943417	0.22211081210587633	0.010178151910401665	0.026921817321542883	0.0	0.0	0.07014420561313096	0.09098349857003955	0.17252724968418343	0.3599666354553581	0.30355581056308695	0.3379454770816817	0.5012977242903719	0.12897870132767933	0.6012366557045982	0.05269745766277316	0.3987588337136087	0.07096290880632168	0.20929189699501516	0.3873571537836008	0.177124163185232	0.19597987620269283	0.20769484091323742	0.15061187232582018	0.3959261554889142	0.07841036643332919	0.3750423607370362	0.20479509576011445	0.25378668712669855	0.0999826291169518	0.20240812777703274	0.00511328914159591	0.0	0.2324910516342049	0.010203817496624126	0.1774687155389631	0.43604474597858445	0.2771923998005273	0.4309349699058942	0.15043402235640124	0.6166350800864426
G1-132	0.00511328914159591	0.10609827107236998	0.3479298003943417	0.22211081210587633	0.010178151910401665	0.026921817321542883	0.0	0.0	0.07014420561313096	0.09098349857003955	0.17252724968418343	0.3599666354553581	0.30355581056308695	0.3379454770816817	0.5012977242903719	0.12897870132767933	0.6012366557045982	0.05269745766277316	0.3987588337136087	0.07096290880632168	0.20929189699501516	0.3873571537836008	0.177124163185232	0.19597987620269283	0.20769484091323742	0.15061187232582018	0.3959261554889142	0.07841036643332919	0.3750423607370362	0.20479509576011445	0.25378668712669855	0.0999826291169518	0.20240812777703274	0.00511328914159591	0.0	0.2324910516342049	0.010203817496624126	0.1774687155389631	0.43604474597858445	0.2771923998005273	0.4309349699058942	0.15043402235640124	0.6166350800864426
G1-15	0.06993908020987262	0.1605529900513612	0.3665343973170648	0.24952811229644561	0.06550329464129588	0.09530570798599351	0.07014420561313096	0.07014420561313096	0.0	0.14452294753735506	0.22126391729988276	0.388374629189926	0.325083034462329	0.3581343802620943	0.4713403627616408	0.0785490295367236	0.6120174532668584	0.11939597751950468	0.4274145600704655	0.12657085322297673	0.2440435432038263	0.4052953320917549	0.11299492938655309	0.23602984136218122	0.16427100215423565	0.20480751718873944	0.41881699734647176	0.13315661062578424	0.337101756796735	0.1358525029485458	0.29442074376829275	0.1535567253091599	0.24721386000991558	0.06993908020987262	0.07014420561313096	0.2714550291652363	0.07901781552494827	0.12680645829740203	0.40393047329757653	0.31321664805756444	0.39149324167679445	0.08785329942552235	0.5902587802577205
G1-157	0.0954686143695963	0.08667112556535278	0.39493086953113704	0.2809808227176867	0.09102618432648327	0.11695683082132138	0.09098349857003955	0.09098349857003955	0.14452294753735506	0.0	0.18412984871685023	0.3500682955130673	0.312431538490116	0.38824853097411927	0.5367308540046366	0.2005858521285847	0.619666973543661	0.04229283441601036	0.39578520502784414	0.14893274358401584	0.19241890011727544	0.3782938918689176	0.16068995599396693	0.2057878437853436	0.26798118196807047	0.22736996420203337	0.43863375384261544	0.15555262528008992	0.4196021299750006	0.2747841689679868	0.31556008275359815	0.17897730801155207	0.19573819041442816	0.0954686143695963	0.09098349857003955	0.2724758500293683	0.09993537133273868	0.1610484053549136	0.47319040777447463	0.264542937616577	0.4385545877506948	0.16112241728549415	0.6221283352993385
