	G1-11	G1-110	G1-115	G1-116	G1-12	G1-130	G1-131	G1-132	G1-15	G1-157	G1-158	G1-159	G1-161	G1-162	G1-177	G1-178	G1-19	G1-193	G2-194	G2-41	G2-410	G2-411	G2-412	G3-419	G3-42	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46	G3-47	G3-48	G3-49
G1-11	0.0	0.04556717123491379	0.07257008490287493	0.06681566915974375	0.12761715530550155	0.24316200747805372	0.15423707048572904	0.24724302033607296	0.07022433406699854	0.11734931662316178	0.06808299748814921	0.04006903667244412	0.1419922742288338	0.14643301222736527	0.11457768088657763	0.0571107474249564	0.10080789808754331	0.10389719528771961	0.03341512653698643	0.037636463461002904	0.05215200277548785	0.047477830398309405	0.049521765419228925	0.08679469029005202	0.03988655106486858	0.06695482941780952	0.02865456661445669	0.08154471404689029	0.056004056021225074	0.0800700177743272	0.04394999194812924	0.023449911313586723	0.07487396258614909	0.06337986546419495	0.12665334431734	0.0410477470292328	0.07614181551522693	0.03997797653113255	0.0874910579711996	0.07400706710941529	0.07443989320305505	0.06815904931790154	0.12587932262645593
G1-110	0.04556717123491379	0.0	0.07958818359695058	0.030161509529407958	0.09315195928089129	0.28249865055198153	0.1491024863394459	0.2864641732061625	0.06729383826314585	0.07720526560581312	0.06863430324850028	0.015835829437911036	0.10446841783372698	0.10825641152667992	0.12284897606025859	0.06323146540573271	0.0574410459478413	0.06897355201988592	0.028486988741659558	0.017250131994808585	0.04770907593207504	0.032504394204883866	0.0403507281358101	0.04618213126059727	0.02516844337556846	0.07260076260974178	0.040837182904217346	0.08724161521011946	0.04285853110656917	0.03714829819649134	0.07386207449977303	0.04951220826738302	0.08307117167163879	0.07123954992558819	0.13489750360959218	0.02559594983148524	0.08328311722868216	0.00631355595164932	0.09470532548041709	0.07877566438362095	0.08035717008768711	0.070588599561805	0.16210753776220715
G1-115	0.07257008490287493	0.07958818359695058	0.0	0.09142556491858694	0.16410687446709465	0.2936515767791531	0.22376032730921544	0.29770718027952087	0.1057832587895676	0.15171470449530644	0.015760101933881433	0.06519857912953664	0.17257795624542463	0.1771473390107911	0.06278504610044697	0.019027934591503055	0.13376072469773	0.1404019452518603	0.05966148988913679	0.0641355092847772	0.03690126223828026	0.04866649301599366	0.041432793261295744	0.12044324631637307	0.05640668511859609	0.013206190398615135	0.059088837265911846	0.027997244249654225	0.07905359336288785	0.11357980348792521	0.03386000587763317	0.05111236732602918	0.022956821336411172	0.011585258787403463	0.07414072492302311	0.05463079990113351	0.02379647882764126	0.0742630714449982	0.03681153506062296	0.02149104740225371	0.00691761947563083	0.011141890486209755	0.1641248155843157
G1-116	0.06681566915974375	0.030161509529407958	0.09142556491858694	0.0	0.07344696327294824	0.27975321928706615	0.13427406694484978	0.2837919326263777	0.06636680352592689	0.06077602609765124	0.09637943412628253	0.04272626207610776	0.08182891316138224	0.0866142103709639	0.14543191582180964	0.08704504099268674	0.04491601614383572	0.04971255920771401	0.04907045588030523	0.04070603705909212	0.06609729631847244	0.049590014254881715	0.058385108367011426	0.03120720961307386	0.04957041234555524	0.09567096047302251	0.06579573952803316	0.11063217000583829	0.06578359433561284	0.03020635748998269	0.09491712399689932	0.0708197770981334	0.10540598007562665	0.09363572036060767	0.15658699317443195	0.05212391237558058	0.10609563556838696	0.030775735135189077	0.11914339923399012	0.10405941481146685	0.09380650436663014	0.0871428904811253	0.1514656399778111
G1-12	0.12761715530550155	0.09315195928089129	0.16410687446709465	0.07344696327294824	0.0	0.2665656812190751	0.10389899747006962	0.270555367064114	0.12836884018362474	0.016052138519233514	0.15945747329302076	0.1061871656275441	0.01618621675652789	0.02029597038059475	0.20683873023791657	0.1480018344219534	0.04864779586690804	0.025325105217503818	0.11006282268871707	0.10440918574194814	0.13843613566575347	0.12192885416446309	0.1307239479123755	0.061387083261045916	0.11131272461088348	0.15833477711896593	0.12923581083770735	0.1729191974619854	0.1296274737038818	0.0776833043760478	0.156366033169823	0.13147822738719847	0.16641898083595372	0.15516577167509837	0.21796387203966008	0.11528221033767025	0.1677744222857178	0.09354645908988946	0.18236305033956168	0.16525001556267846	0.1661243656901138	0.15974449594637558	0.20381625001069856
G1-130	0.24316200747805372	0.28249865055198153	0.2936515767791531	0.27975321928706615	0.2665656812190751	0.0	0.1785305248998223	0.0075989377893656545	0.2585471960834625	0.27181261765718384	0.29023324597165107	0.28217129748571423	0.2687602042800919	0.26925123519360333	0.28841781175003955	0.28473798306283404	0.2796024269197018	0.270130035757795	0.2754647153408881	0.27891953024977023	0.2932891053215732	0.289570173251229	0.29121254196107704	0.2791915200823513	0.28217403058016816	0.28674938837373254	0.26932777530451557	0.28844331473856816	0.2873532365120752	0.2775680136714685	0.26161753377835156	0.2630174688584633	0.2860747328835944	0.28462837320946727	0.2913049078732297	0.2831182758611556	0.2867511314939089	0.2806190005936168	0.2858364557236948	0.2881559705997532	0.29373138056660875	0.29410477077649644	0.20669456311989998
G1-131	0.15423707048572904	0.1491024863394459	0.22376032730921544	0.13427406694484978	0.10389899747006962	0.1785305248998223	0.0	0.184420534004597	0.17153113863679054	0.10580102299570807	0.21691629130145687	0.16334091085146946	0.1024021311553569	0.10348642108184362	0.2664694771046878	0.21003280405633368	0.1033643992434135	0.10701192191735154	0.16871340492332126	0.16291517522755958	0.19164830752054776	0.17858570173002217	0.18565765066337267	0.10965540278796657	0.17306343957003303	0.21827005933424143	0.172698844897054	0.2329814751349167	0.1848807248587013	0.12121105397301628	0.19671284448966223	0.17627769980587954	0.22727325600397397	0.2150436098112184	0.27902834119321857	0.17361332932602655	0.22795250046000645	0.15448572907282454	0.2375847371095625	0.22688691150440468	0.22532355565283815	0.21623349196031003	0.19653196261885617
G1-132	0.24724302033607296	0.2864641732061625	0.29770718027952087	0.2837919326263777	0.270555367064114	0.0075989377893656545	0.184420534004597	0.0	0.26084853684460513	0.2758228871029173	0.29428826220893695	0.28613682013989516	0.27281580776768016	0.27330683869397104	0.29238333440422065	0.2887035057170151	0.2835679495738828	0.2741547894877858	0.27950635923193506	0.2828850529039513	0.29734412154607964	0.29353569589263034	0.295178064615258	0.2831626727902178	0.2861395532343491	0.290720541081599	0.2732932979586965	0.2924088373927492	0.2913187591662563	0.2799588480157159	0.2656422875083425	0.26704222258845417	0.2900994866135851	0.2886978737310106	0.2952704305274107	0.28708379851533666	0.2907887658202096	0.28459740386455484	0.28980197837787586	0.29212149325393416	0.29769690320801	0.2980702934178979	0.20893580788210905
G1-15	0.07022433406699854	0.06729383826314585	0.1057832587895676	0.06636680352592689	0.12836884018362474	0.2585471960834625	0.17153113863679054	0.26084853684460513	0.0	0.1166811694399083	0.10144224921254204	0.07299352803603697	0.1417540602546979	0.1460813386250991	0.13427268134346043	0.09437044029631021	0.09935181307727287	0.10470891970025395	0.07146435844981572	0.06931710007717347	0.09361192323287033	0.08421250775643813	0.08888660587617425	0.08512479670405565	0.07579605198316293	0.09954676642975527	0.07437376667582848	0.10686896652748601	0.07133052186861957	0.06688024040100357	0.08522532641556853	0.07264033564601183	0.10353660452229232	0.09684037211232985	0.14746990206223382	0.07759915680355116	0.10400775519497808	0.0666861491340554	0.10924519607738166	0.10423688397922468	0.10561222453711658	0.10270324616734007	0.12892291269875666
G1-157	0.11734931662316178	0.07720526560581312	0.15171470449530644	0.06077602609765124	0.016052138519233514	0.27181261765718384	0.10580102299570807	0.2758228871029173	0.1166811694399083	0.0	0.1434929239654	0.09164014228011849	0.02763748803093462	0.031317181352506565	0.19527536638123047	0.1355956304279891	0.033750207290330625	0.01540653769405375	0.0998261596179455	0.0899851031833585	0.12353527106443205	0.10740475588265898	0.11609512661330186	0.048198597995173585	0.09716472372080398	0.1448075808369836	0.11609140233866685	0.15944843343736126	0.11642086372623742	0.06291539977285096	0.14590830075294894	0.12126453826610933	0.15511739792481472	0.1432410293872117	0.20702402584980115	0.1002796636960422	0.1553164628855485	0.07843633804191916	0.16830086300846872	0.15209723324056984	0.15234269909337192	0.14470695824772353	0.19331996935838142
