# Constructed from biom file
#OTU ID	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330
a911e1a597739180245c9bd6aab9d992	0.0	0.0	0.0	9.0	0.0	0.0
c968e760232bc409d8b2f69661888e32	237.0	0.0	157.0	146.0	252.0	0.0
fea6f0f65bf2e94ebff13b253d142072	228.0	0.0	199.0	164.0	296.0	0.0
2dc1dae7438f41afb789fe8a3a433eac	1443.0	60.0	1153.0	2062.0	1063.0	840.0
9107086071dad1a4ae97272dd9cdc8ff	4.0	6.0	0.0	0.0	6.0	0.0
2381ea10d7e07f0c342a68a1eb070c8b	1.0	3.0	3.0	4.0	2.0	1.0
641dbc86bef04d8d7cda5eb7f970ddf1	0.0	0.0	1.0	0.0	0.0	0.0
162bdb2c7b5934c8bfddada185f8a786	0.0	0.0	1.0	0.0	0.0	0.0
b96ea9e9b09900ccecf691bbceea9b83	720.0	3.0	538.0	452.0	798.0	5.0
c35bc9806adc8b858466c744cc35b1e5	127.0	0.0	116.0	126.0	140.0	589.0
7f00fdb10cb5bb5d8919744dd3f55434	0.0	0.0	0.0	0.0	0.0	1.0
6aff0d8e85795e1699a55cf6574d5cd2	0.0	0.0	0.0	0.0	1.0	0.0
5877dadce57b3bd826fe6bfa04a97b56	3824.0	3648.0	4267.0	2845.0	3840.0	906.0
f365eed4b4c884bf45ea125ca3786f2a	239.0	83.0	360.0	337.0	347.0	556.0
74543c864b9ce6cb7bce59303a0ce289	365.0	3385.0	393.0	1043.0	443.0	4290.0
