	G2-1100	G2-1101	G2-1102	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-199	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324
G2-1100	0.0	0.18252643294379522	0.16402337228714525	0.38870339454646635	0.38466889259877574	0.3646355036171397	0.39120756816917085	0.3974680022259321	0.40692821368948245	0.38105175292153587	0.384251530328325	0.2125765164162493	0.4006677796327212	0.1921257651641625	0.3526711185308848	0.15901502504173623	0.35823594880356147	0.328881469115192	0.39259877573734003	0.3446021146355036	0.3237340011129661	0.3176126878130217	0.2914579855314413	0.14691151919866444
G2-1101	0.18252643294379522	0.0	0.12659988870339456	0.3350027824151363	0.3316638842515303	0.31176961602671116	0.33834168057874237	0.3437673900946021	0.35392320534223703	0.3280467445742905	0.3311074012242627	0.04340567612687813	0.3468280467445743	0.14148580968280466	0.29938786867000555	0.14385086254869225	0.29201446855870894	0.2629382303839733	0.33889816360601	0.29104062326099056	0.26989426822481916	0.2640511964385086	0.2376182526432944	0.3290205898720089
G2-1102	0.16402337228714525	0.12659988870339456	0.0	0.4348914858096828	0.4309961046188091	0.41110183639399	0.43767390094602115	0.44337785197551477	0.4535336672231497	0.4275180856983862	0.43030050083472454	0.169449081803005	0.44657762938230383	0.2156371730662215	0.39872008903728434	0.18572621035058431	0.35767946577629384	0.3469671675013912	0.4389259877573734	0.390929326655537	0.3699220923761825	0.3639398998330551	0.33736783528102393	0.2632164718976071
G2-1105	0.38870339454646635	0.3350027824151363	0.4348914858096828	0.0	0.004869226488592098	0.024624373956594323	0.004173622704507512	0.009599332220367279	0.019755147468002224	0.0077907623817473565	0.005425709515859766	0.3254034501947691	0.019337785197551475	0.22008903728436283	0.036449638286032274	0.2502782415136338	0.08430717863105175	0.08903728436282693	0.0047301057317751805	0.04424040066777963	0.06538675570395103	0.07136894824707847	0.27462437395659434	0.4511686143572621
G2-1106	0.38466889259877574	0.3316638842515303	0.4309961046188091	0.004869226488592098	0.0	0.020450751252086813	0.0077907623817473565	0.013772954924874792	0.02337228714524207	0.0037562604340567614	0.001530328324986088	0.32192543127434614	0.023233166388425153	0.21605453533667224	0.0325542570951586	0.24624373956594323	0.08430717863105175	0.08500278241513634	0.008903728436282694	0.04062326099053979	0.06204785754034502	0.06775180856983862	0.2708681135225376	0.44671675013912077
G2-1107	0.3646355036171397	0.31176961602671116	0.41110183639399	0.024624373956594323	0.020450751252086813	0.0	0.02712854757929883	0.03311074012242626	0.04298831385642738	0.017111853088480802	0.02003338898163606	0.30189204229271005	0.04187534780189204	0.19616026711185308	0.012520868113522538	0.2262103505843072	0.08319421257651642	0.06496939343350028	0.028658875904284918	0.0219810795770729	0.04340567612687813	0.04910962715637173	0.2523650528658876	0.4282136894824708
G2-1108	0.39120756816917085	0.33834168057874237	0.43767390094602115	0.004173622704507512	0.0077907623817473565	0.02712854757929883	0.0	0.006260434056761269	0.015859766277128547	0.010573177518085699	0.008069003895381191	0.32874234835837507	0.015998887033945464	0.22259321090706732	0.039371174179187535	0.25278241513633837	0.08402893711741792	0.09140233722871452	0.001669449081803005	0.04757929883138564	0.06886477462437396	0.07470784641068448	0.27810239287701727	0.45395102949360044
G2-1109	0.3974680022259321	0.3437673900946021	0.44337785197551477	0.009599332220367279	0.013772954924874792	0.03311074012242626	0.006260434056761269	0.0	0.01099053978853645	0.01669449081803005	0.013772954924874792	0.33375069560378406	0.011964385086254869	0.2287145242070117	0.0447968836950473	0.2590428491930996	0.08667223149693934	0.09766277128547579	0.0052865887590428495	0.05328324986087924	0.07415136338341681	0.08041179744017807	0.28297161936560933	0.4595158597662771
G2-1110	0.40692821368948245	0.35392320534223703	0.4535336672231497	0.019755147468002224	0.02337228714524207	0.04298831385642738	0.015859766277128547	0.01099053978853645	0.0	0.026015581524763496	0.023928770172509738	0.3446021146355036	0.013912075681691708	0.23831385642737896	0.05523094045631608	0.26836393989983304	0.09627156371730662	0.10698386199220923	0.015025041736227046	0.06288258208124652	0.08416805787423484	0.09001112966054535	0.29368391764051194	0.46953255425709517
G2-1111	0.38105175292153587	0.3280467445742905	0.4275180856983862	0.0077907623817473565	0.0037562604340567614	0.017111853088480802	0.010573177518085699	0.01669449081803005	0.026015581524763496	0.0	0.0037562604340567614	0.31858653311074014	0.026432943795214246	0.21229827490261546	0.02921535893155259	0.2426265998887034	0.08416805787423484	0.08124652198107958	0.011686143572621035	0.037006121313299944	0.058291597106288257	0.06413466889259878	0.2676683361157485	0.44351697273233165
