	shannon
G2-1100	1.3866296839637082
G2-1101	1.5292412584953226
G2-1102	1.745284223803772
G2-1105	0.32156658326186793
G2-1106	0.3339730234338928
G2-1107	0.41417030703525876
G2-1108	0.2992104900874617
G2-1109	0.28746473047397997
G2-1110	0.22310894098595382
G2-1111	0.33819907849876596
G2-1113	0.34252150299145223
G2-199	1.4766764733447766
G2-313	0.3547652252636103
G2-314	1.1671905193515129
G2-315	0.489688733170827
G2-316	1.2019892168436317
G2-317	0.6939598401804441
G2-318	0.7355675960496962
G2-319	0.2934699220055392
G2-320	0.4688463249161038
G2-321	0.5389237440550361
G2-322	0.5519268900020899
G2-323	1.4135937511730279
G2-324	1.5216145619987047
