	G2-1100	G2-1101	G2-1102	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-199	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324
G2-1100	0.0	0.24445563901733047	0.05768797419097335	0.2762669526579026	0.0177601329958258	0.40610435828775693	0.06305521046004493	0.06305521046004493	0.06926873236041764	0.06659256833931655	0.06305521046004493	0.0028108692907094102	0.07543383546582072	0.28664697841215364	0.0028108692907094102	0.0649627477181452	0.2262143865336263	0.1947318715623498	0.015066052134235033	0.015066052134235033	0.06926873236041764	0.0974327013510678	0.2736128351101796	0.12350690681572571
G2-1101	0.24445563901733047	0.0	0.2749889628756442	0.41306263363443557	0.2532130680107809	0.5013657210068619	0.2791302538539395	0.2791302538539395	0.2803736819704591	0.2818596340298868	0.2791302538539395	0.2428385014508802	0.2855694133453806	0.41889867935190606	0.2428385014508802	0.2762409585276134	0.37746693093827277	0.37125227193759025	0.2483930397608984	0.2483930397608984	0.2803736819704591	0.2973268304629222	0.4113132035518711	0.3161234657870282
G2-1102	0.05768797419097335	0.2749889628756442	0.0	0.3045109727197385	0.06906905172657105	0.4251875652979942	0.005381530572732299	0.005381530572732299	0.011611600648812915	0.008928309328065282	0.005381530572732299	0.05517835561448819	0.018881464017219927	0.24346534299257747	0.05517835561448819	0.11128208677734025	0.1788291125375156	0.13987813952641187	0.0667899562633011	0.0667899562633011	0.011611600648812915	0.14105893727803342	0.22919322361653666	0.06950981839771589
G2-1105	0.2762669526579026	0.41306263363443557	0.3045109727197385	0.0	0.2727458214613486	0.5124144567698649	0.3017184268105564	0.3017184268105564	0.3018730133473023	0.2998656645230612	0.3017184268105564	0.27477333647798324	0.3143171869407304	0.369349097890943	0.27477333647798324	0.3090370479507047	0.3758555278700347	0.3935481436354772	0.2718146223310071	0.2718146223310071	0.3018730133473023	0.3178395570991193	0.35106375290170194	0.33238269655063857
G2-1106	0.0177601329958258	0.2532130680107809	0.06906905172657105	0.2727458214613486	0.0	0.40732961087122344	0.06405896301912553	0.06405896301912553	0.06342038109839547	0.06072740112089228	0.06405896301912553	0.015006935703968959	0.08155956529966316	0.2948081237009656	0.015006935703968959	0.07626906594590609	0.22741196055396498	0.19603441178359726	0.00851429197604438	0.00851429197604438	0.06342038109839547	0.09193398307883553	0.2664586909815523	0.11359611759458521
G2-1107	0.40610435828775693	0.5013657210068619	0.4251875652979942	0.5124144567698649	0.40732961087122344	0.0	0.42328858081243476	0.42328858081243476	0.42711314876773765	0.4254659072640707	0.42328858081243476	0.4051027534997036	0.43187736829357787	0.5197525655746021	0.4051027534997036	0.42855357347326073	0.49003737045048323	0.49601295048795857	0.4070271700358255	0.4070271700358255	0.42711314876773765	0.4379092085826206	0.5112112351661924	0.4475466341755484
G2-1108	0.06305521046004493	0.2791302538539395	0.005381530572732299	0.3017184268105564	0.06405896301912553	0.42328858081243476	0.0	0.0	0.006263778793156822	0.003565969127212497	0.0	0.06055988618722048	0.024161383414085615	0.24753665737859445	0.06055988618722048	0.1163584777394369	0.17515435449000635	0.13542582890323318	0.06174068507488071	0.06174068507488071	0.006263778793156822	0.13678321341027527	0.22595345988969107	0.06478457485713111
G2-1109	0.06305521046004493	0.2791302538539395	0.005381530572732299	0.3017184268105564	0.06405896301912553	0.42328858081243476	0.0	0.0	0.006263778793156822	0.003565969127212497	0.0	0.06055988618722048	0.024161383414085615	0.24753665737859445	0.06055988618722048	0.1163584777394369	0.17515435449000635	0.13542582890323318	0.06174068507488071	0.06174068507488071	0.006263778793156822	0.13678321341027527	0.22595345988969107	0.06478457485713111
G2-1110	0.06926873236041764	0.2803736819704591	0.011611600648812915	0.3018730133473023	0.06342038109839547	0.42711314876773765	0.006263778793156822	0.006263778793156822	0.0	0.002707464400409211	0.006263778793156822	0.0667899562633011	0.030273820646199955	0.2522499213067343	0.0667899562633011	0.11747033883692778	0.17626569012099125	0.13660898520118897	0.055826591702926906	0.055826591702926906	0.0	0.1317798358941313	0.2259048391073507	0.06418457143752594
G2-1111	0.06659256833931655	0.2818596340298868	0.008928309328065282	0.2998656645230612	0.06072740112089228	0.4254659072640707	0.003565969127212497	0.003565969127212497	0.002707464400409211	0.0	0.003565969127212497	0.06410666494255347	0.027641193793972736	0.2502199184277415	0.06410666494255347	0.11970414963979878	0.17810368532985846	0.13883739474160314	0.058382907593704264	0.058382907593704264	0.002707464400409211	0.1339418838642475	0.22380331421286642	0.06164400598883011
