	G2-1100	G2-1101	G2-1102	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-199	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324
G2-1100	0.0	0.020173727168227486	0.017622862572230804	0.1401053163003851	0.13860369190936858	0.13150326722854352	0.14096475180315948	0.14317208665838416	0.14656978725181813	0.13731497863048123	0.13842913452983954	0.02471551245575995	0.14418977261540875	0.06098718194776559	0.12706795281049282	0.05010424192259123	0.1122280316692383	0.10825272645514222	0.14140168481254262	0.12416330203066595	0.11664714729843616	0.11445947517591144	0.10188514441744372	0.024509551834430533
G2-1101	0.020173727168227486	0.0	0.03637636235985337	0.12172761526081206	0.1204255647120251	0.11331762416617294	0.12282391853074977	0.12480748983637227	0.12842802661048794	0.11913685143313778	0.12021371340756234	0.004766641993434897	0.12578276230197935	0.042668652536309845	0.10881523776328196	0.03177172465635771	0.09392576746613486	0.08999574082944115	0.12307345454654392	0.10587236568960094	0.09828162310750378	0.09616853883484645	0.08347813410401432	0.008603099854796264
G2-1102	0.017622862572230804	0.03637636235985337	0.0	0.15761444755779844	0.15618648364772883	0.14908374381962206	0.15856669471366072	0.16066122042516393	0.1641726575312398	0.15488055498496922	0.1559555622215529	0.04103151789530698	0.16167890638218846	0.0783253242955352	0.14457615669898566	0.06747413530359722	0.1293741688275875	0.12560308240545534	0.1589117434388764	0.1416733606569997	0.1341381358030568	0.1319695338022452	0.11937427818422344	0.04005865967843426
G2-1105	0.1401053163003851	0.12172761526081206	0.15761444755779844	0.0	0.0015117934257111497	0.008834901625307692	0.0013987392477977196	0.003382310553420337	0.007002250469935042	0.0028094077916171	0.0017915298697449432	0.11760417223283319	0.004444786728897025	0.07942616085381818	0.013040145596653759	0.09024083978222984	0.028395496324421742	0.032193510891597776	0.0016476784059911544	0.015942941638639754	0.023497236614295796	0.025676651811042416	0.04067257641619675	0.11954251373435204
G2-1106	0.13860369190936858	0.1204255647120251	0.15618648364772883	0.0015117934257111497	0.0	0.007339407148918837	0.0024109744488609443	0.004578233275172892	0.008014485670998266	0.001307783400600478	0.000326272038915176	0.1162988119621522	0.005651441975693389	0.0779742366871229	0.011610326951525567	0.088789570156762	0.02690890253394554	0.030691886500581148	0.0028090893067889643	0.014553199022424178	0.022182081847947583	0.024286909194826848	0.03938989491246022	0.11803348106494897
G2-1107	0.13150326722854352	0.11331762416617294	0.14908374381962206	0.008834901625307692	0.007339407148918837	0.0	0.009736811284891055	0.01190268233005937	0.015342774102470123	0.006053475975401629	0.007160657570435156	0.10919978159998876	0.012971936620941408	0.0708714968590161	0.004508514489556826	0.08168402590945309	0.019803298184684192	0.023591461819756056	0.010135062590979151	0.007461491373805258	0.015090374199328661	0.01719520154620793	0.03230374080438697	0.11095244652335955
G2-1108	0.14096475180315948	0.12282391853074977	0.15856669471366072	0.0013987392477977196	0.0024109744488609443	0.009736811284891055	0.0	0.0022073348552247092	0.005605962817579068	0.00368951869305377	0.0027064831006735498	0.1187027299846611	0.003285169730152857	0.08035352038413429	0.014011462874229181	0.0911758074333274	0.02928818602644957	0.03303387627265901	0.0004569305000167184	0.0169540044365906	0.024563817140400873	0.026687714608993263	0.0417790384833001	0.1204226246357887
G2-1109	0.14317208665838416	0.12480748983637227	0.16066122042516393	0.003382310553420337	0.004578233275172892	0.01190268233005937	0.0022073348552247092	0.0	0.003644243740431078	0.005859559623344649	0.004819232615397172	0.12068351918352221	0.0011573088171551134	0.0824983839316509	0.01610413384789134	0.09330761014022877	0.03143403716837656	0.03524121112788358	0.001773780810203764	0.019012163592080425	0.026528318324310216	0.0287458737644831	0.04374075756044808	0.12257081333760522
G2-1110	0.14656978725181813	0.12842802661048794	0.1641726575312398	0.007002250469935042	0.008014485670998266	0.015342774102470123	0.005605962817579068	0.003644243740431078	0.0	0.009292102546270643	0.008312445918252618	0.12430869280224019	0.002931637245487821	0.08595855583279291	0.01961742569180824	0.09677991551306556	0.0348922940060208	0.038637984352397174	0.005354572063944036	0.022555660920887025	0.03016547362469729	0.0322893710932897	0.04738254970543743	0.12602613585792602
G2-1111	0.13731497863048123	0.11913685143313778	0.15488055498496922	0.0028094077916171	0.001307783400600478	0.006053475975401629	0.00368951869305377	0.005859559623344649	0.009292102546270643	0.0	0.0011190590902417346	0.11501659025596954	0.006937394498272797	0.07666645328652243	0.0103253231455376	0.08750085687787465	0.025601119241859246	0.029384103099980668	0.004105776303774464	0.013264485743536829	0.0208742984473471	0.022998195915939493	0.03809044715916678	0.11673403331165552
G2-1113	0.13842913452983954	0.12021371340756234	0.1559555622215529	0.0017915298697449432	0.000326272038915176	0.007160657570435156	0.0027064831006735498	0.004819232615397172	0.008312445918252618	0.0011190590902417346	0.0	0.11609159749255323	0.005856475651457317	0.07775543180310626	0.011400330382121264	0.08858983539445853	0.026691085340332737	0.03049825899933891	0.003088825750822759	0.014346250908844883	0.021936993490942032	0.024079961081247558	0.039075006978068295	0.11775588705549073
G2-199	0.02471551245575995	0.004766641993434897	0.04103151789530698	0.11760417223283319	0.1162988119621522	0.10919978159998876	0.1187027299846611	0.12068351918352221	0.12430869280224019	0.11501659025596954	0.11609159749255323	0.0	0.12146631316389929	0.03876658353848754	0.10469126711043195	0.02787058302745586	0.09002749073679601	0.0860945990155087	0.11895412073829616	0.10175303188135314	0.09416228929925602	0.09204920502659865	0.07912439104100061	0.005141275435806173
