	G1-141	G1-142	G1-143	G1-144	G1-192	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218
G1-141	0.0	0.1254203093476799	0.37088096839273704	0.2659717552118359	0.3833221250840619	0.07229320780094149	0.06724949562878278	0.07363819771351715	0.03732347007397444	0.07363819771351715	0.0773369199731002
G1-142	0.1254203093476799	0.0	0.34129119031607263	0.14122394082044384	0.35608607935440484	0.1933422999327505	0.10591795561533289	0.18560860793544048	0.14929388029589777	0.18997982515131137	0.1933422999327505
G1-143	0.37088096839273704	0.34129119031607263	0.0	0.2269670477471419	0.01613987895090787	0.3843308675184936	0.30598520511096167	0.36819098856758575	0.3705447209145931	0.38063214525891054	0.3940820443846671
G1-144	0.2659717552118359	0.14122394082044384	0.2269670477471419	0.0	0.2410894418291863	0.3338937457969065	0.21217215870880968	0.32683254875588436	0.2905178211163416	0.3312037659717552	0.3338937457969065
G1-192	0.3833221250840619	0.35608607935440484	0.01613987895090787	0.2410894418291863	0.0	0.39677202420981844	0.31977135171486215	0.37995965030262274	0.38500336247478145	0.3924008069939475	0.40719569603227973
G2-213	0.07229320780094149	0.1933422999327505	0.3843308675184936	0.3338937457969065	0.39677202420981844	0.0	0.12239408204438466	0.02051109616677875	0.04640215198386012	0.01546738399462004	0.019502353732347006
G2-214	0.06724949562878278	0.10591795561533289	0.30598520511096167	0.21217215870880968	0.31977135171486215	0.12239408204438466	0.0	0.11600537995965031	0.08103564223268325	0.11903160726294552	0.12407531943510423
G2-215	0.07363819771351715	0.18560860793544048	0.36819098856758575	0.32683254875588436	0.37995965030262274	0.02051109616677875	0.11600537995965031	0.0	0.04068594485541358	0.016812373907195696	0.028581035642232685
G2-216	0.03732347007397444	0.14929388029589777	0.3705447209145931	0.2905178211163416	0.38500336247478145	0.04640215198386012	0.08103564223268325	0.04068594485541358	0.0	0.04303967720242098	0.04673839946200403
G2-217	0.07363819771351715	0.18997982515131137	0.38063214525891054	0.3312037659717552	0.3924008069939475	0.01546738399462004	0.11903160726294552	0.016812373907195696	0.04303967720242098	0.0	0.019502353732347006
G2-218	0.0773369199731002	0.1933422999327505	0.3940820443846671	0.3338937457969065	0.40719569603227973	0.019502353732347006	0.12407531943510423	0.028581035642232685	0.04673839946200403	0.019502353732347006	0.0
