	G1-141	G1-142	G1-143	G1-144	G1-192	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218
G1-141	0.0	0.29969995197249727	0.17741776895001082	0.297475357441259	0.16159982008385285	0.12513162727570185	0.21503918603947936	0.30546803878330187	0.30446239294305116	0.1881200713093883	0.23717021705687585
G1-142	0.29969995197249727	0.0	0.23625499963612456	0.0031665715285599133	0.3541980449808131	0.19953667333201	0.10785349335575359	0.21920962954607276	0.22343134887559385	0.23126262819653082	0.22835517488789714
G1-143	0.17741776895001082	0.23625499963612456	0.0	0.23810346402593402	0.30121984229476384	0.06633716386826045	0.15894326752329338	0.2497968882004198	0.265041360000407	0.2598403057494613	0.17779676851049972
G1-144	0.297475357441259	0.0031665715285599133	0.23810346402593402	0.0	0.3521465707570926	0.1969938970692095	0.11037470909264928	0.2211414188928969	0.2209644903366776	0.2331353076534551	0.22590394435772979
G1-192	0.16159982008385285	0.3541980449808131	0.30121984229476384	0.3521465707570926	0.0	0.2719640941811488	0.28793555768163165	0.17288688557501328	0.18461578210319832	0.2596961485129838	0.2923566899024378
G2-213	0.12513162727570185	0.19953667333201	0.06633716386826045	0.1969938970692095	0.2719640941811488	0.0	0.10276695508355121	0.21806186094182145	0.2171239386853709	0.2157308607074459	0.13742288039165904
G2-214	0.21503918603947936	0.10785349335575359	0.15894326752329338	0.11037470909264928	0.28793555768163165	0.10276695508355121	0.0	0.1403276951285059	0.14404048357753083	0.1383283282753334	0.150314882977205
G2-215	0.30546803878330187	0.21920962954607276	0.2497968882004198	0.2211414188928969	0.17288688557501328	0.21806186094182145	0.1403276951285059	0.0	0.020858881628198458	0.24546142620004388	0.24293954936147033
G2-216	0.30446239294305116	0.22343134887559385	0.265041360000407	0.2209644903366776	0.18461578210319832	0.2171239386853709	0.14404048357753083	0.020858881628198458	0.0	0.2482713943504499	0.25466311119210505
G2-217	0.1881200713093883	0.23126262819653082	0.2598403057494613	0.2331353076534551	0.2596961485129838	0.2157308607074459	0.1383283282753334	0.24546142620004388	0.2482713943504499	0.0	0.25316616119742796
G2-218	0.23717021705687585	0.22835517488789714	0.17779676851049972	0.22590394435772979	0.2923566899024378	0.13742288039165904	0.150314882977205	0.24293954936147033	0.25466311119210505	0.25316616119742796	0.0
