	G1-141	G1-142	G1-143	G1-144	G1-192	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218
G1-141	0.0	0.010232955549973508	0.13086801014191396	0.05125217056873006	0.13516525757215742	0.005101076692720763	0.022576139407320527	0.0024076685269934037	0.0028779449877817972	0.005431093824966671	0.011440030697797891
G1-142	0.010232955549973508	0.0	0.12243981725623465	0.04102369782158117	0.12781161425804163	0.013882524054395565	0.014116025131045132	0.010765698408278011	0.010517894599753545	0.014139709822518502	0.019530071517277432
G1-143	0.13086801014191396	0.12243981725623465	0.0	0.0818461297622084	0.005508461493522817	0.13372883605647162	0.10849117155496939	0.1306386128835482	0.1311202402690078	0.13409569004680938	0.13962800919116056
G1-144	0.05125217056873006	0.04102369782158117	0.0818461297622084	0.0	0.08721344396119078	0.05490173907315212	0.028866730254315024	0.05178939622985919	0.05153710963196	0.05516340764409967	0.060549286536033975
G1-192	0.13516525757215742	0.12781161425804163	0.005508461493522817	0.08721344396119078	0.0	0.13863759212400575	0.1137257371546303	0.13510587468316482	0.13636497970456674	0.13868589794363534	0.14494598802183115
G2-213	0.005101076692720763	0.013882524054395565	0.13372883605647162	0.05490173907315212	0.13863759212400575	0.0	0.026039491621661703	0.003630624627508248	0.0034983339278585467	0.0010850781476662542	0.0067876608872024366
G2-214	0.022576139407320527	0.014116025131045132	0.10849117155496939	0.028866730254315024	0.1137257371546303	0.026039491621661703	0.0	0.022952812638013177	0.022977208566832982	0.026296677389784636	0.03180732318225918
G2-215	0.0024076685269934037	0.010765698408278011	0.1306386128835482	0.05178939622985919	0.13510587468316482	0.003630624627508248	0.022952812638013177	0.0	0.001365386843090553	0.0037222773301335654	0.009892929013943537
G2-216	0.0028779449877817972	0.010517894599753545	0.1311202402690078	0.05153710963196	0.13636497970456674	0.0034983339278585467	0.022977208566832982	0.001365386843090553	0.0	0.0037689680641056194	0.009160142240419743
G2-217	0.005431093824966671	0.014139709822518502	0.13409569004680938	0.05516340764409967	0.13868589794363534	0.0010850781476662542	0.026296677389784636	0.0037222773301335654	0.0037689680641056194	0.0	0.006562194139979136
G2-218	0.011440030697797891	0.019530071517277432	0.13962800919116056	0.060549286536033975	0.14494598802183115	0.0067876608872024366	0.03180732318225918	0.009892929013943537	0.009160142240419743	0.006562194139979136	0.0
