	G1-139	G1-140	G1-187	G1-188	G1-189	G1-190	G2-219	G2-220	G2-221	G2-222	G2-223	G2-224
G1-139	0.0	0.06321452589105582	0.4159381304640215	0.13012777404169468	0.2676529926025555	0.26227303295225285	0.29993275050437124	0.2599193006052455	0.2750504371217216	0.39206455951580366	0.17484868863483524	0.3328850033624748
G1-140	0.06321452589105582	0.0	0.4055144586415602	0.1398789509078682	0.21956960322797578	0.21385339609952925	0.2716879623402825	0.25453934095494285	0.25521183591123064	0.3981170141223941	0.13651647612642906	0.304640215198386
G1-187	0.4159381304640215	0.4055144586415602	0.0	0.44418291862811027	0.3083389374579691	0.41190316072629457	0.6398789509078682	0.6234028244788165	0.5366509751176867	0.6102891728312038	0.5232010759919301	0.6812373907195696
G1-188	0.13012777404169468	0.1398789509078682	0.44418291862811027	0.0	0.27404169468728984	0.26698049764626763	0.2410894418291863	0.257901815736382	0.2659717552118359	0.4209818426361802	0.19905850706119704	0.25924680564895763
G1-189	0.2676529926025555	0.21956960322797578	0.3083389374579691	0.27404169468728984	0.0	0.13651647612642906	0.39979825151311366	0.3913920645595158	0.3187626092804304	0.4266980497646268	0.2632817753866846	0.417955615332885
G1-190	0.26227303295225285	0.21385339609952925	0.41190316072629457	0.26698049764626763	0.13651647612642906	0.0	0.40753194351042366	0.3981170141223941	0.25016812373907193	0.4250168123739072	0.27236045729657027	0.42737054472091457
G2-219	0.29993275050437124	0.2716879623402825	0.6398789509078682	0.2410894418291863	0.39979825151311366	0.40753194351042366	0.0	0.22326832548755884	0.32548755884330866	0.40954942837928715	0.18560860793544048	0.04976462676529926
G2-220	0.2599193006052455	0.25453934095494285	0.6234028244788165	0.257901815736382	0.3913920645595158	0.3981170141223941	0.22326832548755884	0.0	0.31573638197713516	0.18728984532616005	0.28816408876933425	0.26832548755884333
G2-221	0.2750504371217216	0.25521183591123064	0.5366509751176867	0.2659717552118359	0.3187626092804304	0.25016812373907193	0.32548755884330866	0.31573638197713516	0.0	0.37995965030262274	0.3665097511768662	0.3695359784801614
G2-222	0.39206455951580366	0.3981170141223941	0.6102891728312038	0.4209818426361802	0.4266980497646268	0.4250168123739072	0.40954942837928715	0.18728984532616005	0.37995965030262274	0.0	0.46234028244788167	0.4438466711499664
G2-223	0.17484868863483524	0.13651647612642906	0.5232010759919301	0.19905850706119704	0.2632817753866846	0.27236045729657027	0.18560860793544048	0.28816408876933425	0.3665097511768662	0.46234028244788167	0.0	0.2004034969737727
G2-224	0.3328850033624748	0.304640215198386	0.6812373907195696	0.25924680564895763	0.417955615332885	0.42737054472091457	0.04976462676529926	0.26832548755884333	0.3695359784801614	0.4438466711499664	0.2004034969737727	0.0
