	G1-139	G1-140	G1-187	G1-188	G1-189	G1-190	G2-219	G2-220	G2-221	G2-222	G2-223	G2-224
G1-139	0.0	0.1888973665204969	0.33333240393927666	0.34559434779669046	0.05763337712474331	0.7141852183615711	0.18995088021857923	0.21136951493990333	0.4313747772251063	0.10965800187140014	0.16822300224627593	0.11550257143849568
G1-140	0.1888973665204969	0.0	0.35170125521112816	0.3645337138595417	0.1591020374565571	0.7475065839880387	0.19891625288592235	0.2220402054822303	0.4505457255660205	0.11101798054651855	0.17529569628130548	0.11748946971437552
G1-187	0.33333240393927666	0.35170125521112816	0.0	0.42408368293444565	0.3100952467191418	0.6696275545468585	0.32785772682249165	0.3545172766722695	0.4942518868391551	0.28136327473974915	0.31974361902392495	0.2860807005638498
G1-188	0.34559434779669046	0.3645337138595417	0.42408368293444565	0.0	0.3232915681033367	0.6073785746032855	0.34661574185243366	0.19181163978690483	0.15156186119802662	0.29567299265812225	0.3325525203426632	0.300296483632429
G1-189	0.05763337712474331	0.1591020374565571	0.3100952467191418	0.3232915681033367	0.0	0.7110721332862822	0.15416767018996463	0.18619504830207126	0.4203561281773498	0.06558678179117564	0.13031066561424662	0.07175569074689275
G1-190	0.7141852183615711	0.7475065839880387	0.6696275545468585	0.6073785746032855	0.7110721332862822	0.0	0.7291008360326358	0.679258933582559	0.6306521366110885	0.7231662426376326	0.6998412425765361	0.7249938732958452
G2-219	0.18995088021857923	0.19891625288592235	0.32785772682249165	0.34661574185243366	0.15416767018996463	0.7291008360326358	0.0	0.22017702526240257	0.4374028257338933	0.11035611525672959	0.1633134581625871	0.109899936415062
G2-220	0.21136951493990333	0.2220402054822303	0.3545172766722695	0.19181163978690483	0.18619504830207126	0.679258933582559	0.22017702526240257	0.0	0.3056409563846596	0.13622171429005556	0.1999388103659064	0.14189190876812074
G2-221	0.4313747772251063	0.4505457255660205	0.4942518868391551	0.15156186119802662	0.4203561281773498	0.6306521366110885	0.4374028257338933	0.3056409563846596	0.0	0.4002277356387447	0.4270073187535565	0.40416488645364707
G2-222	0.10965800187140014	0.11101798054651855	0.28136327473974915	0.29567299265812225	0.06558678179117564	0.7231662426376326	0.11035611525672959	0.13622171429005556	0.4002277356387447	0.0	0.08391969058875696	0.006564409608195708
G2-223	0.16822300224627593	0.17529569628130548	0.31974361902392495	0.3325525203426632	0.13031066561424662	0.6998412425765361	0.1633134581625871	0.1999388103659064	0.4270073187535565	0.08391969058875696	0.0	0.08335859892374312
G2-224	0.11550257143849568	0.11748946971437552	0.2860807005638498	0.300296483632429	0.07175569074689275	0.7249938732958452	0.109899936415062	0.14189190876812074	0.40416488645364707	0.006564409608195708	0.08335859892374312	0.0
