	G1-139	G1-140	G1-187	G1-188	G1-189	G1-190	G2-219	G2-220	G2-221	G2-222	G2-223	G2-224
G1-139	0.0	0.017156662045698448	0.10235924617080762	0.0047747187893924185	0.09330280484276221	0.0956779401391041	0.0377995834744145	0.03746356601667352	0.04431450895297415	0.04025776783332031	0.012423824832384538	0.044431392753391474
G1-140	0.017156662045698448	0.0	0.0859453684200105	0.02057232124065334	0.07653364437079423	0.07898124869928833	0.05326240238364706	0.05323206458470118	0.027773336882264008	0.056026266515672114	0.006943342948841387	0.05989421166262402
G1-187	0.10235924617080762	0.0859453684200105	0.0	0.1041260573351373	0.011286198868429432	0.03251656337670378	0.1375619313356709	0.13756897296405016	0.07714942601840077	0.14067656171264767	0.0921974045116994	0.14458577964929126
G1-188	0.0047747187893924185	0.02057232124065334	0.1041260573351373	0.0	0.09475792031666905	0.09626443430196932	0.034642774320911646	0.034512413068051195	0.04508028684264587	0.0378606703362325	0.015936997882969445	0.04153028538734999
G1-189	0.09330280484276221	0.07653364437079423	0.011286198868429432	0.09475792031666905	0.0	0.02176875985062346	0.12774060387806202	0.127850909130663	0.06703678796926206	0.13095849836345688	0.08210623168301814	0.13443728020940704
G1-190	0.0956779401391041	0.07898124869928833	0.03251656337670378	0.09626443430196932	0.02176875985062346	0.0	0.12844219220116507	0.12873402192312147	0.06447668992524105	0.1330932196732173	0.08401400131282964	0.13693255135766563
G2-219	0.0377995834744145	0.05326240238364706	0.1375619313356709	0.034642774320911646	0.12774060387806202	0.12844219220116507	0.0	0.003017936642264853	0.07714387693445127	0.005367039645024442	0.04779116874078341	0.009260521710005807
G2-220	0.03746356601667352	0.05323206458470118	0.13756897296405016	0.034512413068051195	0.127850909130663	0.12873402192312147	0.003017936642264853	0.0	0.07718224353124578	0.004605529722376395	0.04790114131513469	0.011415225475842797
G2-221	0.04431450895297415	0.027773336882264008	0.07714942601840077	0.04508028684264587	0.06703678796926206	0.06447668992524105	0.07714387693445127	0.07718224353124578	0.0	0.08095155745566582	0.033467705414823745	0.08510335598545087
G2-222	0.04025776783332031	0.056026266515672114	0.14067656171264767	0.0378606703362325	0.13095849836345688	0.1330932196732173	0.005367039645024442	0.004605529722376395	0.08095155745566582	0.0	0.05103408277610141	0.009224688412846982
G2-223	0.012423824832384538	0.006943342948841387	0.0921974045116994	0.015936997882969445	0.08210623168301814	0.08401400131282964	0.04779116874078341	0.04790114131513469	0.033467705414823745	0.05103408277610141	0.0	0.05469393006579879
G2-224	0.044431392753391474	0.05989421166262402	0.14458577964929126	0.04153028538734999	0.13443728020940704	0.13693255135766563	0.009260521710005807	0.011415225475842797	0.08510335598545087	0.009224688412846982	0.05469393006579879	0.0
