# Constructed from biom file
#OTU ID	G2-1103	G2-1104	G2-197	G2-198	G2-210	G2-211	G2-212	G2-27	G2-28	G2-29
c968e760232bc409d8b2f69661888e32	0.0	0.0	21.0	24.0	33.0	28.0	31.0	37.0	25.0	23.0
fea6f0f65bf2e94ebff13b253d142072	0.0	0.0	22.0	38.0	32.0	31.0	26.0	30.0	22.0	25.0
2dc1dae7438f41afb789fe8a3a433eac	0.0	3.0	4.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0
2381ea10d7e07f0c342a68a1eb070c8b	29.0	13.0	7.0	0.0	1.0	6.0	4.0	1.0	2.0	0.0
162bdb2c7b5934c8bfddada185f8a786	0.0	4.0	12.0	9.0	6.0	18.0	11.0	3.0	27.0	22.0
b96ea9e9b09900ccecf691bbceea9b83	1.0	16.0	86.0	93.0	89.0	77.0	92.0	74.0	88.0	90.0
c35bc9806adc8b858466c744cc35b1e5	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6dddce8beae95befe7cb99307eefc373	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
7f00fdb10cb5bb5d8919744dd3f55434	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5b3b8af7cfbfd814669dd0c5684874c0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d9804cbb9c1b7c95059a296f45c8dff6	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5877dadce57b3bd826fe6bfa04a97b56	39.0	6.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0
66550bd0110c927f886a5e52039396cc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
74543c864b9ce6cb7bce59303a0ce289	67.0	120.0	8.0	0.0	3.0	0.0	0.0	1.0	0.0	3.0
