	G2-1103	G2-1104	G2-197	G2-198	G2-210	G2-211	G2-212	G2-27	G2-28	G2-29
G2-1103	0.0	0.15948662630075425	0.17981780421023869	0.20239879764224875	0.20038726237364085	0.18619592549412006	0.19525465435233383	0.20202753501042398	0.19788016334370898	0.199051259571614
G2-1104	0.15948662630075425	0.0	0.03688813843507938	0.06197662030990581	0.05996508504129793	0.04533936009593018	0.054832477019990875	0.059056627676450896	0.05745798601136605	0.05862908223927104
G2-197	0.17981780421023869	0.03688813843507938	0.0	0.026177310363330805	0.024418774102288508	0.009721439878368255	0.018864501068372147	0.02687401499320302	0.022283085986985234	0.023203493949244574
G2-198	0.20239879764224875	0.06197662030990581	0.026177310363330805	0.0	0.0023745413602198977	0.021007464137913715	0.007595147494938736	0.023230925921968765	0.00607696232023703	0.004443867103418963
G2-210	0.20038726237364085	0.05996508504129793	0.024418774102288508	0.0023745413602198977	0.0	0.019497604963346377	0.005964286269508853	0.02112972686108695	0.004688105074581012	0.004319896344957866
G2-211	0.18619592549412006	0.04533936009593018	0.009721439878368255	0.021007464137913715	0.019497604963346377	0.0	0.013735380038983874	0.029819266941955653	0.0172219517972874	0.0184711582638285
G2-212	0.19525465435233383	0.054832477019990875	0.018864501068372147	0.007595147494938736	0.005964286269508853	0.013735380038983874	0.0	0.02255420788372047	0.005603709618789651	0.009085459104788422
G2-27	0.20202753501042398	0.059056627676450896	0.02687401499320302	0.023230925921968765	0.02112972686108695	0.029819266941955653	0.02255420788372047	0.0	0.022905503064187396	0.024840403086263296
G2-28	0.19788016334370898	0.05745798601136605	0.022283085986985234	0.00607696232023703	0.004688105074581012	0.0172219517972874	0.005603709618789651	0.022905503064187396	0.0	0.004397276884759786
G2-29	0.199051259571614	0.05862908223927104	0.023203493949244574	0.004443867103418963	0.004319896344957866	0.0184711582638285	0.009085459104788422	0.024840403086263296	0.004397276884759786	0.0
