	G1-175	G1-176	G1-180	G1-181	G1-182	G2-21	G2-22	G2-23	G2-24	G2-25	G2-26
G1-175	0.0	0.3231707317073171	0.3353658536585366	0.14634146341463414	0.34146341463414637	0.4024390243902439	0.4451219512195122	0.38414634146341464	0.6951219512195121	0.32926829268292684	0.9573170731707317
G1-176	0.3231707317073171	0.0	0.024390243902439025	0.17682926829268292	0.03048780487804878	0.4024390243902439	0.4451219512195122	0.38414634146341464	0.6951219512195121	0.2865853658536585	0.9573170731707317
G1-180	0.3353658536585366	0.024390243902439025	0.0	0.18902439024390244	0.018292682926829267	0.4024390243902439	0.4451219512195122	0.38414634146341464	0.6951219512195121	0.29878048780487804	0.9573170731707317
G1-181	0.14634146341463414	0.17682926829268292	0.18902439024390244	0.0	0.20121951219512196	0.4024390243902439	0.4451219512195122	0.38414634146341464	0.6951219512195121	0.2865853658536585	0.9573170731707317
G1-182	0.34146341463414637	0.03048780487804878	0.018292682926829267	0.20121951219512196	0.0	0.4024390243902439	0.4451219512195122	0.38414634146341464	0.6951219512195121	0.3048780487804878	0.9573170731707317
G2-21	0.4024390243902439	0.4024390243902439	0.4024390243902439	0.4024390243902439	0.4024390243902439	0.0	0.09146341463414634	0.054878048780487805	0.34146341463414637	0.2621951219512195	0.5548780487804879
G2-22	0.4451219512195122	0.4451219512195122	0.4451219512195122	0.4451219512195122	0.4451219512195122	0.09146341463414634	0.0	0.06707317073170732	0.25	0.35365853658536583	0.5121951219512195
G2-23	0.38414634146341464	0.38414634146341464	0.38414634146341464	0.38414634146341464	0.38414634146341464	0.054878048780487805	0.06707317073170732	0.0	0.3170731707317073	0.2926829268292683	0.573170731707317
G2-24	0.6951219512195121	0.6951219512195121	0.6951219512195121	0.6951219512195121	0.6951219512195121	0.34146341463414637	0.25	0.3170731707317073	0.0	0.6036585365853658	0.2621951219512195
G2-25	0.32926829268292684	0.2865853658536585	0.29878048780487804	0.2865853658536585	0.3048780487804878	0.2621951219512195	0.35365853658536583	0.2926829268292683	0.6036585365853658	0.0	0.8048780487804879
G2-26	0.9573170731707317	0.9573170731707317	0.9573170731707317	0.9573170731707317	0.9573170731707317	0.5548780487804879	0.5121951219512195	0.573170731707317	0.2621951219512195	0.8048780487804879	0.0
