	G1-175	G1-176	G1-180	G1-181	G1-182	G2-21	G2-22	G2-23	G2-24	G2-25	G2-26
G1-175	0.0	0.4979188124526874	0.5522225063088676	0.5522225063088676	0.4358480342800727	0.5667077903394893	0.6132372065982401	0.6137991755634417	0.6132372065982401	0.4121360474569011	0.5446158920030303
G1-176	0.4979188124526874	0.0	0.21048967715281366	0.21048967715281366	0.17971454806525083	0.22791397164534674	0.3097302580025219	0.31162102302194866	0.3097302580025219	0.21612195633551654	0.43255653459665594
G1-180	0.5522225063088676	0.21048967715281366	0.0	0.0	0.3361315966419948	0.13843982804577162	0.2281500206070097	0.23051335463292497	0.2281500206070097	0.3612939021183464	0.37856147789932676
G1-181	0.5522225063088676	0.21048967715281366	0.0	0.0	0.3361315966419948	0.13843982804577162	0.2281500206070097	0.23051335463292497	0.2281500206070097	0.3612939021183464	0.37856147789932676
G1-182	0.4358480342800727	0.17971454806525083	0.3361315966419948	0.3361315966419948	0.0	0.34849481589089965	0.4191434031758199	0.42048285266439456	0.4191434031758199	0.3232912037802795	0.5086421014672834
G2-21	0.5667077903394893	0.22791397164534674	0.13843982804577162	0.13843982804577162	0.34849481589089965	0.0	0.13168228384652575	0.13444622591850325	0.13168228384652575	0.2700561638317426	0.2778714700379131
G2-22	0.6132372065982401	0.3097302580025219	0.2281500206070097	0.2281500206070097	0.4191434031758199	0.13168228384652575	0.0	0.003664055293655417	0.0	0.366176835258073	0.22469264292135813
G2-23	0.6137991755634417	0.31162102302194866	0.23051335463292497	0.23051335463292497	0.42048285266439456	0.13444622591850325	0.003664055293655417	0.0	0.003664055293655417	0.3676507803823826	0.22184142688222258
G2-24	0.6132372065982401	0.3097302580025219	0.2281500206070097	0.2281500206070097	0.4191434031758199	0.13168228384652575	0.0	0.003664055293655417	0.0	0.366176835258073	0.22469264292135813
G2-25	0.4121360474569011	0.21612195633551654	0.3612939021183464	0.3612939021183464	0.3232912037802795	0.2700561638317426	0.366176835258073	0.3676507803823826	0.366176835258073	0.0	0.2450086307176034
G2-26	0.5446158920030303	0.43255653459665594	0.37856147789932676	0.37856147789932676	0.5086421014672834	0.2778714700379131	0.22469264292135813	0.22184142688222258	0.22469264292135813	0.2450086307176034	0.0
