	G1-175	G1-176	G1-180	G1-181	G1-182	G2-21	G2-22	G2-23	G2-24	G2-25	G2-26
G1-175	0.0	0.08649822012392865	0.09203016617216352	0.03774176808640172	0.09093252190962496	0.09376305190034606	0.10717171329603863	0.09792800342825277	0.14515405162820333	0.08078213981952631	0.17361149811944798
G1-176	0.08649822012392865	0.0	0.006338526645225947	0.051168325317469385	0.006782360961795095	0.05980274345267727	0.07321140484836985	0.06396769498058401	0.11119374318053454	0.03605682061111974	0.14423573585269162
G1-180	0.09203016617216352	0.006338526645225947	0.0	0.054288398085761795	0.005610827068687281	0.057281358484625795	0.0706900198803184	0.061446310012532535	0.10867235821248307	0.04082231446924291	0.14171435088464016
G1-181	0.03774176808640172	0.051168325317469385	0.054288398085761795	0.0	0.057828812556964926	0.08004376373328974	0.09345242512898233	0.08420871526119648	0.13143476346114702	0.0566119567517722	0.16447675613330406
G1-182	0.09093252190962496	0.006782360961795095	0.005610827068687281	0.057828812556964926	0.0	0.05999716496506167	0.07340582636075425	0.06416211649296841	0.11138816469291894	0.03926705145756516	0.144430157365076
G2-21	0.09376305190034606	0.05980274345267727	0.057281358484625795	0.08004376373328974	0.05999716496506167	0.0	0.015504782436115328	0.006423656173212336	0.053487120768280015	0.05536850544522909	0.08526205063366289
G2-22	0.10717171329603863	0.07321140484836985	0.0706900198803184	0.09345242512898233	0.07340582636075425	0.015504782436115328	0.0	0.009284260172294468	0.03798233833216469	0.07087328788134441	0.07268244747161884
G2-23	0.09792800342825277	0.06396769498058401	0.061446310012532535	0.08420871526119648	0.06416211649296841	0.006423656173212336	0.009284260172294468	0.0	0.04726659850445916	0.061629578013558554	0.0819261573394047
G2-24	0.14515405162820333	0.11119374318053454	0.10867235821248307	0.13143476346114702	0.11138816469291894	0.053487120768280015	0.03798233833216469	0.04726659850445916	0.0	0.10885562621350911	0.03470010913945414
G2-25	0.08078213981952631	0.03605682061111974	0.04082231446924291	0.0566119567517722	0.03926705145756516	0.05536850544522909	0.07087328788134441	0.061629578013558554	0.10885562621350911	0.0	0.13469292146520098
G2-26	0.17361149811944798	0.14423573585269162	0.14171435088464016	0.16447675613330406	0.144430157365076	0.08526205063366289	0.07268244747161884	0.0819261573394047	0.03470010913945414	0.13469292146520098	0.0
