	G1-11	G1-110	G1-12	G1-13	G1-130	G1-135	G1-136	G1-138	G1-14	G1-157	G1-158	G1-159	G1-19	G1-193	G2-194	G2-41	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-42	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46
G1-11	0.0	0.48434504792332267	0.5105431309904154	0.32843450479233227	0.7456869009584665	0.7335463258785943	0.2939297124600639	0.7022364217252396	0.397444089456869	0.5418530351437699	0.6261980830670927	0.5284345047923322	0.5916932907348242	0.3706070287539936	0.1635782747603834	0.4095846645367412	0.6019169329073483	0.29968051118210864	0.5431309904153354	0.8306709265175719	0.38977635782747605	0.22172523961661342	0.34440894568690095	0.2402555910543131	0.17763578274760383	0.26964856230031947	0.27412140575079874	0.4095846645367412	0.42619808306709267	0.30990415335463256	0.40191693290734826	0.4779552715654952	0.2702875399361022
G1-110	0.48434504792332267	0.0	0.49776357827476037	0.7642172523961661	0.8900958466453675	0.6345047923322684	0.4670926517571885	0.6741214057507987	0.45431309904153355	0.32012779552715653	0.23706070287539935	0.07539936102236422	0.26070287539936104	0.46325878594249204	0.468370607028754	0.1476038338658147	0.5750798722044729	0.5552715654952076	0.665814696485623	0.668370607028754	0.6824281150159744	0.5156549520766773	0.23514376996805111	0.6057507987220447	0.5514376996805112	0.5712460063897764	0.5348242811501598	0.7060702875399361	0.08051118210862619	0.5961661341853035	0.19552715654952077	0.27731629392971247	0.26964856230031947
G1-12	0.5105431309904154	0.49776357827476037	0.0	0.7667731629392971	0.8907348242811501	0.8019169329073482	0.36996805111821085	0.873482428115016	0.6440894568690095	0.23578274760383386	0.6651757188498403	0.5514376996805112	0.6293929712460063	0.2856230031948882	0.47220447284345046	0.4364217252396166	0.7757188498402556	0.7079872204472843	0.6996805111821086	0.8472843450479233	0.6984025559105431	0.5680511182108626	0.40191693290734826	0.642811501597444	0.5801916932907348	0.6249201277955272	0.6306709265175718	0.7431309904153355	0.5041533546325878	0.6651757188498403	0.38338658146964855	0.6645367412140575	0.5712460063897764
G1-13	0.32843450479233227	0.7642172523961661	0.7667731629392971	0.0	0.5284345047923322	0.7111821086261981	0.5169329073482428	0.4964856230031949	0.4996805111821086	0.8198083067092652	0.8012779552715655	0.8083067092651757	0.7916932907348243	0.6773162939297125	0.4626198083067093	0.6824281150159744	0.6677316293929713	0.41405750798722046	0.5437699680511182	0.7463258785942491	0.3916932907348243	0.3648562300319489	0.6230031948881789	0.41661341853035144	0.41661341853035144	0.47028753993610223	0.46900958466453674	0.46773162939297125	0.7060702875399361	0.4715654952076677	0.681150159744409	0.607667731629393	0.4984025559105431
G1-130	0.7456869009584665	0.8900958466453675	0.8907348242811501	0.5284345047923322	0.0	0.850479233226837	0.7680511182108626	0.5431309904153354	0.7878594249201278	0.8900958466453675	0.8900958466453675	0.8900958466453675	0.8900958466453675	0.8415335463258786	0.8313099041533546	0.8843450479233227	0.8587859424920128	0.8402555910543131	0.8338658146964856	0.9028753993610223	0.8613418530351438	0.853035143769968	0.888817891373802	0.7853035143769969	0.7859424920127795	0.8402555910543131	0.8396166134185303	0.8523961661341853	0.8900958466453675	0.8408945686900958	0.8900958466453675	0.8843450479233227	0.8900958466453675
G1-135	0.7335463258785943	0.6345047923322684	0.8019169329073482	0.7111821086261981	0.850479233226837	0.0	0.6345047923322684	0.6204472843450479	0.5156549520766773	0.7303514376996805	0.6792332268370607	0.6345047923322684	0.6345047923322684	0.7827476038338658	0.7821086261980831	0.6907348242811502	0.663258785942492	0.6562300319488817	0.2702875399361022	0.2952076677316294	0.5584664536741214	0.5271565495207667	0.7463258785942491	0.7674121405750799	0.7738019169329073	0.7603833865814696	0.7488817891373802	0.7769968051118211	0.6792332268370607	0.7507987220447284	0.7514376996805112	0.7060702875399361	0.7648562300319489
G1-136	0.2939297124600639	0.4670926517571885	0.36996805111821085	0.5169329073482428	0.7680511182108626	0.6345047923322684	0.0	0.6837060702875399	0.40319488817891375	0.4070287539936102	0.6338658146964856	0.5220447284345048	0.6	0.2792332268370607	0.36869009584664536	0.3527156549520767	0.668370607028754	0.5054313099041533	0.518849840255591	0.736741214057508	0.5201277955271566	0.35527156549520766	0.32396166134185306	0.4830670926517572	0.42236421725239615	0.518849840255591	0.5220447284345048	0.642811501597444	0.42875399361022365	0.5552715654952076	0.3060702875399361	0.5878594249201278	0.4952076677316294
G1-138	0.7022364217252396	0.6741214057507987	0.873482428115016	0.4964856230031949	0.5431309904153354	0.6204472843450479	0.6837060702875399	0.0	0.40638977635782747	0.7936102236421725	0.7424920127795527	0.6932907348242812	0.4255591054313099	0.8178913738019169	0.807667731629393	0.7539936102236422	0.3706070287539936	0.726517571884984	0.7629392971246006	0.82555910543131	0.7769968051118211	0.7412140575079872	0.8095846645367412	0.7514376996805112	0.7559105431309904	0.7961661341853035	0.7853035143769969	0.8115015974440895	0.7424920127795527	0.7865814696485623	0.8146964856230032	0.7686900958466454	0.8281150159744409
G1-14	0.397444089456869	0.45431309904153355	0.6440894568690095	0.4996805111821086	0.7878594249201278	0.5156549520766773	0.40319488817891375	0.40638977635782747	0.0	0.6293929712460063	0.5597444089456869	0.5175718849840255	0.35079872204472845	0.5079872204472844	0.44345047923322684	0.45814696485623	0.3111821086261981	0.41022364217252394	0.4523961661341853	0.739297124600639	0.4370607028753994	0.34760383386581467	0.4536741214057508	0.40638977635782747	0.412779552715655	0.4306709265175719	0.4191693290734824	0.5507987220447285	0.4645367412140575	0.4370607028753994	0.5118210862619809	0.43130990415335463	0.47220447284345046
G1-157	0.5418530351437699	0.32012779552715653	0.23578274760383386	0.8198083067092652	0.8900958466453675	0.7303514376996805	0.4070287539936102	0.7936102236421725	0.6293929712460063	0.0	0.44920127795527154	0.33099041533546325	0.4255591054313099	0.31437699680511183	0.5092651757188499	0.26070287539936104	0.7514376996805112	0.6402555910543131	0.7233226837060703	0.7284345047923323	0.7399361022364217	0.5718849840255591	0.24472843450479234	0.663258785942492	0.607667731629393	0.6287539936102237	0.5916932907348242	0.7629392971246006	0.33099041533546325	0.6523961661341853	0.22939297124600638	0.49584664536741213	0.4319488817891374
G1-158	0.6261980830670927	0.23706070287539935	0.6651757188498403	0.8012779552715655	0.8900958466453675	0.6792332268370607	0.6338658146964856	0.7424920127795527	0.5597444089456869	0.44920127795527154	0.0	0.17763578274760383	0.3635782747603834	0.6293929712460063	0.6357827476038339	0.31437699680511183	0.6805111821086262	0.592332268370607	0.7035143769968051	0.6817891373801916	0.7201277955271566	0.6044728434504792	0.402555910543131	0.6434504792332268	0.6287539936102237	0.6089456869009585	0.5718849840255591	0.7431309904153355	0.22236421725239616	0.6332268370607029	0.3623003194888179	0.23578274760383386	0.3597444089456869
G1-159	0.5284345047923322	0.07539936102236422	0.5514376996805112	0.8083067092651757	0.8900958466453675	0.6345047923322684	0.5220447284345048	0.6932907348242812	0.5175718849840255	0.33099041533546325	0.17763578274760383	0.0	0.29456869009584663	0.5182108626198083	0.5175718849840255	0.202555910543131	0.6383386581469649	0.5993610223642173	0.7092651757188498	0.6888178913738019	0.721405750798722	0.5597444089456869	0.2900958466453674	0.6440894568690095	0.5955271565495208	0.6121405750798722	0.5789137380191693	0.7450479233226837	0.1073482428115016	0.6402555910543131	0.2504792332268371	0.2498402555910543	0.3124600638977636
G1-19	0.5916932907348242	0.26070287539936104	0.6293929712460063	0.7916932907348243	0.8900958466453675	0.6345047923322684	0.6	0.4255591054313099	0.35079872204472845	0.4255591054313099	0.3635782747603834	0.29456869009584663	0.0	0.5961661341853035	0.5993610223642173	0.34760383386581467	0.3539936102236422	0.5827476038338658	0.6926517571884984	0.6837060702875399	0.708626198083067	0.5706070287539936	0.397444089456869	0.6306709265175718	0.594888178913738	0.597444089456869	0.5623003194888179	0.7322683706070288	0.3271565495207668	0.6236421725239617	0.40191693290734826	0.4293929712460064	0.412779552715655
G1-193	0.3706070287539936	0.46325878594249204	0.2856230031948882	0.6773162939297125	0.8415335463258786	0.7827476038338658	0.2792332268370607	0.8178913738019169	0.5079872204472844	0.31437699680511183	0.6293929712460063	0.5182108626198083	0.5961661341853035	0.0	0.2670926517571885	0.32843450479233227	0.6300319488817892	0.5386581469648563	0.5827476038338658	0.8261980830670926	0.6095846645367412	0.4626198083067093	0.2888178913738019	0.4281150159744409	0.33738019169329075	0.44089456869009586	0.42236421725239615	0.602555910543131	0.4159744408945687	0.44217252396166135	0.26964856230031947	0.5527156549520766	0.45878594249201277
G2-194	0.1635782747603834	0.468370607028754	0.47220447284345046	0.4626198083067093	0.8313099041533546	0.7821086261980831	0.36869009584664536	0.807667731629393	0.44345047923322684	0.5092651757188499	0.6357827476038339	0.5175718849840255	0.5993610223642173	0.2670926517571885	0.0	0.3738019169329074	0.615335463258786	0.3015974440894569	0.5405750798722044	0.8261980830670926	0.36549520766773164	0.26198083067092653	0.31182108626198085	0.18274760383386582	0.12523961661341854	0.20319488817891374	0.19041533546325878	0.3648562300319489	0.4185303514376997	0.22044728434504793	0.3693290734824281	0.48242811501597443	0.2779552715654952
G2-41	0.4095846645367412	0.1476038338658147	0.4364217252396166	0.6824281150159744	0.8843450479233227	0.6907348242811502	0.3527156549520767	0.7539936102236422	0.45814696485623	0.26070287539936104	0.31437699680511183	0.202555910543131	0.34760383386581467	0.32843450479233227	0.3738019169329074	0.0	0.5853035143769968	0.47028753993610223	0.5853035143769968	0.6626198083067093	0.6019169329073483	0.4338658146964856	0.09904153354632587	0.526517571884984	0.4741214057507987	0.4964856230031949	0.45878594249201277	0.6255591054313099	0.10031948881789138	0.5175718849840255	0.06645367412140575	0.25878594249201275	0.21725239616613418
