	shannon
G1-11	2.136502865767499
G1-110	1.9229340406181417
G1-12	0.7406419798077402
G1-13	2.0936413579780377
G1-130	1.079782574232778
G1-135	1.8055591141192124
G1-136	2.321325317706857
G1-138	2.0074814933719964
G1-14	2.3681682550078995
G1-157	1.3640870405060248
G1-158	1.6905190507984433
G1-159	1.8893675027470904
G1-19	1.9116258279477114
G1-193	1.8298141511823844
G2-194	1.9257201410291311
G2-41	1.9538133848981194
G2-413	1.5757064647907781
G2-414	2.2442471854567936
G2-415	1.9210414268119795
G2-416	1.5313393024694602
G3-417	1.6762387361299955
G3-418	2.0598113368992896
G3-42	1.7964154797540255
G3-425	2.087279049505837
G3-426	2.0581466617068958
G3-427	1.7448887911269733
G3-428	1.9314647924564108
G3-429	1.2329959713782899
G3-43	1.978230645916362
G3-430	1.7959463066183543
G3-44	1.75008697594119
G3-45	2.1758663424290736
G3-46	1.8291161179073308
