	G1-11	G1-110	G1-12	G1-13	G1-130	G1-135	G1-136	G1-138	G1-14	G1-157	G1-158	G1-159	G1-19	G1-193	G2-194	G2-41	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-42	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46
G1-11	0.0	0.368713192111989	0.005345095433952665	0.20227937217016603	0.08432544775167292	0.19647825409872494	0.17681322408084799	0.08432544775167292	0.19647825409872494	0.18602082287685845	0.09611921215285797	0.43700888502175167	0.6408220569861403	0.04212225954124449	0.13774897619506615	0.17512008532611914	0.005417990597889559	0.11267798912326815	0.23321630163821544	0.06790279199925242	0.06086285329467033	0.0572941567550104	0.20087185506976604	0.27046175901103003	0.052428000324716395	0.289297484402714	0.052428000324716395	0.0905813118241194	0.2656450737983759	0.052428000324716395	0.11676246433713855	0.31660634732920134	0.24667290761067268
G1-110	0.368713192111989	0.0	0.3664353588991464	0.4641764622704093	0.4076214645092744	0.46329896613541155	0.44840476359221176	0.4076214645092744	0.46329896613541155	0.42252070414980564	0.35873981108054714	0.3719164781094105	0.6821042802438508	0.38239902686779725	0.42590287870436055	0.3995387854836109	0.371017876585515	0.37672110474977455	0.47592753758826184	0.3938542759711698	0.3915613543863775	0.39350657327030053	0.4133013687745275	0.49120910662451367	0.3913640271692166	0.5044063779508534	0.3913640271692166	0.4040952773088832	0.44898364910626637	0.3913640271692166	0.3691994285554372	0.5120760692331717	0.4383705634399227
G1-12	0.005345095433952665	0.3664353588991464	0.0	0.2027292091094737	0.08939031052047866	0.20089808589037625	0.18121323595810365	0.08939031052047866	0.20089808589037625	0.181808999707846	0.09144220547839377	0.4351979532909279	0.6400858280504574	0.04726998564371751	0.14238279522503855	0.1712266696626312	0.010734126355036245	0.11767423007588643	0.23731483368315834	0.07291197106773113	0.056082038353922094	0.06233300945329969	0.19721827880219045	0.2743823669208585	0.05749286309352215	0.2930962571737317	0.05749286309352215	0.0954686143695963	0.26256091707493423	0.05749286309352215	0.11229717717144551	0.31407358725722523	0.24342698088590023
G1-13	0.20227937217016603	0.4641764622704093	0.2027292091094737	0.0	0.1411925690646622	0.006841375287807243	0.02546614808931805	0.1411925690646622	0.006841375287807243	0.30846778950835185	0.27205283341651587	0.5156010462704176	0.6494359136777893	0.23099275459342591	0.29571275195518276	0.2541205111405937	0.1977950579858404	0.1999612062193229	0.27601330216541164	0.16919868492447665	0.16001703583887636	0.15224914002923018	0.27466344336043746	0.33083831765741334	0.15673345421355583	0.3127535392012931	0.15673345421355583	0.1868403681874281	0.3459910623454996	0.15673345421355583	0.28591152004287107	0.19969923163903755	0.3756617685928675
G1-130	0.08432544775167292	0.4076214645092744	0.08939031052047866	0.1411925690646622	0.0	0.13497086419880794	0.15897766155521822	0.0	0.13497086419880794	0.2026585026465997	0.16356473894826423	0.46984414024765103	0.6382895140088207	0.11204529460279325	0.19701336621742682	0.14729052372702403	0.08902779819259636	0.09242559654129304	0.21660279545003	0.03767433019568666	0.04033230039691045	0.03686903635423773	0.1740339763502062	0.2476334417441952	0.03189744742695652	0.3392053287605645	0.03189744742695652	0.061204426011882536	0.2637062739561213	0.03189744742695652	0.18181027148141635	0.29844034182374385	0.2975158404084897
G1-135	0.19647825409872494	0.46329896613541155	0.20089808589037625	0.006841375287807243	0.13497086419880794	0.0	0.027752588164761782	0.13497086419880794	0.0	0.30689264271514205	0.2704323057580689	0.5148840122245961	0.6490835080864148	0.22549526882291052	0.29093848328892147	0.25251676860953187	0.2000814980612841	0.20223074400451996	0.2714130509148308	0.16330571986693587	0.15808781388957638	0.15453558010467391	0.2731469143149377	0.3266763067544004	0.1507271739243405	0.3085619363807617	0.1507271739243405	0.1811501090738005	0.3447369824119645	0.1507271739243405	0.28435217445480254	0.19816928980686396	0.3744700903699214
G1-136	0.17681322408084799	0.44840476359221176	0.18121323595810365	0.02546614808931805	0.15897766155521822	0.027752588164761782	0.0	0.15897766155521822	0.027752588164761782	0.32553963204189673	0.2510474642407019	0.5012678959125956	0.6395640357049406	0.20630577360463354	0.2731034384448284	0.23386638429874346	0.17232890989652233	0.17468331420156905	0.25457710512836923	0.14397611426511495	0.13859493866727182	0.12678299193991213	0.254924918225397	0.3105230178268047	0.1312673061242378	0.29260746281911587	0.1312673061242378	0.16215338719863576	0.32775118012840615	0.1312673061242378	0.26527624932920413	0.1817823208966616	0.35745124507574655
G1-138	0.08432544775167292	0.4076214645092744	0.08939031052047866	0.1411925690646622	0.0	0.13497086419880794	0.15897766155521822	0.0	0.13497086419880794	0.2026585026465997	0.16356473894826423	0.46984414024765103	0.6382895140088207	0.11204529460279325	0.19701336621742682	0.14729052372702403	0.08902779819259636	0.09242559654129304	0.21660279545003	0.03767433019568666	0.04033230039691045	0.03686903635423773	0.1740339763502062	0.2476334417441952	0.03189744742695652	0.3392053287605645	0.03189744742695652	0.061204426011882536	0.2637062739561213	0.03189744742695652	0.18181027148141635	0.29844034182374385	0.2975158404084897
G1-14	0.19647825409872494	0.46329896613541155	0.20089808589037625	0.006841375287807243	0.13497086419880794	0.0	0.027752588164761782	0.13497086419880794	0.0	0.30689264271514205	0.2704323057580689	0.5148840122245961	0.6490835080864148	0.22549526882291052	0.29093848328892147	0.25251676860953187	0.2000814980612841	0.20223074400451996	0.2714130509148308	0.16330571986693587	0.15808781388957638	0.15453558010467391	0.2731469143149377	0.3266763067544004	0.1507271739243405	0.3085619363807617	0.1507271739243405	0.1811501090738005	0.3447369824119645	0.1507271739243405	0.28435217445480254	0.19816928980686396	0.3744700903699214
G1-157	0.18602082287685845	0.42252070414980564	0.181808999707846	0.30846778950835185	0.2026585026465997	0.30689264271514205	0.32553963204189673	0.2026585026465997	0.30689264271514205	0.0	0.09555806501682955	0.48587396018082113	0.6736587691240117	0.14465030296843642	0.2876278452385851	0.2417548670888861	0.19026895879679032	0.2007242303841582	0.3704324615840686	0.23165077865640074	0.22667240587868237	0.2310302373454951	0.26590177848887414	0.3946850912983769	0.22720004422768617	0.41525648667068976	0.22720004422768617	0.18813702451449346	0.32650035762065377	0.22720004422768617	0.18691819817480881	0.42705630373009423	0.3087713560856294
