	G1-11	G1-110	G1-12	G1-13	G1-130	G1-135	G1-136	G1-138	G1-14	G1-157	G1-158	G1-159	G1-19	G1-193	G2-194	G2-41	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-42	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46
G1-11	0.0	0.05367314153697349	0.14755336590604448	0.08825664532991394	0.24482022562516678	0.17276914755896103	0.07576111922409634	0.15420486910512682	0.09169486850488275	0.11867241058895625	0.05854234710812608	0.044675049729322534	0.110813162019314	0.11663487978934539	0.03258771399177788	0.045891185478653465	0.12289744658314442	0.07022751699827269	0.12697978059035853	0.14778042026963442	0.07385426131424515	0.04912232101252913	0.03608083167407575	0.03742742737409623	0.017219455722034812	0.06002695252416387	0.05174954909880624	0.11842348289302326	0.03696063718938463	0.058522609077221115	0.04102590401960836	0.07242858779976366	0.06621307597623736
G1-110	0.05367314153697349	0.0	0.10510526273065172	0.1414772416004203	0.28012610566885954	0.14956791010758727	0.05633477454491059	0.13888203877570968	0.05366199268334321	0.07154792110809126	0.07059971127825361	0.011039549404953495	0.0597619509221803	0.0739293807022474	0.02400873783695473	0.009570630126330344	0.07326068130927725	0.08617068306556536	0.11189098393305691	0.12915881147914154	0.09402670290845855	0.042125298948389435	0.018514217198857034	0.07732955494799881	0.0477064961611957	0.08064956477143805	0.07073057046735713	0.13902188601777124	0.028409287820948287	0.07659041926293943	0.0136035768395211	0.09284393708766102	0.08212418582679532
G1-12	0.14755336590604448	0.10510526273065172	0.0	0.23458241228571974	0.26308135087444423	0.09999249316066688	0.0867956060973039	0.11591843397238925	0.08063115746326999	0.03417893714803323	0.1722704825040052	0.11365325423484791	0.06171180212139037	0.03241531032786363	0.11698586485674839	0.10979410044125149	0.04861254762793049	0.18493970991469302	0.1314678371476183	0.15327517912467148	0.18794540145263477	0.13845468300764904	0.11636054664650176	0.17127532784678892	0.14125818877145024	0.1750105334912177	0.16591330769408189	0.23301893576915206	0.12904705653141868	0.17252577569843092	0.11157876329165907	0.19171620871404982	0.1798646061821266
G1-13	0.08825664532991394	0.1414772416004203	0.23458241228571974	0.0	0.17637547909789175	0.22856490793877907	0.15181966671936967	0.16837901983166462	0.16697846415484155	0.20646191367906436	0.12751731269130026	0.13240674052592988	0.19782055268520035	0.2043232398168042	0.12053098239195656	0.1329371386741379	0.20932344764733266	0.12598216646264468	0.16354484324047852	0.16957163379573864	0.10529033358544417	0.11431975964463992	0.12382939809746864	0.10014644609474184	0.10078559050347641	0.12188307416620196	0.12231358831507845	0.1277549870571068	0.12046035941333064	0.12381664039624557	0.12890490069282165	0.11919304549816857	0.12574417926210593
G1-130	0.24482022562516678	0.28012610566885954	0.26308135087444423	0.17637547909789175	0.0	0.25200567186171646	0.24664509365223292	0.16899787896639962	0.2579920227524217	0.2704116862971903	0.28773303467819344	0.27954212731494477	0.27847619231915355	0.26750042772469496	0.2717300739964677	0.2786045371418698	0.2772726992596672	0.2867053985270377	0.253697010375216	0.27063764969083115	0.2731136231883189	0.27083352652506026	0.2789532109747001	0.26007453433087757	0.2607222212250966	0.2819779652812428	0.28226730400766753	0.287180647353732	0.2806760842564537	0.2837532711178658	0.27893679743163735	0.27966151897254454	0.285959910335261
G1-135	0.17276914755896103	0.14956791010758727	0.09999249316066688	0.22856490793877907	0.25200567186171646	0.0	0.11913691385280403	0.13755899322490442	0.11331273657978973	0.1159825831039376	0.18567170992111726	0.15377315657582455	0.1283952554589849	0.11615413097366879	0.15905732499864686	0.15231029614559796	0.12138997105937378	0.1904132062012548	0.0667397549874983	0.07918838396391742	0.1648409802695183	0.12510722719964226	0.15812162774698132	0.18477739538920426	0.170522740060853	0.18813001053083228	0.1832100872598095	0.2381500478583974	0.16256879657087897	0.18640885072031205	0.15624857174646137	0.19426212952303862	0.19136061311996727
G1-136	0.07576111922409634	0.05633477454491059	0.0867956060973039	0.15181966671936967	0.24664509365223292	0.11913691385280403	0.0	0.09909174881519998	0.018391305791888565	0.057936115294702266	0.11969605834379866	0.0609233109226327	0.05091078373127852	0.05595788506920782	0.05996161390929986	0.05661537390843767	0.06314240011837191	0.1300934864812293	0.07388458998230583	0.0946860027184628	0.12127795786986083	0.07172744106319276	0.0636556891374337	0.10051115968930763	0.07136991428249195	0.12115616962128167	0.11289614879162144	0.17870978813399677	0.076483769429052	0.11936169641642518	0.05900433717618102	0.1324547262218487	0.1274115383293409
G1-138	0.15420486910512682	0.13888203877570968	0.11591843397238925	0.16837901983166462	0.16899787896639962	0.13755899322490442	0.09909174881519998	0.0	0.09401245335742994	0.12060588495841015	0.20748892024798257	0.1478296895065375	0.1160141987035681	0.11988013780634371	0.15284056177751973	0.14596785563098275	0.11404630722594931	0.21967591086663113	0.16410583204093887	0.18784312277920245	0.21611505628786093	0.1669563997501641	0.15528188276398006	0.189794575045735	0.16378461305420147	0.2126974194261657	0.2040681839875116	0.2693142614465496	0.16506887855421784	0.21040164329910652	0.15089014635875617	0.22152780140577724	0.218497996563206
G1-14	0.09169486850488275	0.05366199268334321	0.08063115746326999	0.16697846415484155	0.2579920227524217	0.11331273657978973	0.018391305791888565	0.09401245335742994	0.0	0.05000180039092776	0.12237148120472996	0.06260964473685468	0.032747197430904575	0.04970590697048088	0.06757858423241253	0.060760966489452714	0.04483830334635194	0.13451996719087345	0.07253913870114294	0.0960077453981344	0.12787424623459828	0.07808366053142077	0.07007499175663537	0.11463709422240413	0.08564965222723185	0.12726863900215354	0.11878057898595103	0.18482722955224815	0.07986198996859836	0.12513112342186958	0.0656832570255329	0.13646428598789437	0.13329110539611688
G1-157	0.11867241058895625	0.07154792110809126	0.03417893714803323	0.20646191367906436	0.2704116862971903	0.1159825831039376	0.057936115294702266	0.12060588495841015	0.05000180039092776	0.0	0.13843412576162475	0.08127726502927249	0.028820667855885003	0.004221943572668811	0.08834354492930092	0.07584715112372742	0.01639148246640126	0.15196753912439215	0.10301489590154925	0.12402964645953068	0.15913245611060392	0.10696798739080718	0.08334943619169523	0.14243530815014427	0.1124246001597801	0.14576847722473937	0.1357915768779501	0.20406694318009325	0.0965227174241394	0.14160667888197997	0.07852819824819815	0.15990229293847172	0.14815608337323644
