	G1-11	G1-110	G1-12	G1-130	G1-157	G1-158	G1-159	G1-19	G1-193	G2-194	G2-41	G3-42	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46
G1-11	0.0	0.38919648388671435	0.3064077257639941	0.32615386103227656	0.28248765851020424	0.3192765938480087	0.40760158642354327	0.46501477055261947	0.34617330882308367	0.3967290713599968	0.38112473726265567	0.319587519930021	0.42906697797268395	0.30268048641592976	0.40390960000957876	0.27469696346064293	0.36434483194046124	0.42813171093177005	0.31353543071724865	0.36146850574838285	0.41659852076094744	0.44497066605473823
G1-110	0.38919648388671435	0.0	0.2565819334077236	0.2789424149853453	0.21901625023015495	0.18460035661980193	0.30815965673276074	0.4861657694265534	0.22127358207330616	0.464303125473749	0.2717747816211477	0.26499544495605903	0.4023639025923123	0.25971619783522065	0.3790043024149019	0.22593495777741338	0.32626645662817566	0.3359988346441754	0.2723462759484749	0.2444051131406353	0.3820035375413461	0.3585934735004622
G1-12	0.3064077257639941	0.2565819334077236	0.0	0.03696231019576227	0.05783421181248458	0.10614177985675494	0.25248922202509394	0.47466808183763864	0.2087306710325592	0.40393433952781743	0.12236867322505537	0.023595920153572307	0.23379891142517542	0.005064862768805754	0.2654996819481337	0.05749286309352215	0.11920271809339625	0.23252185080439808	0.022797301744099434	0.17750555420815448	0.2072311093740131	0.31102277705758635
G1-130	0.32615386103227656	0.2789424149853453	0.03696231019576227	0.0	0.08471016896603956	0.13302008839391286	0.2749726423315555	0.490475033074152	0.22371366516408642	0.41584577703059544	0.14729052372702403	0.049971616558764996	0.2476334417441952	0.03189744742695652	0.2864104434626335	0.08432544775167292	0.13459205012710837	0.2546867624601643	0.03435630146440976	0.20224105489675714	0.2287081851981612	0.3317477714609851
G1-157	0.28248765851020424	0.21901625023015495	0.05783421181248458	0.08471016896603956	0.0	0.051272895545487474	0.21449821384974047	0.45618382068886604	0.16833544763507824	0.38129654384712125	0.1672585671342032	0.07062547851210296	0.27149889120882387	0.06260615223511806	0.23836611911039707	0.010741296612700185	0.162043229964048	0.25019092605118454	0.07975442213587541	0.13127473277796106	0.2426429704779008	0.27887649901439127
G1-158	0.3192765938480087	0.18460035661980193	0.10614177985675494	0.13302008839391286	0.051272895545487474	0.0	0.1796740947658386	0.43971714261462896	0.21097729735736948	0.4130192615280799	0.128015260503963	0.11827720127498932	0.3088512524646456	0.11066904907654944	0.27741729352915395	0.061463454778941586	0.20500769990573542	0.21852347071101166	0.12732937617609738	0.0884794962191335	0.28147485834322805	0.24963295963485768
G1-159	0.40760158642354327	0.30815965673276074	0.25248922202509394	0.2749726423315555	0.21449821384974047	0.1796740947658386	0.0	0.5009582775140343	0.32724189135715726	0.3476135940854538	0.2678480839304706	0.2609950957860296	0.2368246346015044	0.25565801779190894	0.3761511265889688	0.22149684451797194	0.14841405968760518	0.3154298481092528	0.2683912834741953	0.24017684927788296	0.3791779179415767	0.25428399146405606
G1-19	0.46501477055261947	0.4861657694265534	0.47466808183763864	0.490475033074152	0.45618382068886604	0.43971714261462896	0.5009582775140343	0.0	0.4965426086642215	0.29894910474292474	0.48230032250187027	0.4788833276921368	0.5319363203064247	0.47623510152862486	0.538902219371678	0.45954750455537574	0.5104486392613901	0.51560754495828	0.48389330026433397	0.4435074793953895	0.5199137122948427	0.5063289548529492
G1-193	0.34617330882308367	0.22127358207330616	0.2087306710325592	0.22371366516408642	0.16833544763507824	0.21097729735736948	0.32724189135715726	0.4965426086642215	0.0	0.4273677731400664	0.2928862954383287	0.21777242973237856	0.3594878355492301	0.2044553383386857	0.33415755950074005	0.1676180032125026	0.2768880145670478	0.35359578576747747	0.21773589534733773	0.26710862436849125	0.3433102405927913	0.37502804226396835
G2-194	0.3967290713599968	0.464303125473749	0.40393433952781743	0.41584577703059544	0.38129654384712125	0.4130192615280799	0.3476135940854538	0.29894910474292474	0.4273677731400664	0.0	0.4515221602718608	0.40043541724608817	0.3733910080381746	0.40071371803698125	0.47739960489449257	0.38004588993167904	0.31979381278066277	0.4957802802004443	0.40946758166784725	0.4446608543234928	0.4836482818775176	0.43995815884200973
