	G1-11	G1-110	G1-12	G1-130	G1-157	G1-158	G1-159	G1-19	G1-193	G2-194	G2-41	G3-42	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46
G1-11	0.0	0.05866582331505649	0.14261372771726533	0.2338703260317905	0.12410116546543339	0.07341915677431217	0.0452534185603988	0.10582269249579672	0.11900133239461753	0.036067911383648225	0.04230608711306798	0.03944710954004701	0.04262932045732597	0.025132734174525002	0.060993164456976286	0.05538644960021727	0.12057521191877116	0.0420904776185174	0.06333391439763834	0.039988452591801026	0.09059861052233424	0.07947970341157133
G1-110	0.05866582331505649	0.0	0.09447048522375703	0.27259869755201127	0.07085004912188124	0.08623005494093744	0.014941839634276389	0.04898407385152367	0.06962856770195394	0.037478986808461914	0.0186400924337733	0.022987833627216903	0.08810996813212259	0.06015390090943429	0.08114804120473491	0.07493438423976609	0.14137658360377534	0.03379513890930862	0.08174842227831575	0.022964328276959163	0.11006705733511767	0.09575023107312518
G1-12	0.14261372771726533	0.09447048522375703	0.0	0.2566908333144167	0.023778192127578233	0.17777014289930784	0.1077888288526556	0.058806298361217355	0.026203725550263547	0.12064598163099553	0.10715849518170417	0.11004863322741512	0.17215685107310214	0.14404302741981306	0.16590279323223384	0.16024492554537612	0.22565730792744756	0.12469606441366257	0.1678639138610122	0.1112948700693703	0.19870149607430845	0.18381199036372636
G1-130	0.2338703260317905	0.27259869755201127	0.2566908333144167	0.0	0.26263344630664887	0.28240104029887697	0.2734727668985915	0.27132523311402307	0.26121390352247487	0.26842154470221785	0.27012117750845094	0.2718627572743982	0.2487681687835603	0.25718428369155183	0.2755849813233223	0.2753727235576599	0.2832686981320006	0.27422590583416984	0.27758333660608164	0.27247880686266907	0.27665221366227066	0.28041264553245693
G1-157	0.12410116546543339	0.07085004912188124	0.023778192127578233	0.26263344630664887	0.0	0.15403669838756318	0.0849488829723494	0.035657265746550634	0.007145347111098356	0.10241598294438319	0.08480344436250495	0.08824048714075067	0.1534453147025362	0.12539975389674307	0.14649654702630452	0.14013549043552245	0.206711930174189	0.10202240655030889	0.1469260144524199	0.08884584001221377	0.17668232523589955	0.16243586481505778
G1-158	0.07341915677431217	0.08623005494093744	0.17777014289930784	0.28240104029887697	0.15403669838756318	0.0	0.07255963568572699	0.1340672133039462	0.1530422812861592	0.0626227926268727	0.072357259099478	0.0677672551703346	0.03668679940267019	0.0495315866057835	0.01367690008655882	0.018487848146722406	0.05791665626300478	0.05430497384193437	0.010758109848287714	0.06674157103928033	0.0256631801189871	0.012665407699927387
G1-159	0.0452534185603988	0.014941839634276389	0.1077888288526556	0.2734727668985915	0.0849488829723494	0.07255963568572699	0.0	0.06288266575039304	0.08355132298607834	0.023657472537707086	0.0049472547419183955	0.010137965089925267	0.07399678652357132	0.04665427867283301	0.067276690718663	0.06126012799689767	0.12728528255575897	0.019783543574784485	0.06880991080731749	0.009924184256758327	0.09546379986994533	0.08221711589260314
G1-19	0.10582269249579672	0.04898407385152367	0.058806298361217355	0.27132523311402307	0.035657265746550634	0.1340672133039462	0.06288266575039304	0.0	0.034159709586067115	0.08337570251426234	0.06627714661855273	0.07068140219719866	0.13467468336069083	0.10748991151635008	0.12784654605174367	0.12184445776679707	0.18776491692356526	0.0817146688790987	0.12903830026726396	0.07083914021318992	0.15728477561869725	0.1429915435228709
G1-193	0.11900133239461753	0.06962856770195394	0.026203725550263547	0.26121390352247487	0.007145347111098356	0.1530422812861592	0.08355132298607834	0.034159709586067115	0.0	0.0964824570378746	0.08338820558081717	0.08549785205671573	0.14820813966589894	0.11970219499223463	0.14184517956876627	0.13590554950652012	0.20186543867384465	0.10062484299854266	0.14254266513068975	0.08667548593602274	0.1750403554560021	0.15917944697922287
G2-194	0.036067911383648225	0.037478986808461914	0.12064598163099553	0.26842154470221785	0.10241598294438319	0.0626227926268727	0.023657472537707086	0.08337570251426234	0.0964824570378746	0.0	0.020314798761215964	0.014823617487630074	0.05356180770414088	0.025858208155794125	0.049752787599898866	0.0441882358594236	0.10918361623983791	0.009562902402818133	0.052123168171083784	0.014861965567882574	0.08149279740947347	0.06845520567784913
