	G1-11	G1-110	G1-12	G1-157	G1-158	G1-159	G1-19	G1-193	G2-194	G2-41	G3-42	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46
G1-11	0.0	0.48562300319488816	0.5111821086261981	0.5380191693290735	0.6370607028753994	0.5194888178913738	0.5827476038338658	0.3782747603833866	0.15207667731629393	0.3840255591054313	0.3424920127795527	0.22939297124600638	0.2	0.24728434504792332	0.263258785942492	0.4095846645367412	0.41214057507987223	0.29968051118210864	0.3623003194888179	0.48562300319488816	0.28115015974440893
G1-110	0.48562300319488816	0.0	0.5252396166134186	0.33993610223642173	0.22236421725239616	0.0670926517571885	0.2389776357827476	0.5086261980830671	0.49329073482428115	0.18466453674121405	0.26773162939297124	0.6057507987220447	0.576996805111821	0.5392971246006389	0.5246006389776358	0.6900958466453674	0.09329073482428114	0.5916932907348242	0.22108626198083067	0.23514376996805111	0.2670926517571885
G1-12	0.5111821086261981	0.5252396166134186	0.0	0.2415335463258786	0.6747603833865815	0.5533546325878594	0.6217252396166134	0.26773162939297124	0.49776357827476037	0.45303514376996806	0.3987220447284345	0.6568690095846645	0.6115015974440895	0.6140575079872205	0.6306709265175718	0.7501597444089457	0.5047923322683706	0.6651757188498403	0.42619808306709267	0.6715654952076677	0.5833865814696486
G1-157	0.5380191693290735	0.33993610223642173	0.2415335463258786	0.0	0.4575079872204473	0.32971246006389776	0.40191693290734826	0.31054313099041536	0.5258785942492012	0.2670926517571885	0.2485623003194888	0.6626198083067093	0.6345047923322684	0.5961661341853035	0.582108626198083	0.746964856230032	0.31884984025559104	0.6498402555910543	0.265814696485623	0.4881789137380192	0.4485623003194888
G1-158	0.6370607028753994	0.22236421725239616	0.6747603833865815	0.4575079872204473	0.0	0.17763578274760383	0.3635782747603834	0.6587859424920128	0.6447284345047923	0.33610223642172526	0.4191693290734824	0.6402555910543131	0.6376996805111821	0.5980830670926518	0.5674121405750798	0.7252396166134185	0.2453674121405751	0.6255591054313099	0.3718849840255591	0.2242811501597444	0.35910543130990413
G1-159	0.5194888178913738	0.0670926517571885	0.5533546325878594	0.32971246006389776	0.17763578274760383	0.0	0.26517571884984026	0.5386581469648563	0.5207667731629393	0.21022364217252396	0.29840255591054315	0.6389776357827476	0.6172523961661341	0.5744408945686901	0.5648562300319488	0.729073482428115	0.1220447284345048	0.6319488817891373	0.25175718849840256	0.22364217252396165	0.30670926517571884
G1-19	0.5827476038338658	0.2389776357827476	0.6217252396166134	0.40191693290734826	0.3635782747603834	0.26517571884984026	0.0	0.607667731629393	0.5904153354632588	0.334185303514377	0.3840255591054313	0.6376996805111821	0.6134185303514377	0.5718849840255591	0.5610223642172524	0.7252396166134185	0.3156549520766773	0.6281150159744409	0.3738019169329074	0.40638977635782747	0.3987220447284345
G1-193	0.3782747603833866	0.5086261980830671	0.26773162939297124	0.31054313099041536	0.6587859424920128	0.5386581469648563	0.607667731629393	0.0	0.28945686900958467	0.3527156549520767	0.2977635782747604	0.4575079872204473	0.3744408945686901	0.45303514376996806	0.4191693290734824	0.6255591054313099	0.42108626198083066	0.4645367412140575	0.3246006389776358	0.5706070287539936	0.48115015974440895
G2-194	0.15207667731629393	0.49329073482428115	0.49776357827476037	0.5258785942492012	0.6447284345047923	0.5207667731629393	0.5904153354632588	0.28945686900958467	0.0	0.3693290734824281	0.3303514376996805	0.18466453674121405	0.13099041533546327	0.18594249201277954	0.16038338658146964	0.3597444089456869	0.4038338658146965	0.20702875399361023	0.3501597444089457	0.49329073482428115	0.2881789137380192
G2-41	0.3840255591054313	0.18466453674121405	0.45303514376996806	0.2670926517571885	0.33610223642172526	0.21022364217252396	0.334185303514377	0.3527156549520767	0.3693290734824281	0.0	0.10159744408945687	0.5022364217252396	0.4837060702875399	0.44089456869009586	0.43130990415335463	0.5929712460063897	0.09520766773162939	0.4964856230031949	0.05559105431309904	0.23514376996805111	0.2108626198083067
G3-42	0.3424920127795527	0.26773162939297124	0.3987220447284345	0.2485623003194888	0.4191693290734824	0.29840255591054315	0.3840255591054313	0.2977635782747604	0.3303514376996805	0.10159744408945687	0.0	0.4670926517571885	0.43769968051118213	0.40063897763578277	0.38849840255591056	0.5514376996805112	0.1801916932907348	0.45303514376996806	0.04792332268370607	0.2766773162939297	0.20191693290734825
G3-425	0.22939297124600638	0.6057507987220447	0.6568690095846645	0.6626198083067093	0.6402555910543131	0.6389776357827476	0.6376996805111821	0.4575079872204473	0.18466453674121405	0.5022364217252396	0.4670926517571885	0.0	0.08690095846645367	0.10990415335463259	0.10670926517571885	0.2504792332268371	0.536741214057508	0.08817891373801917	0.4862619808306709	0.45878594249201277	0.34185303514376997
G3-426	0.2	0.576996805111821	0.6115015974440895	0.6345047923322684	0.6376996805111821	0.6172523961661341	0.6134185303514377	0.3744408945686901	0.13099041533546327	0.4837060702875399	0.43769968051118213	0.08690095846645367	0.0	0.13993610223642172	0.1047923322683706	0.31437699680511183	0.5099041533546326	0.15399361022364216	0.4575079872204473	0.4881789137380192	0.3137380191693291
G3-427	0.24728434504792332	0.5392971246006389	0.6140575079872205	0.5961661341853035	0.5980830670926518	0.5744408945686901	0.5718849840255591	0.45303514376996806	0.18594249201277954	0.44089456869009586	0.40063897763578277	0.10990415335463259	0.13993610223642172	0.0	0.0817891373801917	0.2012779552715655	0.47028753993610223	0.06900958466453674	0.4204472843450479	0.44089456869009586	0.2766773162939297
G3-428	0.263258785942492	0.5246006389776358	0.6306709265175718	0.582108626198083	0.5674121405750798	0.5648562300319488	0.5610223642172524	0.4191693290734824	0.16038338658146964	0.43130990415335463	0.38849840255591056	0.10670926517571885	0.1047923322683706	0.0817891373801917	0.0	0.25814696485623	0.4575079872204473	0.09776357827476038	0.40447284345047924	0.4185303514376997	0.27859424920127795
G3-429	0.4095846645367412	0.6900958466453674	0.7501597444089457	0.746964856230032	0.7252396166134185	0.729073482428115	0.7252396166134185	0.6255591054313099	0.3597444089456869	0.5929712460063897	0.5514376996805112	0.2504792332268371	0.31437699680511183	0.2012779552715655	0.25814696485623	0.0	0.6217252396166134	0.18274760383386582	0.5712460063897764	0.5418530351437699	0.42747603833865816
G3-43	0.41214057507987223	0.09329073482428114	0.5047923322683706	0.31884984025559104	0.2453674121405751	0.1220447284345048	0.3156549520766773	0.42108626198083066	0.4038338658146965	0.09520766773162939	0.1801916932907348	0.536741214057508	0.5099041533546326	0.47028753993610223	0.4575079872204473	0.6217252396166134	0.0	0.5246006389776358	0.13354632587859425	0.17955271565495207	0.2
G3-430	0.29968051118210864	0.5916932907348242	0.6651757188498403	0.6498402555910543	0.6255591054313099	0.6319488817891373	0.6281150159744409	0.4645367412140575	0.20702875399361023	0.4964856230031949	0.45303514376996806	0.08817891373801917	0.15399361022364216	0.06900958466453674	0.09776357827476038	0.18274760383386582	0.5246006389776358	0.0	0.4715654952076677	0.4594249201277955	0.32971246006389776
G3-44	0.3623003194888179	0.22108626198083067	0.42619808306709267	0.265814696485623	0.3718849840255591	0.25175718849840256	0.3738019169329074	0.3246006389776358	0.3501597444089457	0.05559105431309904	0.04792332268370607	0.4862619808306709	0.4575079872204473	0.4204472843450479	0.40447284345047924	0.5712460063897764	0.13354632587859425	0.4715654952076677	0.0	0.2498402555910543	0.18338658146964856
G3-45	0.48562300319488816	0.23514376996805111	0.6715654952076677	0.4881789137380192	0.2242811501597444	0.22364217252396165	0.40638977635782747	0.5706070287539936	0.49329073482428115	0.23514376996805111	0.2766773162939297	0.45878594249201277	0.4881789137380192	0.44089456869009586	0.4185303514376997	0.5418530351437699	0.17955271565495207	0.4594249201277955	0.2498402555910543	0.0	0.21277955271565496
G3-46	0.28115015974440893	0.2670926517571885	0.5833865814696486	0.4485623003194888	0.35910543130990413	0.30670926517571884	0.3987220447284345	0.48115015974440895	0.2881789137380192	0.2108626198083067	0.20191693290734825	0.34185303514376997	0.3137380191693291	0.2766773162939297	0.27859424920127795	0.42747603833865816	0.2	0.32971246006389776	0.18338658146964856	0.21277955271565496	0.0
