	shannon
G1-11	2.1542325954460066
G1-110	1.9190555227313935
G1-12	0.7094078319262573
G1-157	1.3932626272776654
G1-158	1.6856087814210654
G1-159	1.8758485411938313
G1-19	1.8954602016658995
G1-193	1.7125264244350749
G2-194	1.92158911456707
G2-41	2.003901833341693
G3-42	1.7745648307753814
G3-425	2.093616116019352
G3-426	2.0762758027265855
G3-427	1.7935989686240545
G3-428	1.9772800321602249
G3-429	1.2208583099618944
G3-43	1.9581835987854759
G3-430	1.728045034008973
G3-44	1.800302218377705
G3-45	2.1858170138997606
G3-46	1.8298734525855145
