	G1-11	G1-110	G1-12	G1-157	G1-158	G1-159	G1-19	G1-193	G2-194	G2-41	G3-42	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46
G1-11	0.0	0.4671863772321584	0.3064077257639941	0.31017060214516007	0.37037856678302394	0.5121348076695708	0.46884820099870056	0.7000099243830031	0.3735014584073874	0.4025956330314024	0.3630772203532133	0.3767371505841727	0.30268048641592976	0.3881127149334234	0.30268048641592976	0.32898399439399567	0.4158476640610718	0.13386685647642763	0.35828986774922683	0.41013846036465984	0.4168641398212151
G1-110	0.4671863772321584	0.0	0.32072894159805737	0.3180656259680839	0.38470420381715276	0.2904098841846994	0.5459185519457228	0.7123721299748333	0.38862637184167753	0.4172277047739814	0.3723874581980165	0.4438206568094113	0.323346604104142	0.43767982953684087	0.323346604104142	0.40128605071850354	0.4147335985118153	0.49116171025701344	0.3068702222975688	0.4671173011729193	0.4272568734533321
G1-12	0.3064077257639941	0.32072894159805737	0.0	0.005425199387220435	0.21424119305445752	0.39353586559500275	0.47926855789511014	0.65667343578795	0.14238279522503855	0.2665162143555607	0.1117980277099305	0.24243511943021986	0.005345095433952665	0.22414781017216115	0.005345095433952665	0.16585600249092217	0.26256091707493423	0.39263108652717366	0.0826965997232857	0.2829449595742005	0.21302429014834495
G1-157	0.31017060214516007	0.3180656259680839	0.005425199387220435	0.0	0.21067518798180407	0.3914137737044414	0.47770480987712693	0.6560292558934206	0.1383518984844427	0.263409842996659	0.1074737759465325	0.23929159891871093	0.010741296612700185	0.22835696299698877	0.010741296612700185	0.162043229964048	0.2594208815790454	0.3902666518874351	0.07783298086661664	0.28012926682160866	0.2096314042364237
G1-158	0.37037856678302394	0.38470420381715276	0.21424119305445752	0.21067518798180407	0.0	0.2998380396387062	0.4874907030835031	0.63054724848694	0.10008326267848071	0.06957967525814164	0.28255163770186614	0.12467204586840185	0.21774180246526667	0.22850805360287546	0.21774180246526667	0.05851475410236422	0.2904285850506331	0.3914964934525128	0.19563717823781707	0.19335094421844515	0.17137699106111642
G1-159	0.5121348076695708	0.2904098841846994	0.39353586559500275	0.3914137737044414	0.2998380396387062	0.0	0.578976752693915	0.6702683102260214	0.30423975461257596	0.3363615726841817	0.4350523468376401	0.2885810364556611	0.3956233204711136	0.4155657420217063	0.3956233204711136	0.3329530943200911	0.46959714707519656	0.5363543969131435	0.38251290026149853	0.40485891784209443	0.34763501160857024
G1-19	0.46884820099870056	0.5459185519457228	0.47926855789511014	0.47770480987712693	0.4874907030835031	0.578976752693915	0.0	0.7452179884693273	0.5201236915778322	0.5093896828678264	0.5101758663735125	0.5070900531343523	0.48080829233723427	0.5290201604847591	0.48080829233723427	0.49859750007244524	0.48306746321399596	0.4895533603130052	0.44621722621536397	0.5242870065515641	0.5238275185585926
G1-193	0.7000099243830031	0.7123721299748333	0.65667343578795	0.6560292558934206	0.63054724848694	0.6702683102260214	0.7452179884693273	0.0	0.605186751253665	0.6409734996275095	0.6697096592104966	0.6249890362068944	0.6548183970155431	0.6495267236013019	0.6548183970155431	0.616135500021235	0.7024334163478945	0.7397033394710935	0.676866905763175	0.6422461196563946	0.6213310850225602
G2-194	0.3735014584073874	0.38862637184167753	0.14238279522503855	0.1383518984844427	0.10008326267848071	0.30423975461257596	0.5201236915778322	0.605186751253665	0.0	0.14652152301100943	0.21934881414535348	0.13015563394229848	0.13774897619506615	0.2012912061726868	0.13774897619506615	0.06497898230089796	0.3419056068692771	0.44758268531067635	0.20232696761020677	0.20146758674955592	0.10452008399635068
G2-41	0.4025956330314024	0.4172277047739814	0.2665162143555607	0.263409842996659	0.06957967525814164	0.3363615726841817	0.5093896828678264	0.6409734996275095	0.14652152301100943	0.0	0.31331142831748504	0.17845043388873677	0.2695674441408732	0.2737573471051875	0.2695674441408732	0.12115245726284694	0.3317271881502061	0.4245951539453743	0.250330731649475	0.22690286642349825	0.22204723081494857
