	G1-11	G1-110	G1-12	G1-157	G1-158	G1-159	G1-19	G1-193	G2-194	G2-41	G3-42	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46
G1-11	0.0	0.043814819096895614	0.14691742981857253	0.11917127761136237	0.06340700745301679	0.03902861523911717	0.10503508280490487	0.11932659730525652	0.027952876021604078	0.037038852569184676	0.03471069196644249	0.038977844203420264	0.020207987570332358	0.056962751827370664	0.04173881222668866	0.12297144874597711	0.035969761303528615	0.06272281680621317	0.03516821609007296	0.06876638721893336	0.07051152525031135
G1-110	0.043814819096895614	0.0	0.11373896732003384	0.0818864562734573	0.06604594653837907	0.006250348061370215	0.06427545235684662	0.08649850868360916	0.0196308438873524	0.008526221316702448	0.009997702435331659	0.07202212566456766	0.0504531842847994	0.0687345718693193	0.05147266543196555	0.13328510478764746	0.021444488641537553	0.07196110618377084	0.015163729411525273	0.07947160090604379	0.07710645370567018
G1-12	0.14691742981857253	0.11373896732003384	0.0	0.031897259556978794	0.1767100305371145	0.11816787407285982	0.06054765916134741	0.03547923839160805	0.12195254243620299	0.11643220482683711	0.11609200408613919	0.17554702649757423	0.15316884015874765	0.172785626620907	0.1562341579625813	0.236891075717788	0.13091525136790383	0.17709243583442297	0.12219106558992497	0.1886280567269578	0.18375823396934882
G1-157	0.11917127761136237	0.0818864562734573	0.031897259556978794	0.0	0.14485751848095335	0.08665024445257832	0.02903002965608191	0.009123237702650066	0.09432506981251015	0.08491457646534155	0.08544798369822658	0.14760230070310632	0.1257671723964148	0.1443279061590139	0.12708480916403708	0.20886527982618602	0.09939762299362875	0.14799589182584338	0.09119548430543443	0.157431612313594	0.15379515516246886
G1-158	0.06340700745301679	0.06604594653837907	0.1767100305371145	0.14485751848095335	0.0	0.06205548792519029	0.12926254870123413	0.14924986226433365	0.061589363528764825	0.062357408058879384	0.060823704588485246	0.032422892216554096	0.04438770187266833	0.009190761445373842	0.022222943193492578	0.06941732283001754	0.046628747062571495	0.008707210332413137	0.0545640736234657	0.015210219180118697	0.013665622097563817
G1-159	0.03902861523911717	0.006250348061370215	0.11816787407285982	0.08665024445257832	0.06205548792519029	0.0	0.06909217630945248	0.0906517155473664	0.014230964595060368	0.003909511365123865	0.00661117023427928	0.06643340555327473	0.04580122094225335	0.0634585225688942	0.047021871636468586	0.12837675703435802	0.01719887543853365	0.06863846466450951	0.011777197210472892	0.07363844452426661	0.07304555193622461
G1-19	0.10503508280490487	0.06427545235684662	0.06054765916134741	0.02903002965608191	0.12926254870123413	0.06909217630945248	0.0	0.033260172507177437	0.08095395781245857	0.07022529763823868	0.07261793543043031	0.13295049781851134	0.11203560302815216	0.1297545233858537	0.11305508379193169	0.1942052617814468	0.08405017490945191	0.13394158962087466	0.07806540039681592	0.14145695012314133	0.13956249816861957
G1-193	0.11932659730525652	0.08649850868360916	0.03547923839160805	0.009123237702650066	0.14924986226433365	0.0906517155473664	0.033260172507177437	0.0	0.09372087320149783	0.08898323331203288	0.0888739856880207	0.14737052584054103	0.1249394763961727	0.14493589037589052	0.1281560338933939	0.20930323109294782	0.10371846623808817	0.1491380527774734	0.09496016657504934	0.16109435127695418	0.15632992941129942
G2-194	0.027952876021604078	0.0196308438873524	0.12195254243620299	0.09432506981251015	0.061589363528764825	0.014230964595060368	0.08095395781245857	0.09372087320149783	0.0	0.012374792108625061	0.009907077827655411	0.05455823681627996	0.03309323289397951	0.054840725679791945	0.03968572194639572	0.1207075614966617	0.015773374899426502	0.06158277625324835	0.009569347495466262	0.06966148521209004	0.06848408613296622
G2-41	0.037038852569184676	0.008526221316702448	0.11643220482683711	0.08491457646534155	0.062357408058879384	0.003909511365123865	0.07022529763823868	0.08898323331203288	0.012374792108625061	0.0	0.005112386374563229	0.06454826090665189	0.043987006499400676	0.06202036004435775	0.04530464326702294	0.12651596589295577	0.016505906083889164	0.06675846631296843	0.009642549719992522	0.0737071625300343	0.07177988889922055
