	G1-115	G1-116	G1-13	G1-131	G1-132	G1-135	G1-136	G1-138	G1-14	G1-15	G1-161	G1-162	G1-177	G1-178	G2-410	G2-411	G2-412	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-47	G3-48	G3-49
G1-115	0.0	0.24792332268370607	0.9009584664536742	0.6945686900958467	0.9118210862619809	0.7865814696485623	0.6626198083067093	0.8376996805111822	0.6964856230031949	0.7329073482428115	0.5060702875399361	0.5124600638977636	0.7725239616613419	0.6824281150159744	0.32012779552715653	0.23322683706070288	0.23833865814696487	0.8434504792332268	0.7424920127795527	0.8223642172523962	0.9482428115015974	0.802555910543131	0.6498402555910543	0.7680511182108626	0.6543130990415336	0.6511182108626198	0.6613418530351438	0.7482428115015974	0.797444089456869	0.1412140575079872	0.16485623003194888	0.5373801916932908
G1-116	0.24792332268370607	0.0	0.9047923322683706	0.6792332268370607	0.9156549520766774	0.7699680511182109	0.4485623003194888	0.8217252396166134	0.6798722044728435	0.736741214057508	0.2645367412140575	0.26773162939297124	0.7757188498402556	0.602555910543131	0.34760383386581467	0.19233226837060702	0.2613418530351438	0.8281150159744409	0.726517571884984	0.8261980830670926	0.952076677316294	0.8038338658146965	0.6523961661341853	0.7552715654952077	0.6575079872204472	0.6376996805111821	0.6638977635782748	0.7354632587859425	0.7833865814696486	0.22044728434504793	0.2792332268370607	0.5392971246006389
G1-13	0.9009584664536742	0.9047923322683706	0.0	0.5789137380191693	0.536741214057508	0.708626198083067	0.5437699680511182	0.49904153354632586	0.5418530351437699	0.465814696485623	0.9003194888178914	0.9073482428115016	0.4549520766773163	0.4830670926517572	0.8990415335463259	0.8990415335463259	0.8926517571884984	0.6805111821086262	0.40319488817891375	0.5591054313099042	0.7833865814696486	0.38338658146964855	0.38849840255591056	0.5955271565495208	0.4638977635782748	0.4645367412140575	0.46645367412140576	0.4626198083067093	0.4779552715654952	0.8900958466453675	0.8984025559105431	0.7884984025559105
G1-131	0.6945686900958467	0.6792332268370607	0.5789137380191693	0.0	0.5392971246006389	0.6447284345047923	0.6146964856230032	0.17635782747603834	0.30095846645367413	0.65814696485623	0.6543130990415336	0.6779552715654952	0.7648562300319489	0.7405750798722045	0.5597444089456869	0.5840255591054313	0.5552715654952076	0.48434504792332267	0.6479233226837061	0.7693290734824281	0.9022364217252397	0.7654952076677316	0.6690095846645367	0.470926517571885	0.6932907348242812	0.5680511182108626	0.6984025559105431	0.668370607028754	0.4594249201277955	0.678594249201278	0.6070287539936102	0.7405750798722045
G1-132	0.9118210862619809	0.9156549520766774	0.536741214057508	0.5392971246006389	0.0	0.8613418530351438	0.7853035143769969	0.5271565495207667	0.787220447284345	0.8287539936102236	0.9111821086261981	0.9182108626198083	0.8952076677316294	0.8977635782747604	0.9092651757188498	0.9092651757188498	0.9060702875399361	0.8523961661341853	0.8543130990415335	0.8472843450479233	0.8945686900958466	0.873482428115016	0.8638977635782747	0.9041533546325878	0.8952076677316294	0.8964856230031949	0.9060702875399361	0.8945686900958466	0.8677316293929712	0.9003194888178914	0.9086261980830671	0.7987220447284346
G1-135	0.7865814696485623	0.7699680511182109	0.708626198083067	0.6447284345047923	0.8613418530351438	0.0	0.6261980830670927	0.6389776357827476	0.5035143769968051	0.4249201277955272	0.7456869009584665	0.7680511182108626	0.7527156549520767	0.7565495207667732	0.6990415335463259	0.6990415335463259	0.6926517571884984	0.6677316293929713	0.6332268370607029	0.2134185303514377	0.29456869009584663	0.5303514376996805	0.49584664536741213	0.6159744408945687	0.7182108626198083	0.6083067092651757	0.7143769968051118	0.6223642172523962	0.5597444089456869	0.7706070287539936	0.6984025559105431	0.8223642172523962
G1-136	0.6626198083067093	0.4485623003194888	0.5437699680511182	0.6146964856230032	0.7853035143769969	0.6261980830670927	0.0	0.6996805111821086	0.4115015974440895	0.4696485623003195	0.44920127795527154	0.45559105431309904	0.5942492012779552	0.41980830670926517	0.7731629392971247	0.6178913738019169	0.681150159744409	0.6728434504792332	0.48690095846645365	0.5514376996805112	0.7789137380191693	0.5424920127795527	0.3853035143769968	0.6421725239616614	0.5015974440894568	0.5175718849840255	0.5239616613418531	0.612779552715655	0.594888178913738	0.6319488817891373	0.7047923322683706	0.7686900958466454
G1-138	0.8376996805111822	0.8217252396166134	0.49904153354632586	0.17635782747603834	0.5271565495207667	0.6389776357827476	0.6996805111821086	0.0	0.4012779552715655	0.7175718849840256	0.797444089456869	0.8204472843450479	0.8543130990415335	0.8568690095846645	0.6568690095846645	0.7271565495207668	0.6971246006389776	0.38338658146964855	0.7258785942492013	0.7738019169329073	0.8453674121405751	0.7827476038338658	0.7533546325878594	0.412779552715655	0.8095846645367412	0.6843450479233227	0.8146964856230032	0.7226837060702875	0.4	0.8217252396166134	0.7488817891373802	0.7738019169329073
G1-14	0.6964856230031949	0.6798722044728435	0.5418530351437699	0.30095846645367413	0.787220447284345	0.5035143769968051	0.4115015974440895	0.4012779552715655	0.0	0.3731629392971246	0.6562300319488817	0.678594249201278	0.5322683706070288	0.5073482428115016	0.5610223642172524	0.5859424920127796	0.5559105431309904	0.29968051118210864	0.405111821086262	0.47987220447284346	0.7763578274760383	0.46645367412140576	0.36996805111821085	0.2715654952076677	0.46006389776357826	0.3348242811501597	0.46517571884984027	0.43578274760383384	0.22236421725239616	0.6805111821086262	0.607667731629393	0.7980830670926518
G1-15	0.7329073482428115	0.736741214057508	0.465814696485623	0.65814696485623	0.8287539936102236	0.4249201277955272	0.4696485623003195	0.7175718849840256	0.3731629392971246	0.0	0.7322683706070288	0.739297124600639	0.3961661341853035	0.3987220447284345	0.7405750798722045	0.7092651757188498	0.7047923322683706	0.6293929712460063	0.39105431309904154	0.26070287539936104	0.5303514376996805	0.28306709265175717	0.22108626198083067	0.47987220447284346	0.40638977635782747	0.3623003194888179	0.405111821086262	0.3859424920127795	0.39233226837060703	0.6881789137380192	0.6926517571884984	0.7769968051118211
