	G1-115	G1-116	G1-13	G1-131	G1-132	G1-135	G1-136	G1-138	G1-14	G1-15	G1-161	G1-162	G1-177	G1-178	G2-410	G2-411	G2-412	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-47	G3-48	G3-49
G1-115	0.0	0.28169875163596136	0.34435909102890144	0.2833047830259305	0.302113796508273	0.3477829832287374	0.3291839780948683	0.3026982508959503	0.302113796508273	0.31161540655856024	0.390789527744	0.34063490896060616	0.5149039578596473	0.34388376815688315	0.4576467380023455	0.34471738553609355	0.3068522905062085	0.41191723148357035	0.2834647374776966	0.2840719790847558	0.2890273632392145	0.2825652772991521	0.3313200566378323	0.3943123228566874	0.44987161435022555	0.49549138240817375	0.32876563393666336	0.4962642497195722	0.4054158018588309	0.40961411145922144	0.3929875614544497	0.48923520924114405
G1-116	0.28169875163596136	0.0	0.18307810969651556	0.04811871046580093	0.07365716107260568	0.18743120050112663	0.12941590369376987	0.07387621347048813	0.07365716107260568	0.09741935457625914	0.26125433987598334	0.12320286811550676	0.40656456599673907	0.13925488682741874	0.2992752978191039	0.1304070428781645	0.08015815989638404	0.21940531481183098	0.050816564795526285	0.05027973834510204	0.05818691447457763	0.046562626828345555	0.11979653960214669	0.2637062056053558	0.312913781920464	0.3842996006615348	0.06381565969348792	0.3904021499419931	0.24207083131142573	0.2560575550112039	0.20367312194130294	0.5386018809480649
G1-13	0.34435909102890144	0.18307810969651556	0.0	0.15897766155521822	0.1343944326035013	0.009083128611014072	0.22014261328772375	0.13894233591431823	0.1343944326035013	0.2060472168307555	0.16960366595827675	0.2506167902811656	0.3490614516038405	0.24409050313966588	0.36245840230148596	0.2561080737692505	0.21129432654386557	0.2851322479221026	0.1563344308947928	0.15639965193858366	0.16702183293974684	0.16186321264770798	0.216532761069541	0.16001876483430344	0.3791485052043535	0.3901076310243987	0.2233475603779994	0.446542042376241	0.316683505532577	0.20477209425697948	0.27878490881927587	0.5054360545433728
G1-131	0.2833047830259305	0.04811871046580093	0.15897766155521822	0.0	0.03189744742695652	0.1592631519571838	0.10258969078868882	0.026921817321542883	0.03189744742695652	0.06333447386127551	0.26257274955239346	0.12196050767939223	0.4185051878497923	0.10667165279810126	0.30154592605361075	0.1293298086204502	0.07800189682859045	0.2022231726260553	0.018592614469099537	0.007637409804257396	0.011049998926650303	0.013548142111549845	0.09089742333389325	0.24118036876309698	0.2857848815153836	0.3959261554889142	0.07841036643332919	0.3750423607370362	0.22831646351616777	0.2909708145780265	0.2041456886277682	0.5596485531270187
G1-132	0.302113796508273	0.07365716107260568	0.1343944326035013	0.03189744742695652	0.0	0.13462935595436024	0.12213730477018828	0.005254013470010077	0.0	0.09306860508764626	0.2819639287811945	0.14799357247689207	0.4368213153835708	0.13626780749859674	0.28416053680993675	0.1551266693601264	0.10392588603607213	0.1752964640931674	0.03996987360467895	0.029253297925573404	0.04254088139230352	0.03521901125531454	0.11170493016413163	0.2645964593397963	0.3086554859671883	0.41410047487137897	0.10907887090040992	0.39391017861869126	0.2381705992019386	0.3095651032588244	0.18327136793597767	0.5709019066946077
G1-135	0.3477829832287374	0.18743120050112663	0.009083128611014072	0.1592631519571838	0.13462935595436024	0.0	0.22783926316594638	0.13918787532758603	0.13462935595436024	0.202662985591675	0.17345042349855172	0.2550702910630004	0.3469987321883897	0.24086164981670474	0.36653500991947424	0.26052887715404044	0.21571564970069393	0.2857137296746987	0.16479909088818856	0.15259624337106517	0.16329399240075138	0.15809778304728303	0.22467129658235313	0.1567228509772948	0.379759860739094	0.38826916189548555	0.21993866993813027	0.4448996399645025	0.32051298535897926	0.20846396364915856	0.28311669714631366	0.5077302799619589
G1-136	0.3291839780948683	0.12941590369376987	0.22014261328772375	0.10258969078868882	0.12213730477018828	0.22783926316594638	0.0	0.12674960719574505	0.12213730477018828	0.1543479123715384	0.31119929256990897	0.19822409687424566	0.45666121025591766	0.19366267216800254	0.35446861789366174	0.20432068302130804	0.1578183149910173	0.2751021856185463	0.10027864209983531	0.10004219458620157	0.11149885465175396	0.10558581646786289	0.1640695941041007	0.3020360090136499	0.3422172936753115	0.43513330440026377	0.17070819701620918	0.4169133246480705	0.2845919200925221	0.33585292559808316	0.26917533458306664	0.5761901630796573
G1-138	0.3026982508959503	0.07387621347048813	0.13894233591431823	0.026921817321542883	0.005254013470010077	0.13918787532758603	0.12674960719574505	0.0	0.005254013470010077	0.08868024467948969	0.2825272174340316	0.14840459895928612	0.43504322985099114	0.1320784172578851	0.284840670585643	0.15555195718767717	0.1042240453958174	0.18049580258499467	0.045013884820375445	0.0343536141742403	0.03767433019568666	0.04033230039691045	0.11661450707278798	0.2617137052946305	0.30598890522084	0.41227213683763736	0.10462089789351024	0.3919534486908649	0.23870727561441657	0.31015684289344203	0.18375518363160115	0.5715642760650118
G1-14	0.302113796508273	0.07365716107260568	0.1343944326035013	0.03189744742695652	0.0	0.13462935595436024	0.12213730477018828	0.005254013470010077	0.0	0.09306860508764626	0.2819639287811945	0.14799357247689207	0.4368213153835708	0.13626780749859674	0.28416053680993675	0.1551266693601264	0.10392588603607213	0.1752964640931674	0.03996987360467895	0.029253297925573404	0.04254088139230352	0.03521901125531454	0.11170493016413163	0.2645964593397963	0.3086554859671883	0.41410047487137897	0.10907887090040992	0.39391017861869126	0.2381705992019386	0.3095651032588244	0.18327136793597767	0.5709019066946077
G1-15	0.31161540655856024	0.09741935457625914	0.2060472168307555	0.06333447386127551	0.09306860508764626	0.202662985591675	0.1543479123715384	0.08868024467948969	0.09306860508764626	0.0	0.2925107515627761	0.16858451255781595	0.3809070615412792	0.04811306355236949	0.334510996952294	0.17519491660011774	0.12657085322297673	0.2529819965180086	0.0797478942315796	0.07007239588210099	0.07308501978539078	0.06656626104098907	0.14646012116161608	0.27284324656211356	0.32127840857062046	0.41616401947856146	0.12693743020079495	0.33385224319124035	0.17372789316411946	0.24711038882939929	0.14680140225639254	0.5327297022752537
G1-161	0.390789527744	0.26125433987598334	0.16960366595827675	0.26257274955239346	0.2819639287811945	0.17345042349855172	0.31119929256990897	0.2825272174340316	0.2819639287811945	0.2925107515627761	0.0	0.32148903471806245	0.2706708545697898	0.32564157449288755	0.44333077523332226	0.32581126070723293	0.2868536871646482	0.39493768676855484	0.26290746862809317	0.263440217944506	0.2686297965238636	0.26177268052080277	0.2669326290589816	0.24618350789216567	0.2978479061815842	0.3169858973149063	0.30966084780406666	0.3702985521356064	0.23395976414231845	0.14091432409893961	0.376110615033504	0.4128133673168025
