	G1-115	G1-116	G1-13	G1-131	G1-132	G1-135	G1-136	G1-138	G1-14	G1-15	G1-161	G1-162	G1-177	G1-178	G2-410	G2-411	G2-412	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-47	G3-48	G3-49
G1-115	0.0	0.08690561574285995	0.12682438840145852	0.22642111083389396	0.2911247633880055	0.18886273168461515	0.12332170585547257	0.21970918137460313	0.13945601493034307	0.10679485451859005	0.17863348142840768	0.18131820417783467	0.05869105931957093	0.022668052832108085	0.031794386277702584	0.05916139656641755	0.048498323172409694	0.15120790896268127	0.02009696611890877	0.15152975150010867	0.17896237951809316	0.045587507085944994	0.07278831982973002	0.12138797317159104	0.017262464526823104	0.061523688236808746	0.0229970989793021	0.08466223712868412	0.10278625842135569	0.015740516132871526	0.01976473178618856	0.15887335135931055
G1-116	0.08690561574285995	0.0	0.1599115786395732	0.14145458916451392	0.27908384040274253	0.14317370473235347	0.043381734427073916	0.13804079778704081	0.05449082680801902	0.06462364432174261	0.0919803168069997	0.09450941028246926	0.13803629910069784	0.08078502915727641	0.06683959022524937	0.0342195841040843	0.046774945781686506	0.06591649283710316	0.09863613705242345	0.10640465714299012	0.13366371398435156	0.1102523561203721	0.05756446605082501	0.03661119563782691	0.09637237175375772	0.05899254514830128	0.10206190108267622	0.05688852372109635	0.027243769082053493	0.0757544867013156	0.0735394091393662	0.14754009775345034
G1-13	0.12682438840145852	0.1599115786395732	0.0	0.19383751419311626	0.17787247779350956	0.22737883588288343	0.1583328047552153	0.17359078015365897	0.18173485896356617	0.134315590272024	0.2442549165832392	0.24718670721564776	0.12250305880430278	0.11773419264328365	0.12762829491637967	0.13197597592186983	0.12399458118192311	0.21251397153210327	0.12187313605404029	0.16927879088755313	0.18304442323668652	0.10310257097719762	0.12169011975444656	0.1832224130943461	0.12064777743637042	0.11248607553705585	0.12175970225294022	0.1408549534869719	0.15439684828979933	0.12418665340157493	0.12775725450231976	0.10269175119410259
G1-131	0.22642111083389396	0.14145458916451392	0.19383751419311626	0.0	0.17296001745597112	0.1466206308031557	0.11422577499398395	0.023438384750329014	0.095654818419713	0.1748754924116587	0.1047612186542215	0.10612671654989167	0.26607784046513405	0.2095841433155225	0.20059496239147115	0.170649665340524	0.1817314838793345	0.10884010743817242	0.22652165627810314	0.1764146774075801	0.19745122400983467	0.23470765424559578	0.18205354204115506	0.11241654619405671	0.22578608352893295	0.1733685518925168	0.231446099557395	0.18170675871924738	0.13588918282619425	0.21459568950872962	0.21049393726487212	0.19633414505498087
G1-132	0.2911247633880055	0.27908384040274253	0.17787247779350956	0.17296001745597112	0.0	0.24916077748193594	0.24942467478473285	0.1642576974693534	0.2565321710922604	0.25538313205209806	0.26615803970924035	0.26691526067115756	0.28697910186047265	0.28195326048788116	0.29224779110087473	0.286355670909325	0.2886140766763224	0.27802780674114896	0.2865608701256559	0.25417997692612926	0.26760610636467713	0.27281539280111994	0.2695178624882564	0.2772400544998564	0.28481185920587887	0.26763284641218676	0.2859787720080808	0.28399210704990974	0.2745018770659941	0.2890588948243515	0.29220883638625306	0.20623876444761638
G1-135	0.18886273168461515	0.14317370473235347	0.22737883588288343	0.1466206308031557	0.24916077748193594	0.0	0.1167700524068211	0.14136292632322728	0.10479462645098447	0.10118142104916093	0.09437118612977029	0.09458239855905576	0.21751676116329882	0.17675716804103725	0.17711598067667453	0.15950494133320398	0.1661072942285834	0.1196777690008104	0.1854239106458566	0.05957226915914576	0.07116873998805705	0.1628674087511918	0.11901897770607703	0.12983801631263	0.1855987374996187	0.16003579257963071	0.18860353168231922	0.15696359366139848	0.12924557757608937	0.18115197313325715	0.18030128566940234	0.20611040415493206
G1-136	0.12332170585547257	0.043381734427073916	0.1583328047552153	0.11422577499398395	0.24942467478473285	0.1167700524068211	0.0	0.10325182304637191	0.02645130347234711	0.06519426181296538	0.08796110807464838	0.09063592540602783	0.16162502645457785	0.10460316535785798	0.10310024372082566	0.07092370194928052	0.08333550378343203	0.058655016193376416	0.12389457409621711	0.07850526280228047	0.10693109829952047	0.12391878847159486	0.07176582749187023	0.038168193837441924	0.122322033913804	0.07622205194119822	0.1282055644101374	0.08120900479519273	0.038275705024358064	0.11128114889928518	0.11035546942561847	0.13768176147786676
G1-138	0.21970918137460313	0.13804079778704081	0.17359078015365897	0.023438384750329014	0.1642576974693534	0.14136292632322728	0.10325182304637191	0.0	0.09678135484696167	0.16321788783221966	0.11803835185281955	0.11939821969480433	0.25874404205451496	0.20290202888153608	0.19305240806010782	0.16396755117490816	0.17484066072189128	0.11788253263661146	0.21946839619431455	0.17135858092546746	0.19213315200274458	0.22280804740414323	0.1710348433019905	0.11697196249214452	0.21903581923884224	0.16644791287270855	0.2245552761443608	0.17413869447539435	0.12224392894786784	0.20791357534311383	0.20340287685480007	0.1795962550220919
G1-14	0.13945601493034307	0.05449082680801902	0.18173485896356617	0.095654818419713	0.2565321710922604	0.10479462645098447	0.02645130347234711	0.09678135484696167	0.0	0.08144288885899038	0.07277304518518125	0.07604919757331188	0.17906185774795774	0.12267038552946741	0.11342060216039504	0.08366702434571868	0.09464661790867934	0.033586545945085755	0.13936899379317533	0.08140605972548234	0.10198909733666865	0.1400111188742807	0.08742574491677955	0.0343187737982475	0.13880417588677357	0.0919674951166162	0.144430116942455	0.09469077600207096	0.04496069461671315	0.12761304837973905	0.12331957791558507	0.16049705001506187
G1-15	0.10679485451859005	0.06462364432174261	0.134315590272024	0.1748754924116587	0.25538313205209806	0.10118142104916093	0.06519426181296538	0.16321788783221966	0.08144288885899038	0.0	0.14578627784355552	0.1484740243495287	0.13160493710220095	0.09334557479995731	0.09828111485431283	0.08039757720484514	0.08701682026128088	0.11432473572135657	0.10469319718146157	0.06080640877870729	0.08878095181362528	0.07799255408181337	0.03674649152395135	0.08508755215510348	0.10293414513335739	0.07547519073417432	0.10611272754057624	0.06999889922697804	0.05389003553317724	0.09958110341371074	0.10090531861098403	0.12666613239728475
G1-161	0.17863348142840768	0.0919803168069997	0.2442549165832392	0.1047612186542215	0.26615803970924035	0.09437118612977029	0.08796110807464838	0.11803835185281955	0.07277304518518125	0.14578627784355552	0.0	0.0041128228451353995	0.22234540588047544	0.1653998357849905	0.15775446485943967	0.12513445873827464	0.13760223189519052	0.05218963521841494	0.18259868646917785	0.1378075612269771	0.15429253433439	0.1948794444736373	0.1421901516304295	0.07652382823369308	0.18075850651014844	0.14262190411887182	0.1867218128339508	0.1406848862633493	0.10481314441514201	0.16681690422559	0.16445428377355653	0.21843589492763882
G1-162	0.18131820417783467	0.09450941028246926	0.24718670721564776	0.10612671654989167	0.26691526067115756	0.09458239855905576	0.09063592540602783	0.11939821969480433	0.07604919757331188	0.1484740243495287	0.0041128228451353995	0.0	0.22530549292561405	0.16685708238794886	0.1596559343540823	0.12703592823291723	0.13967887843120566	0.05408263087689983	0.18473853145358682	0.14049100226083794	0.1567036805520736	0.19761134822586612	0.14368390499124678	0.08002683948208718	0.18260223444589857	0.14640640533949031	0.18817905943690919	0.14425727878872494	0.10711429445843519	0.16950090359939235	0.16644334178888537	0.22183849888971313
G1-177	0.05869105931957093	0.13803629910069784	0.12250305880430278	0.26607784046513405	0.28697910186047265	0.21751676116329882	0.16162502645457785	0.25874404205451496	0.17906185774795774	0.13160493710220095	0.22234540588047544	0.22530549292561405	0.0	0.05883475016205494	0.08313065441959246	0.11029140512507235	0.10004764411153066	0.1913671601188459	0.043596553439140866	0.165562943980372	0.19144823413549064	0.06012345706344524	0.10952615587326756	0.16144672529987675	0.043099135952565315	0.10080089047432204	0.03749477639304775	0.11961501509342155	0.14059883301865983	0.06734989514871936	0.07334375905477422	0.16493050075172566
G1-178	0.022668052832108085	0.08078502915727641	0.11773419264328365	0.2095841433155225	0.28195326048788116	0.17675716804103725	0.10460316535785798	0.20290202888153608	0.12267038552946741	0.09334557479995731	0.1653998357849905	0.16685708238794886	0.05883475016205494	0.0	0.02570512528881355	0.051981468152570806	0.042193461020576216	0.13392730758005061	0.022892827898601434	0.1373916489175835	0.1626979374033317	0.03338593621670115	0.0583989183832269	0.10600770221979722	0.020388108604327538	0.04511053400320535	0.02598013656742132	0.06947483441987871	0.08406399322878326	0.011277363256863526	0.015571676286959475	0.15920238995622255
G2-410	0.031794386277702584	0.06683959022524937	0.12762829491637967	0.20059496239147115	0.29224779110087473	0.17711598067667453	0.10310024372082566	0.19305240806010782	0.11342060216039504	0.09828111485431283	0.15775446485943967	0.1596559343540823	0.08313065441959246	0.02570512528881355	0.0	0.0328016494691357	0.020574783508239134	0.12206668846359801	0.04076051780608226	0.143062958259673	0.16974907691598953	0.05542727777103892	0.06286867441438639	0.09533075761268858	0.04090302619158053	0.038317505537855866	0.04612132758236219	0.0666708394924755	0.07402645322275218	0.018718752095958444	0.012458715144946935	0.161128721572516
G2-411	0.05916139656641755	0.0342195841040843	0.13197597592186983	0.170649665340524	0.286355670909325	0.15950494133320398	0.07092370194928052	0.16396755117490816	0.08366702434571868	0.08039757720484514	0.12513445873827464	0.12703592823291723	0.11029140512507235	0.051981468152570806	0.0328016494691357	0.0	0.012659840359344601	0.09348800483371791	0.06822408397408472	0.12521663135371391	0.15199757955521592	0.08281732406773348	0.04480027350626085	0.06606691428332391	0.0677519120789125	0.028230643579348246	0.07297489711281006	0.04040740204174369	0.045230103752687954	0.046138042287879315	0.04070481195877817	0.15505761421475653
G2-412	0.048498323172409694	0.046774945781686506	0.12399458118192311	0.1817314838793345	0.2886140766763224	0.1661072942285834	0.08333550378343203	0.17484066072189128	0.09464661790867934	0.08701682026128088	0.13760223189519052	0.13967887843120566	0.10004764411153066	0.042193461020576216	0.020574783508239134	0.012659840359344601	0.0	0.10428320502125091	0.05770831510665858	0.13190847783219828	0.15861682261165164	0.0725566728931357	0.05137954644887548	0.07702951727922668	0.05763182025729011	0.02961594456339282	0.06268848470469791	0.050386478452382394	0.05585012689884846	0.03544730163581989	0.02962474348775555	0.15740551358402818
G2-413	0.15120790896268127	0.06591649283710316	0.21251397153210327	0.10884010743817242	0.27802780674114896	0.1196777690008104	0.058655016193376416	0.11788253263661146	0.033586545945085755	0.11432473572135657	0.05218963521841494	0.05408263087689983	0.1913671601188459	0.13392730758005061	0.12206668846359801	0.09348800483371791	0.10428320502125091	0.0	0.14927486962634073	0.10613354290046328	0.12209028614490391	0.1634375492868644	0.10953187847568577	0.030863669824319755	0.14917553343507303	0.10967323909369726	0.15431536094063558	0.10826095799772499	0.060805953611560104	0.1393724548432412	0.13250474666715542	0.19057574245524309
