	G1-115	G1-116	G1-131	G1-132	G1-15	G1-161	G1-162	G1-177	G1-178	G2-410	G2-411	G2-412	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-47	G3-48	G3-49
G1-115	0.0	0.21725239616613418	0.7009584664536741	0.9124600638977636	0.7495207667731629	0.5028753993610223	0.4952076677316294	0.7757188498402556	0.6747603833865815	0.30415335463258786	0.2	0.22172523961661342	0.7661341853035144	0.6466453674121406	0.6479233226837061	0.6568690095846645	0.7335463258785943	0.7833865814696486	0.13546325878594248	0.16613418530351437	0.5412140575079872
G1-116	0.21725239616613418	0.0	0.7022364217252396	0.9041533546325878	0.7412140575079872	0.3022364217252396	0.2971246006389776	0.771884984025559	0.5789137380191693	0.3277955271565495	0.18146964856230033	0.25303514376996805	0.7654952076677316	0.6396166134185304	0.6472843450479233	0.6498402555910543	0.7335463258785943	0.7821086261980831	0.20766773162939298	0.27412140575079874	0.534185303514377
G1-131	0.7009584664536741	0.7022364217252396	0.0	0.5392971246006389	0.6702875399361022	0.6817891373801916	0.6830670926517571	0.7706070287539936	0.7539936102236422	0.5706070287539936	0.6057507987220447	0.5667731629392971	0.4575079872204473	0.6932907348242812	0.5814696485623003	0.7175718849840256	0.6696485623003194	0.43450479233226835	0.6869009584664537	0.6236421725239617	0.7354632587859425
G1-132	0.9124600638977636	0.9041533546325878	0.5392971246006389	0.0	0.8210862619808307	0.9092651757188498	0.9143769968051119	0.8913738019169329	0.8939297124600639	0.9047923322683706	0.9047923322683706	0.8996805111821087	0.8939297124600639	0.8830670926517572	0.888817891373802	0.8984025559105431	0.8900958466453675	0.85814696485623	0.8971246006389776	0.9028753993610223	0.7968051118210863
G1-15	0.7495207667731629	0.7412140575079872	0.6702875399361022	0.8210862619808307	0.0	0.7463258785942491	0.7514376996805112	0.36869009584664536	0.37252396166134183	0.7380191693290735	0.7201277955271566	0.7162939297124601	0.5060702875399361	0.3840255591054313	0.33993610223642173	0.3801916932907348	0.33993610223642173	0.3840255591054313	0.7022364217252396	0.6990415335463259	0.7757188498402556
G1-161	0.5028753993610223	0.3022364217252396	0.6817891373801916	0.9092651757188498	0.7463258785942491	0.0	0.0134185303514377	0.7757188498402556	0.5827476038338658	0.6051118210862619	0.45878594249201277	0.5303514376996805	0.7476038338658147	0.645367412140575	0.6300319488817892	0.6562300319488817	0.7169329073482428	0.7661341853035144	0.4939297124600639	0.5501597444089457	0.7252396166134185
G1-162	0.4952076677316294	0.2971246006389776	0.6830670926517571	0.9143769968051119	0.7514376996805112	0.0134185303514377	0.0	0.7782747603833866	0.5853035143769968	0.592332268370607	0.4460063897763578	0.5175718849840255	0.7488817891373802	0.6479233226837061	0.6313099041533546	0.6568690095846645	0.7169329073482428	0.7648562300319489	0.48881789137380194	0.5399361022364217	0.721405750798722
G1-177	0.7757188498402556	0.771884984025559	0.7706070287539936	0.8913738019169329	0.36869009584664536	0.7757188498402556	0.7782747603833866	0.0	0.19424920127795528	0.7686900958466454	0.7501597444089457	0.746964856230032	0.534185303514377	0.18722044728434506	0.28753993610223644	0.18210862619808307	0.34568690095846644	0.4849840255591054	0.7335463258785943	0.7182108626198083	0.8121405750798723
G1-178	0.6747603833865815	0.5789137380191693	0.7539936102236422	0.8939297124600639	0.37252396166134183	0.5827476038338658	0.5853035143769968	0.19424920127795528	0.0	0.7661341853035144	0.6146964856230032	0.6824281150159744	0.5329073482428115	0.26773162939297124	0.24089456869009584	0.26389776357827477	0.35335463258785943	0.4894568690095847	0.6293929712460063	0.6747603833865815	0.82555910543131
G2-410	0.30415335463258786	0.3277955271565495	0.5706070287539936	0.9047923322683706	0.7380191693290735	0.6051118210862619	0.592332268370607	0.7686900958466454	0.7661341853035144	0.0	0.15591054313099043	0.09968051118210862	0.6044728434504792	0.729073482428115	0.5987220447284345	0.7322683706070288	0.6568690095846645	0.6006389776357828	0.19616613418530351	0.17763578274760383	0.531629392971246
