	shannon
G1-115	1.376446186141214
G1-116	1.506944075288073
G1-131	2.1021619881094544
G1-132	1.155450919155646
G1-15	2.3518416396851767
G1-161	1.1180853807182471
G1-162	1.0690897235556118
G1-177	1.7598315874854622
G1-178	1.705179580273039
G2-410	2.004979993571547
G2-411	1.9069132990512636
G2-412	1.996130190760166
G3-419	1.5717736612967883
G3-420	1.4538010921626012
G3-421	2.170521851516328
G3-422	1.3375322714164548
G3-423	2.325969499256816
G3-424	1.9333547573628675
G3-47	1.947718973152016
G3-48	1.847623877343728
G3-49	3.1444297197431084
