	G1-115	G1-116	G1-131	G1-132	G1-15	G1-161	G1-162	G1-177	G1-178	G2-410	G2-411	G2-412	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-47	G3-48	G3-49
G1-115	0.0	0.3602602966252676	0.13768102712166855	0.16062441912444908	0.2005726827838612	0.3342906004791546	0.20606616106814704	0.7554229222356288	0.2165865668933052	0.3267322714014259	0.4263255292931855	0.25059256110645534	0.2921738562536386	0.32457906154310934	0.4459393464347739	0.2397543755198763	0.4549386923613063	0.29666847578253525	0.2846743661355288	0.296479316189912	0.6490558079399625
G1-116	0.3602602966252676	0.0	0.31518446716208637	0.3331024528610778	0.35890815412526267	0.4276475028076376	0.37006759964470504	0.7282209618692888	0.3720127981002392	0.4484932267082325	0.5171577948171758	0.3984270318163712	0.270065495326153	0.19396084202247155	0.3398082521494006	0.36380127886496794	0.40056943398778516	0.4351806339191092	0.23292936649648505	0.43275370431580806	0.5404882219467184
G1-131	0.13768102712166855	0.31518446716208637	0.0	0.03189744742695652	0.08868024467948969	0.27462527382782065	0.12196050767939223	0.7456528645128564	0.10667165279810126	0.2696494765150697	0.3873571537836008	0.177124163185232	0.20845152042640192	0.23726599050759498	0.3959261554889142	0.12971553485657727	0.40660784893321583	0.19901833349584944	0.22605235137456697	0.23022928002426993	0.6389793096724063
G1-132	0.16062441912444908	0.3331024528610778	0.03189744742695652	0.0	0.06960046680993363	0.29688829888602036	0.14799357247689207	0.7532274292184767	0.13626780749859674	0.2910058355745921	0.4050723072265463	0.20139635891762112	0.23300674797859408	0.26188292913193767	0.41410047487137897	0.16012859773985602	0.4244291348433594	0.18238639062365883	0.2464742380217499	0.2106377198293732	0.648133893596867
G1-15	0.2005726827838612	0.35890815412526267	0.08868024467948969	0.06960046680993363	0.0	0.32245585847804054	0.19362441934302307	0.736684038469505	0.07358089826053425	0.3232145147459146	0.4281821809871844	0.14501327615923548	0.2633310800569043	0.2979117473224057	0.4319623728339214	0.2003714768470181	0.3837064846708522	0.11447403745553769	0.1990237262287877	0.1543488871102271	0.6267657477484762
G1-161	0.3342906004791546	0.4276475028076376	0.27462527382782065	0.29688829888602036	0.32245585847804054	0.0	0.34205787235284346	0.7684540974271123	0.3362417828084146	0.3130820905521682	0.4854370821517656	0.37318661118062046	0.3871461543752	0.39641280015144353	0.4981885122504056	0.3585784722183862	0.3311922293980631	0.40325770869239086	0.3510315367366709	0.36920642253300295	0.6350705435584745
G1-162	0.20606616106814704	0.37006759964470504	0.12196050767939223	0.14799357247689207	0.19362441934302307	0.34205787235284346	0.0	0.7575101397214931	0.12730184481386275	0.18416791929021678	0.3259629916999054	0.06962620744002677	0.29607915672618224	0.2657835916653494	0.4614964738558121	0.04813406339261774	0.4709455817511883	0.2225773827195523	0.28775280683961285	0.2241260061988853	0.6684638048879453
G1-177	0.7554229222356288	0.7282209618692888	0.7456528645128564	0.7532274292184767	0.736684038469505	0.7684540974271123	0.7575101397214931	0.0	0.7256941407252882	0.7703360745897172	0.7834211123611848	0.7419369485647259	0.7075926358540915	0.7585888151047284	0.7467767191695867	0.7581054278204633	0.7678074568602343	0.7506903342085253	0.6971344389931571	0.7535978050889678	0.6754607552783459
G1-178	0.2165865668933052	0.3720127981002392	0.10667165279810126	0.13626780749859674	0.07358089826053425	0.3362417828084146	0.12730184481386275	0.7256941407252882	0.0	0.2733488585884704	0.3899623228224844	0.07685040637241392	0.2782073886111041	0.24816822016662918	0.4436809484236981	0.13496321898751	0.39802731284551657	0.09836455254717964	0.21413268864074475	0.13526613727180353	0.6341951766309591
G2-410	0.3267322714014259	0.4484932267082325	0.2696494765150697	0.2910058355745921	0.3232145147459146	0.3130820905521682	0.18416791929021678	0.7703360745897172	0.2733488585884704	0.0	0.38561454923107585	0.21816690814958115	0.3942767282979164	0.37197799108173274	0.5209127985112328	0.219282314740833	0.43998482947954465	0.33998638744008053	0.38640872142585003	0.35022609061177723	0.6648732153389463
G2-411	0.4263255292931855	0.5171577948171758	0.3873571537836008	0.4050723072265463	0.4281821809871844	0.4854370821517656	0.3259629916999054	0.7834211123611848	0.3899623228224844	0.38561454923107585	0.0	0.3483165887241988	0.4775300639474003	0.46102328032115497	0.5745349831955273	0.3523062526652721	0.5671820526940763	0.4457218146457415	0.47022814626659937	0.4519667416219858	0.5160446914426342
