	G1-115	G1-116	G1-131	G1-132	G1-15	G1-161	G1-162	G1-177	G1-178	G2-410	G2-411	G2-412	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-47	G3-48	G3-49
G1-115	0.0	0.072464402780414	0.2224579364069572	0.2900114675514811	0.09681443078952955	0.17773589670805054	0.17541429118994026	0.06525419034020787	0.021771275581746123	0.02278740842515282	0.04980036258279015	0.03974942977275165	0.12370419216940941	0.01574613346557151	0.056732613664045535	0.023804242874199397	0.08302009022306513	0.1047749997662858	0.008667167539622688	0.00909906385291634	0.15946934395449205
G1-116	0.072464402780414	0.0	0.15274541491725416	0.27930298298368467	0.06170966946446912	0.10672586714684838	0.10478218593059757	0.13128014583397254	0.06600551455720798	0.060645958421957004	0.02928921940623283	0.040742465087078135	0.053784102806492914	0.08165947578707047	0.049507234312618574	0.09006278888683517	0.044893303474080694	0.03651199398374047	0.06767778515806729	0.06947437616488071	0.14813499982101502
G1-131	0.2224579364069572	0.15274541491725416	0.0	0.17434915764595368	0.18283658243505096	0.10364338262124516	0.10552132850001655	0.2683144639753398	0.20559925430954054	0.20483179099552618	0.17598966688212045	0.18575592185118364	0.1093459505077357	0.22110003876887802	0.17372960481573538	0.22940115055132781	0.181299952603824	0.1281549126760119	0.21698928321357985	0.21644216370214417	0.19469922271873905
G1-132	0.2900114675514811	0.27930298298368467	0.17434915764595368	0.0	0.25611539983177367	0.2635086876081378	0.26551416335101347	0.28682048806923877	0.2806119432192813	0.2911537778748073	0.28601567669314454	0.2880072018493577	0.2756626835238528	0.2835669419779162	0.26640106243427136	0.28424744083315384	0.28490508463639735	0.2723384654470724	0.28851134304350334	0.29133065298128924	0.19953805448765988
G1-15	0.09681443078952955	0.06170966946446912	0.18283658243505096	0.25611539983177367	0.0	0.15624040255165006	0.15509352721826616	0.12296885797489986	0.08317168124399249	0.09157009014969056	0.07474686197730125	0.08073947337509013	0.09881473358042187	0.0925127024071747	0.06786145798312704	0.09653860046135941	0.06202898867516787	0.06871675789234029	0.09269056794649513	0.09526390496270289	0.12907231077452708
G1-161	0.17773589670805054	0.10672586714684838	0.10364338262124516	0.2635086876081378	0.15624040255165006	0.0	0.0031522756731735962	0.22850055020881738	0.16368325287303476	0.1652897827803876	0.13407880752137522	0.14561888953102778	0.0746926234630865	0.17972196172632093	0.14633946845566356	0.18789958192706857	0.14129282409415075	0.10190699235549804	0.17302020508059474	0.17420251604832077	0.2196633644154063
G1-162	0.17541429118994026	0.10478218593059757	0.10552132850001655	0.26551416335101347	0.15509352721826616	0.0031522756731735962	0.0	0.22722714517263531	0.16117933450331737	0.1623888964975744	0.13103215748185024	0.14247224391153962	0.07314985090488486	0.17724996562803713	0.14526992026604854	0.18513289799529245	0.1404182383441023	0.0992712386495639	0.17052612164607922	0.17137933203071465	0.21862189740949212
G1-177	0.06525419034020787	0.13128014583397254	0.2683144639753398	0.28682048806923877	0.12296885797489986	0.22850055020881738	0.22722714517263531	0.0	0.06622473064787449	0.081862025635539	0.10924219957141122	0.0993823027754391	0.17034104455954638	0.05134769795139287	0.10137261469098587	0.04255280021379075	0.12428394747196994	0.1508302706483978	0.06844879936118382	0.07026273099312505	0.16439146582987882
G1-178	0.021771275581746123	0.06600551455720798	0.20559925430954054	0.2806119432192813	0.08317168124399249	0.16368325287303476	0.16117933450331737	0.06622473064787449	0.0	0.01698367005987241	0.043477892294504376	0.034023597411690934	0.10721779144505554	0.019667395734881677	0.03956338955317565	0.02745480739652162	0.06769278737031098	0.08694019242364186	0.01596419052226051	0.017507727487132297	0.1581487169080865
G2-410	0.02278740842515282	0.060645958421957004	0.20483179099552618	0.2911537778748073	0.09157009014969056	0.1652897827803876	0.1623888964975744	0.081862025635539	0.01698367005987241	0.0	0.03217361296307847	0.02043527452902164	0.10569509738094005	0.031829353795074275	0.040956770149841885	0.040065239156886874	0.0711068241779844	0.08494637127180035	0.015887870247074422	0.014512156472418573	0.16070844966475173
G2-411	0.04980036258279015	0.02928921940623283	0.17598966688212045	0.28601567669314454	0.07474686197730125	0.13407880752137522	0.13103215748185024	0.10924219957141122	0.043477892294504376	0.03217361296307847	0.0	0.012242873253260908	0.07742368314706888	0.058656915391663816	0.027801375240904154	0.06695377179519758	0.04603422120489248	0.05698889274256515	0.04364902548325869	0.04221877220074209	0.15487038389491753
G2-412	0.03974942977275165	0.040742465087078135	0.18575592185118364	0.2880072018493577	0.08073947337509013	0.14561888953102778	0.14247224391153962	0.0993823027754391	0.034023597411690934	0.02043527452902164	0.012242873253260908	0.0	0.08708172870567257	0.04899654621337071	0.029590049400962628	0.05723243157518316	0.05512583494412656	0.06633986088690821	0.0333305286349436	0.031635248661491	0.15758338654045814
G3-419	0.12370419216940941	0.053784102806492914	0.1093459505077357	0.2756626835238528	0.09881473358042187	0.0746926234630865	0.07314985090488486	0.17034104455954638	0.10721779144505554	0.10569509738094005	0.07742368314706888	0.08708172870567257	0.0	0.12264951556656144	0.086192794171572	0.13069724796909948	0.08276153976677988	0.032287974185541045	0.11848035397005963	0.11767215845527393	0.16432029092915498
