	G2-1103	G2-1104	G2-197	G2-198	G2-210	G2-211	G2-212	G2-27	G2-28	G2-29
G2-1103	0.0	0.4634146341463415	0.8780487804878049	0.9939024390243902	0.9695121951219512	0.9390243902439024	0.9695121951219512	0.9817073170731707	0.9817073170731707	0.9695121951219512
G2-1104	0.4634146341463415	0.0	0.7439024390243902	0.8780487804878049	0.8536585365853658	0.823170731707317	0.8536585365853658	0.8536585365853658	0.8658536585365854	0.8536585365853658
G2-197	0.8780487804878049	0.7439024390243902	0.0	0.15853658536585366	0.1524390243902439	0.1402439024390244	0.12195121951219512	0.23170731707317074	0.12804878048780488	0.11585365853658537
G2-198	0.9939024390243902	0.8780487804878049	0.15853658536585366	0.0	0.07926829268292683	0.1402439024390244	0.07926829268292683	0.20121951219512196	0.12804878048780488	0.10365853658536585
G2-210	0.9695121951219512	0.8536585365853658	0.1524390243902439	0.07926829268292683	0.0	0.12804878048780488	0.06707317073170732	0.13414634146341464	0.13414634146341464	0.10975609756097561
G2-211	0.9390243902439024	0.823170731707317	0.1402439024390244	0.1402439024390244	0.12804878048780488	0.0	0.10975609756097561	0.17073170731707318	0.12195121951219512	0.12195121951219512
G2-212	0.9695121951219512	0.8536585365853658	0.12195121951219512	0.07926829268292683	0.06707317073170732	0.10975609756097561	0.0	0.17682926829268292	0.0975609756097561	0.09146341463414634
G2-27	0.9817073170731707	0.8536585365853658	0.23170731707317074	0.20121951219512196	0.13414634146341464	0.17073170731707318	0.17682926829268292	0.0	0.23780487804878048	0.23170731707317074
G2-28	0.9817073170731707	0.8658536585365854	0.12804878048780488	0.12804878048780488	0.13414634146341464	0.12195121951219512	0.0975609756097561	0.23780487804878048	0.0	0.054878048780487805
G2-29	0.9695121951219512	0.8536585365853658	0.11585365853658537	0.10365853658536585	0.10975609756097561	0.12195121951219512	0.09146341463414634	0.23170731707317074	0.054878048780487805	0.0
